Matteo 1:1	Genealogia di Gesù Cristo figlio di Davide, figlio di Abrahamo.
Romani 12:6	E siccome abbiamo dei doni differenti secondo la grazia che ci è stata data, se abbiamo dono di profezia, profetizziamo secondo la proporzione della nostra fede;
Romani 12:7	se di ministero, ministriamo; se d’insegnamento, insegniamo;
Romani 12:8	se di esortazione, esortiamo; chi dà, dia con semplicità; chi presiede, lo faccia con diligenza; chi fa opere di misericordia, le faccia con allegrezza.
Romani 12:9	L’amore sia senza ipocrisia. Aborrite il male e attenetevi fermamente al bene.
Romani 12:10	Quanto all’amore fraterno, siate pieni di affetto gli uni per gli altri; quanto all’onore, precedetevi gli uni gli altri;
Romani 12:11	quanto allo zelo, non siate pigri; siate ferventi nello spirito, servite il Signore;
Romani 12:12	siate allegri nella speranza, pazienti nell’afflizione, perseveranti nella preghiera;
Romani 12:13	provvedete alle necessità dei santi, esercitate con premura l’ospitalità.
Romani 12:14	Benedite quelli che vi perseguitano; benedite e non maledite.
Romani 12:15	Rallegratevi con quelli che sono allegri; piangete con quelli che piangono.
Romani 12:16	Abbiate fra voi un medesimo sentimento; non abbiate l’animo rivolto alle cose alte, ma lasciatevi attirare dalle umili. Non vi stimate saggi da voi stessi.
Romani 12:17	Non rendete a nessuno male per male. Preoccupatevi di fare il bene nel cospetto di tutti gli uomini.
Romani 12:18	Se è possibile, per quanto dipende da voi, vivete in pace con tutti gli uomini.
Romani 12:19	Non fate le vostre vendette, cari miei, ma cedete il posto all’ira di Dio, poiché è scritto: “A me la vendetta; io darò la retribuzione, dice il Signore”.
Romani 12:20	Anzi, “se il tuo nemico ha fame, dagli da mangiare; se ha sete, dagli da bere; poiché, facendo così, tu radunerai dei carboni accesi sul suo capo”.
Romani 12:21	Non essere vinto dal male, ma vinci il male con il bene.
Romani 13:1	Ogni persona sia sottoposta alle autorità superiori, perché non c’è autorità se non da Dio e le autorità che esistono sono ordinate da Dio.
Romani 13:2	Pertanto, chi resiste all’autorità si oppone all’ordine di Dio e quelli che vi si oppongono si attireranno addosso una pena;
Romani 13:3	poiché i magistrati non sono da temere per le opere buone, ma per le cattive. Vuoi tu non avere paura dell’autorità? Fa’ quello che è bene, e avrai lode da essa;
Romani 13:4	perché il magistrato è un ministro di Dio per il tuo bene; ma se fai quello che è male, temi, perché egli non porta la spada invano; poiché egli è un ministro di Dio, per infliggere una giusta punizione contro colui che fa il male.
Romani 13:5	Perciò è necessario essere soggetti non soltanto a motivo della punizione, ma anche per motivo di coscienza.
Romani 13:6	Poiché è anche per questa ragione che voi pagate i tributi; perché si tratta di ministri di Dio, i quali attendono continuamente a quest’ufficio.
Romani 13:7	Rendete a tutti quello che dovete loro: il tributo a chi dovete il tributo; l’imposta a chi l’imposta; il timore a chi il timore; l’onore a chi l’onore.
Romani 13:8	Non abbiate altro debito con nessuno, se non di amarvi gli uni gli altri, perché chi ama il prossimo ha adempiuto la legge.
Romani 13:9	Infatti il non commettere adulterio, non uccidere, non rubare, non concupire e qualsiasi altro comandamento si riassumono in questa parola: “Ama il tuo prossimo come te stesso”.
Romani 13:10	L’amore non fa male alcuno al prossimo; l’amore, quindi, è l’adempimento della legge.
Romani 13:11	E questo tanto più dovete fare, conoscendo il tempo nel quale siamo; poiché è ora ormai che vi svegliate dal sonno, perché la salvezza ci è adesso più vicina di quando credemmo.
Romani 13:12	La notte è inoltrata, il giorno è vicino; gettiamo dunque via le opere delle tenebre e indossiamo le armi della luce.
Romani 13:13	Camminiamo onestamente, come di giorno; non in gozzoviglie ed ebbrezze; non in lussuria e lascivie; non in contese ed invidie;
Romani 13:14	ma rivestitevi del Signore Gesù Cristo, e non abbiate cura della carne per soddisfarne le concupiscenze.
Romani 14:1	Quanto a colui che è debole nella fede, accoglietelo, ma non per discutere opinioni.
Romani 14:2	L’uno crede di poter mangiare di tutto, mentre l’altro, che è debole, mangia legumi.
Romani 14:3	Colui che mangia di tutto non disprezzi colui che non mangia di tutto; e colui che non mangia di tutto non giudichi colui che mangia di tutto, perché Dio l’ha accolto.
Romani 14:4	Chi sei tu che giudichi il domestico altrui? Se sta in piedi o se cade è cosa che riguarda il suo padrone; ma egli sarà tenuto in piedi, perché il Signore è potente da farlo stare in piedi.
Romani 14:5	L’uno stima un giorno più di un altro; l’altro stima tutti i giorni uguali; sia ciascuno pienamente convinto nella propria mente.
Romani 14:6	Chi ha riguardo al giorno, lo fa per il Signore; e chi mangia di tutto lo fa per il Signore, poiché rende grazie a Dio; e chi non mangia di tutto fa così per il Signore e rende grazie a Dio.
Romani 14:7	Poiché nessuno di noi vive per se stesso, e nessuno muore per se stesso;
Romani 14:8	perché, se viviamo, viviamo per il Signore; e se moriamo, moriamo per il Signore; sia dunque che viviamo o che moriamo, noi siamo del Signore.
Romani 14:9	Poiché a questo fine Cristo è morto ed è tornato in vita: per essere il Signore sia dei morti sia dei viventi.
Romani 14:10	Ma tu, perché giudichi tuo fratello? E anche tu, perché disprezzi tuo fratello? Poiché tutti compariremo davanti al tribunale di Dio;
Romani 14:11	infatti è scritto: “Come io vivo, dice il Signore, ogni ginocchio si piegherà davanti a me, e ogni lingua darà gloria a Dio”.
Romani 14:12	Così dunque ciascuno di noi renderà conto di se stesso a Dio.
Romani 14:13	Non ci giudichiamo dunque più gli uni gli altri, ma giudicate piuttosto che non dovete porre pietra d’inciampo sulla via del fratello, né essergli occasione di caduta.
Romani 14:14	Io so e sono persuaso nel Signore Gesù che nessuna cosa è impura in se stessa; però, se uno stima che una cosa è impura, per lui è impura.
Romani 14:15	Ora, se a motivo di un cibo tuo fratello è rattristato, tu non procedi più secondo carità. Non perdere, con il tuo cibo, colui per il quale Cristo è morto!
Romani 14:16	Il privilegio che avete non sia dunque oggetto di biasimo;
Romani 14:17	perché il regno di Dio non consiste in vivanda né in bevanda, ma è rettitudine, pace e allegrezza nello Spirito Santo.
Romani 14:18	Poiché chi serve Cristo in questo è gradito a Dio e approvato dagli uomini.
Romani 14:19	Cerchiamo dunque le cose che contribuiscono alla pace e alla mutua edificazione.
Romani 14:20	Non disfare, per un cibo, l’opera di Dio. Certo, tutte le cose sono pure, ma è male quando uno mangia dando occasione di caduta.
Romani 14:21	È bene non mangiare carne, né bere vino, né far cosa alcuna che possa essere una pietra d’inciampo per il fratello.
Romani 14:22	Tu, la convinzione che hai, serbala per te stesso dinanzi a Dio. Beato colui che non condanna se stesso in quello che approva.
Romani 14:23	Ma colui che è in dubbio, se mangia, è condannato, perché non mangia con convinzione; e tutto quello che non viene dalla convinzione è peccato.
Romani 15:1	Ora, noi che siamo forti, dobbiamo sopportare le debolezze dei deboli e non compiacere noi stessi.
Romani 15:2	Ciascuno di noi compiaccia il prossimo nel bene, a scopo di edificazione.
Romani 15:3	Poiché anche Cristo non compiacque se stesso, ma come è scritto: “Gli oltraggi di quelli che ti oltraggiano sono caduti su di me”.
Romani 15:4	Perché tutto quello che fu scritto in passato fu scritto per nostro ammaestramento, affinché mediante la pazienza e mediante la consolazione delle Scritture noi abbiamo la speranza.
Romani 15:5	Ora, il Dio della pazienza e della consolazione vi conceda di avere fra voi un medesimo sentimento secondo Cristo Gesù,
Romani 15:6	affinché con un solo animo e una stessa bocca glorifichiate Dio, il Padre del nostro Signore Gesù Cristo.
Romani 15:7	Perciò accoglietevi gli uni gli altri, come anche Cristo ha accolto noi per la gloria di Dio;
Romani 15:8	poiché io dico che Cristo è stato fatto ministro dei circoncisi a dimostrazione della veracità di Dio, per confermare le promesse fatte ai padri;
Romani 15:9	mentre i Gentili glorificano Dio per la sua misericordia, secondo ciò che è scritto: “Per questo ti celebrerò fra i Gentili e salmeggerò al tuo nome”.
Romani 15:10	Ed è detto ancora: “Rallegratevi, o Gentili, con il suo popolo”.
Romani 15:11	E altrove: “Gentili, lodate tutti il Signore, e tutti i popoli lo celebrino”.
Romani 15:12	E di nuovo Isaia dice: “Vi sarà la radice di Iesse, e Colui che sorgerà a governare i Gentili; in lui spereranno i Gentili”.
Romani 15:13	Ora, il Dio della speranza vi riempia di ogni allegrezza e di ogni pace nel vostro credere, affinché abbondiate nella speranza, mediante il potere dello Spirito Santo.
Romani 15:14	Ora, fratelli miei, io pure sono persuaso, a vostro riguardo, che anche voi siete pieni di bontà, ricolmi di ogni conoscenza, capaci anche di ammonirvi a vicenda.
Romani 15:15	Ma vi ho scritto alquanto arditamente, come per ricordarvi quello che già sapete, a motivo della grazia che mi è stata fatta da Dio
Romani 15:16	di essere ministro di Cristo Gesù per i Gentili, esercitando il sacro servizio del Vangelo di Dio, affinché l’offerta dei Gentili sia accettevole, essendo santificata dallo Spirito Santo.
Romani 15:17	Io ho dunque di che gloriarmi in Cristo Gesù, per quello che concerne le cose di Dio;
Romani 15:18	perché io non ardirei dire cosa che Cristo non abbia operato per mio mezzo, in vista dell’obbedienza dei Gentili, in parola e in opere,
Romani 15:19	con il potere di segni e di miracoli, con il potere dello Spirito Santo. Così, da Gerusalemme e dai luoghi intorno fino all’Illiria, ho predicato dovunque il Vangelo di Cristo,
Romani 15:20	avendo l’ambizione di predicare il Vangelo là dove Cristo non fosse già stato nominato, per non edificare sul fondamento altrui;
Romani 15:21	come è scritto: “Coloro ai quali nulla era stato annunciato di lui lo vedranno; e coloro che non ne avevano udito parlare intenderanno”.
Romani 15:22	Per questa ragione appunto sono stato tante volte impedito di venire da voi;
Romani 15:23	ma ora, non avendo più campo da lavorare in queste contrade, e avendo già da molti anni grande desiderio di recarmi da voi,
Romani 15:24	quando andrò in Spagna, spero, passando, di vedervi e di essere da voi aiutato nel mio viaggio per recarmi là, dopo aver goduto un po’ della vostra compagnia.
Romani 15:25	Ma per ora vado a Gerusalemme a portarvi una sovvenzione per i santi;
Romani 15:26	perché la Macedonia e l’Acaia si sono compiaciute di raccogliere un contributo a favore dei poveri fra i santi che sono a Gerusalemme.
Romani 15:27	Si sono compiaciute, dico; ed è anche un debito che esse hanno verso di loro; perché se i Gentili sono stati fatti partecipi dei loro beni spirituali, sono anche in obbligo di sovvenire loro con i beni materiali.
Romani 15:28	Quando dunque avrò compiuto questo servizio e consegnato questo frutto, andrò in Spagna passando da voi;
Romani 15:29	e so che, recandomi da voi, verrò con la pienezza delle benedizioni di Cristo.
Romani 15:30	Ora, fratelli, io vi esorto, per il nostro Signore Gesù Cristo e per la carità dello Spirito, a combattere con me nelle vostre preghiere a Dio per me,
Romani 15:31	affinché io sia liberato dai disobbedienti della Giudea, e la sovvenzione che porto a Gerusalemme sia accettevole ai santi,
Romani 15:32	in modo che, se piace a Dio, io possa recarmi da voi con allegrezza e possa con voi ricrearmi.
Romani 15:33	Ora, il Dio della pace sia con tutti voi. Amen.
Romani 16:1	Vi raccomando Febe, nostra sorella, che è diaconessa della chiesa di Cencrea,
Romani 16:2	perché la riceviate nel Signore, in modo degno dei santi, e le prestiate assistenza, in qualunque cosa ella possa aver bisogno di voi; poiché anche lei ha prestato assistenza a molti e anche a me stesso.
Romani 16:3	Salutate Prisca e Aquila, miei compagni d’opera in Cristo Gesù,
Romani 16:4	i quali per la mia vita hanno esposto il loro proprio collo; ai quali non io solo ma anche tutte le chiese dei Gentili rendono grazie.
Romani 16:5	Salutate anche la chiesa che è in casa loro. Salutate il mio caro Epeneto, che è la primizia dell’Asia per Cristo.
Romani 16:6	Salutate Maria, che si è molto affaticata per voi.
Romani 16:7	Salutate Andronico e Giunio, miei parenti e compagni di prigione, i quali sono ben noti fra gli apostoli, e inoltre sono stati in Cristo prima di me.
Romani 16:8	Salutate Ampliato, il mio diletto nel Signore.
Romani 16:9	Salutate Urbano, nostro compagno d’opera in Cristo, e il mio caro Stachi.
Romani 16:10	Salutate Apelle, che è approvato in Cristo. Salutate quelli della casa di Aristobulo.
Romani 16:11	Salutate Erodione, mio parente. Salutate quelli di casa di Narcisso che sono nel Signore.
Romani 16:12	Salutate Trifena e Trifosa, che si affaticano nel Signore. Salutate la cara Perside che si è molto affaticata nel Signore.
Romani 16:13	Salutate Rufo, l’eletto nel Signore, e sua madre, che è anche mia.
Romani 16:14	Salutate Asincrito, Flegonte, Erme, Patroba, Erma, e i fratelli che sono con loro.
Romani 16:15	Salutate Filologo e Giulia, Nereo e sua sorella, e Olimpia, e tutti i santi che sono con loro.
Romani 16:16	Salutatevi gli uni gli altri con un santo bacio. Tutte le chiese di Cristo vi salutano.
Romani 16:17	Ora, io vi esorto, fratelli: tenete d’occhio quelli che fomentano le divisioni e pongono pietre d’inciampo contro l’insegnamento che avete ricevuto, e tenetevi lontani da loro.
Romani 16:18	Poiché quei tali non servono il nostro Signore Gesù Cristo, ma il proprio ventre; e con dolce e lusinghiero parlare seducono il cuore dei semplici.
Romani 16:19	Quanto a voi, la vostra obbedienza è giunta a conoscenza di tutti. Io dunque mi rallegro per voi, ma desidero che siate saggi nel bene e semplici per quello che concerne il male.
Romani 16:20	E il Dio della pace schiaccerà presto Satana sotto ai vostri piedi. La grazia del nostro Signore Gesù Cristo sia con voi.
Romani 16:21	Timoteo, mio compagno d’opera, vi saluta, e vi salutano pure Lucio, Giasone e Sosipatro, miei parenti.
Romani 16:22	Io, Terzio, che ho scritto l’epistola, vi saluto nel Signore.
Romani 16:23	Gaio, che ospita me e tutta la chiesa, vi saluta. Erasto, il tesoriere della città, e il fratello Quarto vi salutano.
Romani 16:24	La grazia del nostro Signor Gesù Cristo sia con tutti voi. Amen.
Romani 16:25	Ora, a Colui che vi può fortificare secondo il mio Vangelo e la predicazione di Gesù Cristo, conformemente alla rivelazione del mistero che fu tenuto occulto fin dai tempi più remoti
Romani 16:26	ma è ora manifestato, e, mediante le Scritture profetiche, secondo l’ordine dell’eterno Dio, è fatto conoscere a tutte le nazioni per condurle all’obbedienza della fede,
Romani 16:27	all’unico Dio saggio, per mezzo di Gesù Cristo, sia la gloria nei secoli dei secoli. Amen.
1 Corinzi 1:1	Paolo, chiamato ad essere apostolo di Cristo Gesù per la volontà di Dio, e il fratello Sostene,
1 Corinzi 1:2	alla chiesa di Dio che è a Corinto, ai santificati in Cristo Gesù, chiamati a essere santi, con tutti quelli che in ogni luogo invocano il nome del nostro Signore Gesù Cristo, Signore loro e nostro,
1 Corinzi 1:3	grazia a voi e pace da Dio nostro Padre e dal Signore Gesù Cristo.
1 Corinzi 1:4	Io rendo continuamente grazie al mio Dio per voi della grazia di Dio che vi è stata data in Cristo Gesù;
1 Corinzi 1:5	perché in lui siete stati arricchiti in ogni cosa, in ogni dono di parola e in ogni conoscenza,
1 Corinzi 1:6	essendo stata la testimonianza di Cristo confermata tra voi,
1 Corinzi 1:7	tanto che non difettate di alcun dono, mentre aspettate la manifestazione del nostro Signore Gesù Cristo,
1 Corinzi 1:8	il quale inoltre vi confermerà sino alla fine, affinché siate irreprensibili nel giorno del nostro Signore Gesù Cristo.
1 Corinzi 1:9	Fedele è il Dio dal quale siete stati chiamati alla comunione di suo Figlio Gesù Cristo, nostro Signore.
1 Corinzi 1:10	Ora, fratelli, io vi esorto, per il nome del nostro Signore Gesù Cristo, ad avere tutti un medesimo parlare, e a non avere divisioni fra voi, ma a stare perfettamente uniti in una medesima mente e in un medesimo sentire.
1 Corinzi 1:11	Perché, fratelli miei, mi è stato riferito a vostro riguardo da quelli di casa Cloe che vi sono fra voi delle contese.
1 Corinzi 1:12	Voglio dire che ciascuno di voi dice: “Io sono di Paolo; e io di Apollo; e io di Cefa; e io di Cristo”.
1 Corinzi 1:13	Cristo è forse diviso? Paolo è forse stato crocifisso per voi? O siete voi stati battezzati nel nome di Paolo?
1 Corinzi 1:14	Io ringrazio Dio che non ho battezzato nessuno di voi, salvo Crispo e Gaio,
1 Corinzi 1:15	cosicché nessuno può dire che foste battezzati nel mio nome.
1 Corinzi 1:16	Ho battezzato anche la famiglia di Stefana; del resto non so se ho battezzato nessun altro.
1 Corinzi 1:17	Perché Cristo non mi ha mandato a battezzare ma ad evangelizzare; non con saggezza di parola, affinché la croce di Cristo non sia resa vana.
1 Corinzi 1:18	Poiché la parola della croce è pazzia per quelli che periscono; ma per noi che siamo sulla via della salvezza, è il potere di Dio; poiché è scritto:
1 Corinzi 1:19	“Io farò perire la saggezza dei saggi e annienterò l’intelligenza degli intelligenti”.
1 Corinzi 1:20	Dov’è il saggio? Dov’è lo scriba? Dov’è il disputatore di questa epoca? Dio non ha forse reso pazza la saggezza di questo mondo?
1 Corinzi 1:21	Poiché, visto che nella saggezza di Dio il mondo non ha conosciuto Dio con la propria saggezza, è piaciuto a Dio salvare i credenti mediante la pazzia della predicazione.
1 Corinzi 1:22	Poiché i Giudei chiedono dei miracoli, e i Greci cercano saggezza;
1 Corinzi 1:23	ma noi predichiamo Cristo crocifisso, che per i Giudei è scandalo e per i Gentili pazzia;
1 Corinzi 1:24	ma per quelli che sono chiamati, tanto Giudei quanto Greci, predichiamo Cristo, potenza di Dio e saggezza di Dio;
1 Corinzi 1:25	poiché la pazzia di Dio è più saggia degli uomini, e la debolezza di Dio è più forte degli uomini.
1 Corinzi 1:26	Infatti, fratelli, guardate la vostra vocazione: non ci sono tra voi molti saggi secondo la carne, non molti potenti, non molti nobili;
1 Corinzi 1:27	ma Dio ha scelto le cose pazze del mondo per svergognare i saggi; e Dio ha scelto le cose deboli del mondo per svergognare le forti;
1 Corinzi 1:28	e Dio ha scelto le cose ignobili del mondo, e le cose disprezzate, anzi le cose che non sono, per ridurre al nulla le cose che sono,
1 Corinzi 1:29	affinché nessuna carne si glori al cospetto di Dio.
1 Corinzi 1:30	E grazie a lui voi siete in Cristo Gesù, il quale da Dio è stato fatto per noi saggezza, e rettitudine, e santificazione, e redenzione,
1 Corinzi 1:31	affinché, come è scritto: “Chi si gloria, si glori nel Signore”.
1 Corinzi 2:1	Quanto a me, fratelli, quando venni da voi, non venni ad annunciarvi la testimonianza di Dio con eccellenza di parola o di saggezza;
1 Corinzi 2:2	poiché mi proposi di non sapere altro fra voi fuorché Gesù Cristo e lui crocifisso.
1 Corinzi 2:3	E io sono stato presso di voi con debolezza, e con timore, e con grande tremore;
1 Corinzi 2:4	e la mia parola e la mia predicazione non hanno consistito in discorsi persuasivi di saggezza umana, ma in dimostrazione di Spirito e di potere,
1 Corinzi 2:5	affinché la vostra fede fosse fondata non sulla saggezza degli uomini, ma sul potere di Dio.
1 Corinzi 2:6	Nondimeno fra quelli che sono maturi noi esponiamo una saggezza, una saggezza però non di questa epocao né dei principi di questa epoca che stanno per essere annientati,
1 Corinzi 2:7	ma esponiamo la saggezza di Dio misteriosa e nascosta che Dio aveva predestinato a nostra gloria prima delle epoche,
1 Corinzi 2:8	e che nessuno dei principi di questo mondo ha conosciuto; perché, se l’avessero conosciuta, non avrebbero crocifisso il Signore della gloria.
1 Corinzi 2:9	Ma, come è scritto: “Le cose che occhio non ha veduto, e che orecchio non ha udito e che non sono salite nel cuore dell’uomo, sono quelle che Dio ha preparato per coloro che lo amano”.
1 Corinzi 2:10	Ma a noi Dio le ha rivelate per mezzo dello Spirito; perché lo Spirito investiga ogni cosa, anche le cose profonde di Dio.
1 Corinzi 2:11	Infatti, chi, fra gli uomini, conosce le cose dell’uomo se non lo spirito dell’uomo che è in lui? E così nessuno conosce le cose di Dio, se non lo Spirito di Dio.
1 Corinzi 2:12	Ora, noi abbiamo ricevuto non lo spirito del mondo, ma lo Spirito che viene da Dio, affinché conosciamo le cose che ci sono state donate da Dio;
1 Corinzi 2:13	e noi ne parliamo non con parole insegnate dalla saggezza umana, ma insegnate dallo Spirito, adattando parole spirituali a cose spirituali.
1 Corinzi 2:14	Ora, l’uomo naturale non riceve le cose dello Spirito di Dio, perché gli sono pazzia; e non le può conoscere, perché si giudicano spiritualmente.
1 Corinzi 2:15	Ma l’uomo spirituale giudica ogni cosa, ed egli stesso non è giudicato da nessuno.
1 Corinzi 2:16	Poiché chi ha conosciuto la mente del Signore da poterlo ammaestrare? Ma noi abbiamo la mente di Cristo.
1 Corinzi 3:1	E io, fratelli, non ho potuto parlarvi come a esseri spirituali, ma ho dovuto parlarvi come a esseri carnali, come a bambini in Cristo.
1 Corinzi 3:2	Vi ho nutrito di latte, non di cibo solido, perché non eravate ancora in grado; anzi, non lo siete neppure adesso, perché siete ancora carnali.
1 Corinzi 3:3	Infatti, poiché ci sono tra voi gelosia e contesa, non siete voi carnali, e non camminate voi secondo l’uomo?
1 Corinzi 3:4	Quando uno dice: “Io sono di Paolo”, e un altro: “Io sono d’Apollo”, non siete voi uomini carnali?
1 Corinzi 3:5	Che cos’è dunque Apollo? E che cos’è Paolo? Sono dei ministri, per mezzo dei quali voi avete creduto; e lo sono secondo ciò che il Signore ha dato a ciascuno di loro.
1 Corinzi 3:6	Io ho piantato, Apollo ha annaffiato, ma è Dio che ha fatto crescere;
1 Corinzi 3:7	tanto che né colui che pianta né colui che annaffia sono alcunché, ma è solo Dio che fa crescere.
1 Corinzi 3:8	Ora, colui che pianta e colui che annaffia sono una medesima cosa, ma ciascuno riceverà il proprio premio secondo la propria fatica.
1 Corinzi 3:9	Poiché noi siamo collaboratori di Dio, voi siete il campo di Dio, l’edificio di Dio.
1 Corinzi 3:10	Io, secondo la grazia di Dio che mi è stata data, come saggio architetto, ho posto le fondamenta; un altro vi edifica sopra. Ma badi ciascuno come vi edifica sopra;
1 Corinzi 3:11	poiché nessuno può porre altre fondamenta che quelle già poste, cioè Cristo Gesù.
1 Corinzi 3:12	Ora, se uno edifica su queste fondamenta oro, argento, pietre di valore, legno, fieno, paglia,
1 Corinzi 3:13	l’opera di ognuno sarà manifestata, perché il giorno di Cristo la paleserà; poiché sarà rivelata con il fuoco; e il fuoco proverà quale sia l’opera di ciascuno.
1 Corinzi 3:14	Se l’opera che uno ha edificato sulle fondamenta sussiste, egli ne riceverà ricompensa;
1 Corinzi 3:15	se la sua opera sarà arsa, egli ne avrà il danno, ma egli stesso sarà salvo, però come attraverso il fuoco.
1 Corinzi 3:16	Non sapete voi che siete il tempio di Dio, e che lo Spirito di Dio abita in voi?
1 Corinzi 3:17	Se uno guasta il tempio di Dio, Dio guasterà lui; poiché il tempio di Dio è santo; e questo tempio siete voi.
1 Corinzi 3:18	Nessuno si inganni. Se qualcuno fra voi si immagina di essere saggio in questa epoca, diventi pazzo affinché diventi saggio;
1 Corinzi 3:19	perché la saggezza di questo mondo è pazzia al cospetto di Dio. Infatti è scritto: “Egli prende i saggi nella loro astuzia”
1 Corinzi 3:20	e altrove: “Il Signore conosce i pensieri dei saggi e sa che sono vani”.
1 Corinzi 3:21	Nessuno dunque si glori degli uomini, perché ogni cosa è vostra:
1 Corinzi 3:22	e Paolo, e Apollo, e Cefa, e il mondo, e la vita, e la morte, e le cose presenti, e le cose future, tutto è vostro;
1 Corinzi 3:23	e voi siete di Cristo, e Cristo è di Dio.
1 Corinzi 4:1	Così ci stimi ognuno come dei ministri di Cristo e degli amministratori dei misteri di Dio.
1 Corinzi 4:2	Del resto quello che si richiede dagli amministratori è che ciascuno sia trovato fedele.
1 Corinzi 4:3	A me poi pochissimo importa di essere giudicato da voi o da un tribunale umano; anzi, non mi giudico neppure da me stesso.
1 Corinzi 4:4	Poiché non ho coscienza di colpa alcuna; non per questo però sono giustificato; ma colui che mi giudica è il Signore.
1 Corinzi 4:5	Pertanto non giudicate nulla prima del tempo, finché verrà il Signore, il quale metterà in luce le cose nascolte delle tenebre e manifesterà i consigli dei cuori; e allora ciascuno avrà la sua lode da Dio.
1 Corinzi 4:6	Ora, fratelli, queste cose le ho per amor vostro applicate a me stesso e ad Apollo, affinché per nostro mezzo impariate a praticare il ‘non oltre ciò che è scritto’; affinché non vi gonfiate d’orgoglio esaltando l’uno a danno dell’altro.
1 Corinzi 4:7	Infatti, chi ti distingue dagli altri? E che cosa hai che tu non abbia ricevuto? E se l’hai ricevuto, perché ti glori come se tu non l’avessi ricevuto?
1 Corinzi 4:8	Già siete saziati, già siete arricchiti, senza di noi siete giunti a regnare! E magari voi foste giunti a regnare, affinché anche noi potessimo regnare con voi!
1 Corinzi 4:9	Poiché io stimo che Dio abbia messo in mostra noi, gli apostoli, ultimi fra tutti, come uomini condannati a morte, poiché siamo divenuti uno spettacolo per il mondo, e per gli angeli, e per gli uomini.
1 Corinzi 4:10	Noi siamo pazzi a motivo di Cristo, ma voi siete saggi in Cristo; noi siamo deboli, ma voi siete forti; voi siete gloriosi, ma noi siamo disprezzati.
1 Corinzi 4:11	Fino a questa stessa ora, noi abbiamo sia fame sia sete, noi siamo nudi, e siamo schiaffeggiati, e non abbiamo fissa dimora,
1 Corinzi 4:12	e ci affatichiamo lavorando con le nostre proprie mani; ingiuriati, benediciamo; perseguitati, sopportiamo; diffamati, esortiamo;
1 Corinzi 4:13	siamo diventati e siamo tuttora come la spazzatura del mondo, come il rifiuto di tutti.
1 Corinzi 4:14	Io vi scrivo queste cose non per farvi vergognare, ma per ammonirvi come miei cari figli.
1 Corinzi 4:15	Poiché quand’anche aveste diecimila pedagoghi in Cristo, non avete però molti padri; perché sono io che vi ho generato in Cristo Gesù, mediante il Vangelo.
1 Corinzi 4:16	Io vi esorto dunque: siate miei imitatori.
1 Corinzi 4:17	Appunto per questo vi ho mandato Timoteo, che è mio figlio diletto e fedele nel Signore; egli vi ricorderà quali siano le mie vie in Cristo Gesù, come io insegni dappertutto, in ogni chiesa.
1 Corinzi 4:18	Ora alcuni si sono gonfiati, come se io non dovessi recarmi da voi;
1 Corinzi 4:19	ma, se il Signore vorrà, mi recherò presto da voi, e conoscerò non il parlare ma il potere di coloro che si sono gonfiati;
1 Corinzi 4:20	perché il regno di Dio non consiste in parole, ma in potere.
1 Corinzi 4:21	Che volete? Che venga da voi con la verga, o con amore e con spirito di mansuetudine?
1 Corinzi 5:1	Si ode addirittura affermare che c’è tra voi fornicazione; e una tale fornicazione che non si trova neppure fra i Gentili, al punto che uno di voi si tiene la moglie di suo padre.
1 Corinzi 5:2	E siete gonfi, e non avete invece fatto cordoglio perché colui che ha commesso quell’azione fosse tolto dal vostro mezzo!
1 Corinzi 5:3	Quanto a me, assente di persona ma presente in spirito, ho già giudicato, come se fossi presente, colui che ha perpetrato un tale atto.
1 Corinzi 5:4	Nel nome del Signore Gesù, essendo insieme radunati voi e il mio spirito, con il potere del nostro Signore Gesù,
1 Corinzi 5:5	ho deciso che quel tale sia dato nelle mani di Satana, a perdizione della carne, affinché lo spirito sia salvo nel giorno del Signore Gesù.
1 Corinzi 5:6	Il vostro vantarvi non è buono. Non sapete voi che un po’ di lievito fa lievitare tutta la pasta?
1 Corinzi 5:7	Purificatevi dal vecchio lievito, affinché siate una nuova pasta, come già siete senza lievito. Poiché anche la nostra Pasqua, cioè Cristo, è stata immolata.
1 Corinzi 5:8	Celebriamo dunque la festa, non con vecchio lievito, né con lievito di malizia e di malvagità, ma con gli Azzimi della sincerità e della verità.
1 Corinzi 5:9	Vi ho scritto nella mia epistola di non mischiarvi con i fornicatori;
1 Corinzi 5:10	non del tutto però con i fornicatori di questo mondo, o con gli avari e i rapaci, o con gli idolatri, perché altrimenti dovreste uscire dal mondo;
1 Corinzi 5:11	ma quello che vi ho scritto è di non mischiarvi con nessuno che, chiamandosi fratello, sia un fornicatore, o un avaro, o un idolatra, o un oltraggiatore, o un ubriacone, o un rapace; con un tale non dovete neppure mangiare.
1 Corinzi 5:12	Poiché devo forse io giudicare quelli di fuori? Non giudicate voi quelli di dentro?
1 Corinzi 5:13	Quelli di fuori li giudica Dio. Togliete il malvagio dal vostro mezzo.
1 Corinzi 6:1	Qualcuno di voi, quando ha una lite con un altro, ardisce chiamarlo in giudizio dinanzi agli ingiusti anziché dinanzi ai santi?
1 Corinzi 6:2	Non sapete voi che i santi giudicheranno il mondo? E se il mondo è giudicato da voi, siete voi indegni di giudicare le cose minime?
1 Corinzi 6:3	Non sapete voi che giudicheremo gli angeli? Quanto più possiamo giudicare le cose di questa vita!
