Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
Apostelgeschichte 15:25	so haben wir in einer Versammlung den einmütigen Beschluß gefaßt, Männer zu erwählen und zu euch zu senden zusammen mit unserm geliebten Barnabas und Paulus,
Apostelgeschichte 15:26	zwei Männern, die ihre Seele (oder: ihr Leben) für den Namen unsers Herrn Jesus Christus eingesetzt haben.
Apostelgeschichte 15:27	Wir haben also Judas und Silas abgesandt, die euch dasselbe auch noch mündlich mitteilen werden.
Apostelgeschichte 15:28	Es ist nämlich des heiligen Geistes und unser Beschluß, euch keine weitere Last aufzubürden als folgende Stücke, die unerläßlich sind:
Apostelgeschichte 15:29	daß ihr euch vom Götzenopferfleisch, vom Blutgenuß, vom Fleisch erstickter Tiere und von Unzucht fernhaltet. Wenn ihr euch davor bewahrt, werdet ihr euch gut dabei stehen. Gehabt euch wohl!”
Apostelgeschichte 15:30	¶ So wurden diese denn verabschiedet und kamen nach Antiochia, wo sie die Gemeinde beriefen und das Schreiben übergaben.
Apostelgeschichte 15:31	Als jene es gelesen hatten, freuten sie sich über den tröstlichen Zuspruch (oder: die beruhigende Botschaft).
Apostelgeschichte 15:32	Judas aber und Silas, welche Propheten (= geisterfüllte Redner, vgl. 13,1) waren, spendeten auch ihrerseits den Brüdern durch viele Ansprachen Zuspruch und stärkten sie (im Glauben).
Apostelgeschichte 15:33	Nachdem sie dann einige Zeit dort zugebracht hatten, wurden sie von den Brüdern in Frieden (oder: mit Segenswünschen) wieder zu ihren Auftraggebern entlassen.
Apostelgeschichte 15:34	Silas aber entschloß sich, dort zu bleiben.
Apostelgeschichte 15:35	¶ Paulus und Barnabas blieben dann in Antiochia, indem sie das Wort des Herrn lehrten und die Heilsbotschaft mit noch vielen anderen verkündigten.
Apostelgeschichte 15:36	Nach einiger Zeit aber sagte Paulus zu Barnabas: „Laß uns doch wieder ausziehen und in allen Städten, in denen wir das Wort des Herrn verkündigt haben, uns nach den Brüdern umsehen, wie es mit ihnen steht!”
Apostelgeschichte 15:37	Nun wollte Barnabas auch den Johannes mit dem Beinamen Markus (wieder) mitnehmen;
Apostelgeschichte 15:38	Paulus aber hielt es nicht für recht, einen Mann mitzunehmen, der sich (das vorige Mal) in Pamphylien von ihnen getrennt und sie nicht auf das Arbeitsfeld begleitet hatte.
Apostelgeschichte 15:39	So kam es denn zwischen beiden zu einem hitzigen Streit, infolgedessen sie sich voneinander trennten: Barnabas nahm den Markus zu sich und fuhr zu Schiff nach Cypern;
Apostelgeschichte 15:40	Paulus dagegen wählte sich Silas zum Begleiter und trat (mit ihm) die Landreise an, nachdem er von den Brüdern der Gnade des Herrn anbefohlen worden war.
Apostelgeschichte 15:41	Er durchzog (zunächst) Syrien und Cilicien und stärkte die dortigen Gemeinden.
Apostelgeschichte 16:1	Weiter kam er dann auch nach Derbe und Lystra. Und siehe, hier war ein Jünger namens Timotheus — der Sohn einer gläubiggewordenen Jüdin, aber eines griechischen (= heidnischen) Vaters —
Apostelgeschichte 16:2	dem von den Brüdern in Lystra und Ikonium ein empfehlendes Zeugnis ausgestellt wurde.
Apostelgeschichte 16:3	Paulus wünschte diesen als Begleiter auf der Reise zu haben; so nahm er ihn denn zu sich und vollzog die Beschneidung an ihm mit Rücksicht auf die Juden, die in jenen Gegenden (wohnhaft) waren; denn es wußten ja alle, daß sein Vater ein Grieche (= Heide) war.
Apostelgeschichte 16:4	Auf ihrer Wanderung durch die Städte machten sie den Gläubigen dort zur Pflicht, die von den Aposteln und Ältesten in Jerusalem beschlossenen Satzungen (= Verordnungen) zu beobachten.
Apostelgeschichte 16:5	So wurden denn die Gemeinden von ihnen im Glauben gestärkt und nahmen täglich an Zahl zu.
Apostelgeschichte 16:6	¶ Sie zogen dann weiter durch Phrygien und das galatische Land, weil sie vom heiligen Geist daran gehindert wurden, die Heilsbotschaft in (der römischen Provinz) Asien zu verkündigen.
Apostelgeschichte 16:7	Als sie aber in die Nähe von Mysien gekommen waren, machten sie den Versuch, nach Bithynien zu gelangen, doch der Geist Jesu gestattete es ihnen nicht;
Apostelgeschichte 16:8	sie zogen vielmehr an der Grenze von Mysien hin und kamen so an die Küste nach Troas hinunter.
Apostelgeschichte 16:9	Hier erschien dem Paulus nachts ein Traumgesicht: Ein mazedonischer Mann stand da und sprach die Bitte gegen ihn aus: „Komm nach Mazedonien herüber und hilf uns!”
Apostelgeschichte 16:10	Als er diese Erscheinung gesehen hatte, suchten wir sofort eine Gelegenheit, nach Mazedonien zu gelangen, weil wir aus ihr schlossen, daß Gott uns dazu berufen habe, ihnen die Heilsbotschaft zu verkündigen.
Apostelgeschichte 16:11	¶ So segelten wir denn von Troas ab und fuhren geradeswegs nach Samothrake, am folgenden Tage nach Neapolis
Apostelgeschichte 16:12	und von dort nach Philippi, welches die erste (= bedeutendste) Stadt des (dortigen) mazedonischen Bezirks ist*), eine römische Kolonie (= Siedlung, oder: Pflanzstadt). In dieser Stadt blieben wir einige Tage
Apostelgeschichte 16:13	¶ und gingen am Sabbattage zum Stadttor hinaus an den Fluß, wo wir eine (jüdische) Gebetsstätte vermuteten. Wir setzten uns dort nieder und redeten zu den Frauen, die sich da versammelt hatten.
Apostelgeschichte 16:14	¶ Unter den Zuhörerinnen befand sich auch eine gottesfürchtige Frau namens Lydia, eine Purpurhändlerin aus der Stadt Thyatira (in Lydien); ihr öffnete der Herr das Herz, so daß sie den Worten des Paulus Beachtung schenkte.
Apostelgeschichte 16:15	Als sie sich dann samt ihren Hausgenossen hatte taufen lassen, sprach sie die Bitte aus: „Wenn ihr wirklich in mir eine treue Jüngerin des Herrn erkannt habt, so kommt in mein Haus und wohnt bei mir!” So nötigte sie uns (zu sich).
Apostelgeschichte 16:16	¶ Als wir nun (eines Tages wieder) auf dem Wege zu der Gebetsstätte waren, begegnete uns eine Magd (= Sklavin), die von einem Wahrsagegeist besessen war und ihrer Herrschaft durch ihr Wahrsagen viel Geld einbrachte.
Apostelgeschichte 16:17	Die ging hinter Paulus und uns her und rief laut: „Diese Männer sind Diener des höchsten Gottes, die euch den Weg zur Rettung (oder: zum Heil) verkündigen!”
Apostelgeschichte 16:18	Das setzte sie viele Tage hindurch fort. Darüber wurde Paulus unwillig; er wandte sich um und sprach zu dem Geist: „Ich gebiete dir im Namen Jesu Christi, von ihr auszufahren!” und er fuhr wirklich auf der Stelle aus.
Apostelgeschichte 16:19	Als nun die Herrschaft sah, daß es mit ihrer Hoffnung auf Geldgewinn vorbei war, ergriffen sie den Paulus und Silas, schleppten sie auf den Marktplatz vor die Behörde,
Apostelgeschichte 16:20	führten sie vor die Stadtrichter und sagten: „Diese Menschen stören die Ruhe in unserer Stadt; sie sind Juden
Apostelgeschichte 16:21	und verkünden Gebräuche, die wir als Römer nicht annehmen und ausüben dürfen.”
Apostelgeschichte 16:22	Da trat die Volksmenge gleichfalls gegen sie auf, und die Stadtrichter ließen ihnen die Kleider vom Leibe reißen und ordneten ihre Auspeitschung an.
Apostelgeschichte 16:23	Nachdem sie ihnen dann viele Stockschläge hatten verabfolgen lassen, setzten sie sie ins Gefängnis mit der Weisung an den Gefängnisaufseher, er solle sie in sicherem Gewahrsam halten.
Apostelgeschichte 16:24	Der warf sie auf diesen Befehl hin in die innerste Zelle des Gefängnisses und schloß ihnen die Füße in den Block ein.
Apostelgeschichte 16:25	¶ Um Mitternacht aber beteten Paulus und Silas und priesen Gott in Lobliedern; die übrigen Gefangenen aber hörten ihnen zu.
Apostelgeschichte 16:26	Da entstand plötzlich ein starkes Erdbeben, so daß die Grundmauern des Gefängnisses erbebten; sofort sprangen sämtliche Türen auf, und allen fielen die Fesseln von selbst ab.
Apostelgeschichte 16:27	Als nun der Gefängnisaufseher aus dem Schlaf erwachte und die Türen der Gefängniszellen offenstehen sah, zog er sein Schwert und wollte sich das Leben nehmen; denn er dachte, die Gefangenen seien entflohen.
Apostelgeschichte 16:28	Paulus jedoch rief mit lauter Stimme: „Tu dir kein Leid an, denn wir sind alle noch hier!”
Apostelgeschichte 16:29	Da rief jener nach Licht, stürzte in die Zelle hinein und warf sich zitternd vor Paulus und Silas nieder;
Apostelgeschichte 16:30	dann führte er sie hinaus und fragte sie: „Ihr Herren, was muß ich tun, um gerettet (= selig) zu werden?”
Apostelgeschichte 16:31	Sie antworteten: „Glaube an den Herrn Jesus, so wirst du mit deinem Hause gerettet werden.”
Apostelgeschichte 16:32	Nun verkündigten sie ihm und allen seinen Hausgenossen das Wort des Herrn.
Apostelgeschichte 16:33	Da nahm er sie noch in derselben Stunde der Nacht zu sich, wusch ihnen die blutigen Striemen ab und ließ sich mit all den Seinen sogleich taufen.
Apostelgeschichte 16:34	Danach führte er sie in seine Wohnung hinauf, ließ ihnen den Tisch decken und frohlockte mit seinem ganzen Hause, daß er zum Glauben an Gott gekommen war.
Apostelgeschichte 16:35	¶ Als es dann Tag geworden war, schickten die Stadtrichter ihre Gerichtsdiener und ließen sagen: „Laß jene Männer frei!”
Apostelgeschichte 16:36	Der Gefängnisaufseher teilte dem Paulus diese Botschaft mit: „Die Stadtrichter haben sagen lassen, ihr sollt freigelassen werden; so geht jetzt also hinaus und zieht in Frieden weiter!”
Apostelgeschichte 16:37	Paulus aber entgegnete ihnen: „Sie haben uns ohne Verhör und Urteil öffentlich auspeitschen lassen, obgleich wir römische Bürger sind, haben uns ins Gefängnis gesetzt und wollen uns jetzt unter der Hand ausweisen? O nein! sie sollen selbst herkommen und uns hinausgeleiten!”
Apostelgeschichte 16:38	Die Gerichtsdiener überbrachten diese Antwort den Stadtrichtern. Diese bekamen einen Schrecken, als sie hörten, daß es sich um römische Bürger handle;
Apostelgeschichte 16:39	sie kamen also, entschuldigten sich bei ihnen und führten sie (aus dem Gefängnis) hinaus mit der Bitte, sie möchten die Stadt verlassen.
Apostelgeschichte 16:40	Da gingen sie aus dem Gefängnis hinaus und begaben sich zu Lydia, besuchten dann die Brüder, sprachen ihnen zu und zogen weiter.
Apostelgeschichte 17:1	Nachdem sie durch Amphipolis und Apollonia gewandert waren, kamen sie nach Thessalonike, wo es eine Synagoge der Juden gab.
Apostelgeschichte 17:2	Nach seiner Gewohnheit ging Paulus zu ihnen hinein und besprach sich an drei Sabbaten (oder: drei Wochen lang) mit ihnen auf Grund der Schriftworte,
Apostelgeschichte 17:3	die er ihnen auslegte und aus denen er dartat, daß Christus (= der Messias) leiden und von den Toten auferstehen mußte, und (— so schloß er —): „Dieser Jesus, den ich euch verkündige, ist Christus (= der Messias).”
Apostelgeschichte 17:4	Einige von ihnen ließen sich auch überzeugen und wurden für Paulus und Silas gewonnen, ebenso auch gottesfürchtige Griechen (vgl. 14,1) in großer Zahl und nicht wenige von den vornehmsten Frauen.
Apostelgeschichte 17:5	Darüber wurden aber die Juden eifersüchtig, nahmen einige schlechte Männer aus dem Straßengesindel zu Hilfe, erregten einen Volksauflauf und brachten die Stadt in Aufruhr; dann stellten sie sich vor dem Hause Jasons auf und suchten dort nach Paulus und Silas, um sie dem versammelten Volke vorzuführen.
Apostelgeschichte 17:6	Als man sie dort aber nicht fand, schleppten sie den Jason und einige Brüder vor die Oberhäupter der Stadt, wobei sie schrieen: „Diese Menschen, die den ganzen Erdkreis aufgewiegelt haben, sind jetzt auch hierher gekommen:
Apostelgeschichte 17:7	Jason hat sie bei sich aufgenommen, und diese Leute verstoßen alle gegen die Verordnungen des Kaisers, denn sie behaupten, ein anderer sei König, nämlich Jesus.”
Apostelgeschichte 17:8	Durch solche Reden versetzten sie die Volksmenge und auch die Oberhäupter der Stadt in Aufregung;
Apostelgeschichte 17:9	diese ließen sich von Jason und den anderen die erforderliche Bürgschaft stellen und gaben sie dann frei.
Apostelgeschichte 17:10	¶ Die Brüder aber veranlaßten den Paulus und Silas sogleich noch während der Nacht dazu, nach Beröa aufzubrechen, wo sie sich nach ihrer Ankunft in die Synagoge der Juden begaben.
Apostelgeschichte 17:11	Diese waren edler gesinnt als die Juden in Thessalonike: sie nahmen das Wort mit aller Bereitwilligkeit an und forschten Tag für Tag in den (heiligen) Schriften, ob dies (alles) sich so verhalte.
Apostelgeschichte 17:12	So wurden denn viele von ihnen gläubig, auch von den vornehmen griechischen Frauen und Männern nicht wenige.
Apostelgeschichte 17:13	Als jedoch die Juden in Thessalonike erfuhren, daß auch in Beröa das Wort Gottes von Paulus verkündigt worden sei, kamen sie auch dorthin und versetzten die Volksmassen in Unruhe und Aufregung.
Apostelgeschichte 17:14	Da ließen die Brüder den Paulus sogleich (aus der Stadt) weggehen, damit er sich ans Meer begäbe, während Silas und Timotheus dort (in Beröa) zurückblieben.
Apostelgeschichte 17:15	Die Geleiter des Paulus aber brachten ihn bis Athen und kehrten dann von dort wieder zurück mit dem Auftrag an Silas und Timotheus, sie möchten möglichst bald zu ihm kommen.
Apostelgeschichte 17:16	¶ Während Paulus nun in Athen auf sie wartete, wurde er innerlich schmerzlich erregt, weil er die Stadt voll von Götterbildern sah.
Apostelgeschichte 17:17	Er besprach sich in der Synagoge mit den Juden und den zum Judentum übergetretenen Griechen, ebenso auf dem Markte Tag für Tag mit denen, die er dort gerade antraf.
Apostelgeschichte 17:18	Aber auch einige epikureische und stoische Philosophen (= Weltweise) ließen sich mit ihm ein, und manche sagten: „Was fällt denn diesem Schwätzer ein zu behaupten?” Andere aber meinten: „Er scheint ein Verkündiger fremder Gottheiten zu sein” — er verkündigte nämlich die Heilsbotschaft von Jesus und von der Auferstehung.
Apostelgeschichte 17:19	So nahmen sie ihn denn mit sich, führten ihn auf den Areshügel und fragten: „Dürfen wir erfahren, was das für eine neue Lehre ist, die du vorträgst?
Apostelgeschichte 17:20	Du gibst uns seltsame Dinge zu hören; darum möchten wir gern wissen, was dahinter steckt.”
Apostelgeschichte 17:21	Alle Athener nämlich und auch die dort sich aufhaltenden Ausländer hatten für nichts anderes so viel Zeit übrig als dafür, irgend eine Neuigkeit zu erzählen oder zu hören.
Apostelgeschichte 17:22	¶ So trat denn Paulus mitten auf den Areshügel und hielt folgende Rede: „Männer von Athen! nach allem, was ich sehe, seid ihr in besonderem Grade eifrige Gottesverehrer.
Apostelgeschichte 17:23	Denn als ich hier umherging und mir eure Heiligtümer ansah, fand ich auch einen Altar mit der Aufschrift: ‘Einem unbekannten Gott.’ Das Wesen nun, das ihr verehrt, ohne es zu kennen, das verkündige ich euch.
Apostelgeschichte 17:24	Der Gott, der die Welt und alles, was in ihr ist, geschaffen hat, er, der Herr des Himmels und der Erde, wohnt nicht in Tempeln, die von Menschenhand erbaut sind,
Apostelgeschichte 17:25	läßt sich auch nicht von Menschenhänden bedienen, als ob er etwas bedürfte, während er doch selbst allen Wesen Leben und Odem und alles andere gibt.
Apostelgeschichte 17:26	Er hat auch gemacht, daß das ganze Menschengeschlecht von einem einzigen (Stammvater) her auf der ganzen Oberfläche der Erde wohnt, und hat für sie bestimmte Zeiten ihres Bestehens und auch die Grenzen ihrer Wohnsitze festgesetzt:
Apostelgeschichte 17:27	sie sollten Gott suchen, ob sie ihn wohl wahrnehmen und finden möchten, ihn, der ja nicht fern von einem jeden unter uns ist;
Apostelgeschichte 17:28	denn in ihm leben wir und bewegen wir uns und sind wir (= haben wir unser Dasein), wie ja auch einige von euren Dichtern*) gesagt haben: ‘Seines Geschlechts sind auch wir.’
Apostelgeschichte 17:29	Weil wir also göttlichen Geschlechts sind, dürfen wir nicht meinen, die Gottheit gleiche dem Gold oder Silber oder Stein, einem Gebilde menschlicher Kunstfertigkeit und Überlegung.
Apostelgeschichte 17:30	Über die (früheren) Zeiten der Unwissenheit hat Gott zwar hinweggesehen; jetzt aber läßt er den Menschen ansagen, daß sie alle überall Buße tun sollen (vgl. Matth. 3,2);
Apostelgeschichte 17:31	denn er hat einen Tag festgesetzt, an welchem er den Erdkreis mit Gerechtigkeit richten will durch einen Mann, den er dazu ausersehen und den er für alle durch seine Auferweckung von den Toten beglaubigt hat.”
Apostelgeschichte 17:32	¶ Als sie aber von einer Auferstehung der Toten hörten, spotteten die einen, die anderen aber sagten: „Wir wollen dich hierüber später noch einmal hören.”
Apostelgeschichte 17:33	So ging denn Paulus aus ihrer Mitte hinweg.
Apostelgeschichte 17:34	Einige Männer jedoch schlossen sich ihm an und kamen zum Glauben, z. B. Dionysius, ein Mitglied des Areopags (= des obersten Gerichtshofes), sowie eine Frau namens Damaris und noch mehrere andere mit ihnen.
Apostelgeschichte 18:1	Hierauf verließ Paulus Athen und begab sich nach Korinth.
Apostelgeschichte 18:2	Dort traf er einen Juden namens Aquila, der aus Pontus stammte und erst vor kurzem mit seiner Frau Priscilla aus Italien gekommen war, weil (der Kaiser) Klaudius alle Juden aus Rom hatte ausweisen lassen. Paulus besuchte die beiden,
Apostelgeschichte 18:3	und weil er das gleiche Handwerk betrieb wie sie, blieb er bei ihnen wohnen und arbeitete mit ihnen zusammen; sie waren nämlich nach ihrem Handwerk Zeltmacher.
Apostelgeschichte 18:4	In der Synagoge aber besprach er sich an jedem Sabbat und suchte Juden wie Griechen (vgl. 14,1) zu gewinnen (oder: zu überzeugen).
Apostelgeschichte 18:5	Als dann Silas und Timotheus aus Mazedonien eingetroffen waren, widmete Paulus sich ganz der Lehrtätigkeit und bezeugte den Juden nachdrücklich, daß Jesus der Gottgesalbte (= Christus, oder: der Messias) sei.
Apostelgeschichte 18:6	Weil sie aber nichts davon wissen wollten und Lästerreden führten, schüttelte er den Staub von seinen Kleidern ab und sagte zu ihnen: „Euer Blut komme auf euer Haupt: ich bin unschuldig! von nun an wende ich mich an die Heiden!”
Apostelgeschichte 18:7	Damit ging er von dort weg und begab sich in das Haus eines Heidenjuden (vgl. 13,43) namens Titius Justus, dessen Haus an die Synagoge anstieß.
Apostelgeschichte 18:8	Crispus aber, der Vorsteher der Synagoge, wurde mit seinem ganzen Hause gläubig an den Herrn, und ebenso kamen viele Korinther, die Paulus predigen hörten, zum Glauben und ließen sich taufen.
Apostelgeschichte 18:9	Der Herr aber sagte zu Paulus bei Nacht in einem Traumgesicht: „Fürchte dich nicht, sondern rede weiter und schweige nicht;
Apostelgeschichte 18:10	denn ich bin mit dir, und niemand soll sich an dir vergreifen und dir ein Leid antun; denn ich habe ein zahlreiches Volk in dieser Stadt.”
Apostelgeschichte 18:11	So blieb denn Paulus anderthalb Jahre dort und lehrte das Wort Gottes unter ihnen.
Apostelgeschichte 18:12	¶ Als aber Gallio Statthalter von Griechenland (geworden) war, traten die Juden einmütig gegen Paulus auf und führten ihn vor den Richterstuhl (des Statthalters)
Apostelgeschichte 18:13	mit der Beschuldigung: „Dieser Mensch verleitet die Leute zu einer Gottesverehrung, die gegen unser Gesetz verstößt.”
Apostelgeschichte 18:14	Als Paulus sich nun dagegen verantworten wollte, sagte Gallio zu den Juden: „Wenn irgendein Verbrechen oder ein böswilliges Vergehen vorläge, ihr Juden, so würde ich eure Klage selbstverständlich angenommen haben;
Apostelgeschichte 18:15	wenn es sich jedoch (nur) um Streitfragen über eine Lehre und über Benennungen und über das für euch gültige Gesetz handelt, so müßt ihr selbst zusehen: über solche Dinge will ich nicht Richter sein.”
Apostelgeschichte 18:16	Damit wies er sie von seinem Richterstuhl weg.
Apostelgeschichte 18:17	Da fielen alle über Sosthenes, den Vorsteher der Synagoge, her und verprügelten ihn vor dem Richterstuhl; Gallio aber kümmerte sich nicht weiter darum.
Apostelgeschichte 18:18	¶ Nachdem Paulus dann noch längere Zeit (in Korinth) geblieben war, nahm er von den Brüdern Abschied und trat die Seefahrt nach Syrien an, und zwar zusammen mit Priscilla und Aquila, nachdem er sich in Kenchreä (dem östlichen Hafen Korinths) das Haupt hatte scheren lassen, weil er ein Gelübde getan (oder: zu erfüllen) hatte.
Apostelgeschichte 18:19	Sie kamen dann nach Ephesus, wo Paulus sich von jenen beiden trennte; er selbst aber ging in die Synagoge und unterredete sich mit den Juden.
Apostelgeschichte 18:20	Als sie ihn aber baten, er möchte noch länger dort bleiben, ging er nicht darauf ein,
Apostelgeschichte 18:21	sondern nahm Abschied von ihnen mit den Worten: „[Ich muß durchaus das bevorstehende Fest in Jerusalem feiern; aber] so Gott will, werde ich später zu euch zurückkehren.” Dann fuhr er zu Schiff von Ephesus ab,
Apostelgeschichte 18:22	landete in Cäsarea, ging (nach Jerusalem) hinauf, wo er die Gemeinde begrüßte, und zog dann nach Antiochia hinab.
Apostelgeschichte 18:23	¶ Nachdem er dort einige Zeit zugebracht hatte, brach er wieder auf, durchwanderte von einem Ort zum anderen das galatische Land und Phrygien und stärkte überall die Jünger (= Brüder) durch Zuspruch.
Apostelgeschichte 18:24	¶ Inzwischen war ein Jude namens Apollos, der aus Alexandria stammte, ein gelehrter (oder: redegewandter?) Mann, der in den (heiligen) Schriften außerordentlich bewandert war, nach Ephesus gekommen.
Apostelgeschichte 18:25	Er hatte Unterweisung über den Weg (d. h. in der Lehre) des Herrn erhalten, redete mit glühender Begeisterung und trug das auf Jesus Bezügliche richtig vor, obgleich er nur von der Taufe des Johannes wußte.
Apostelgeschichte 18:26	Dieser Mann fing dann auch an, in der Synagoge freimütig zu reden. Als Priscilla und Aquila ihn gehört hatten, traten sie mit ihm in Verbindung und setzten ihm die Lehre Gottes noch genauer auseinander.
Apostelgeschichte 18:27	Als er dann nach Griechenland hinüberzureisen wünschte, bestärkten die Brüder ihn in dieser Absicht und schrieben an die Jünger (in Korinth), sie möchten ihn freundlich aufnehmen. Nach seiner Ankunft leistete er denen, die gläubig geworden waren, durch seine Gnadengabe (oder: Begabung) die erfreulichsten Dienste;
Apostelgeschichte 18:28	denn in schlagender Weise widerlegte er die Juden öffentlich, indem er aus den (heiligen) Schriften nachwies, daß Jesus der Messias sei.
Apostelgeschichte 19:1	Während nun Apollos sich in Korinth aufhielt, kam Paulus, nachdem er das Binnenland von Kleinasien durchwandert hatte, nach Ephesus und fand dort einige Jünger vor.
Apostelgeschichte 19:2	Er fragte diese: „Habt ihr den heiligen Geist empfangen, nachdem ihr gläubig geworden waret?” Sie antworteten ihm: „Nein, wir haben überhaupt noch nichts davon gehört, ob der heilige Geist (schon) da ist.”
Apostelgeschichte 19:3	Darauf fragte er sie: „Worauf*) seid ihr denn getauft worden?” Sie antworteten: „Auf die Taufe des Johannes.”
Apostelgeschichte 19:4	Da sagte Paulus: „Johannes hat (nur) eine Bußtaufe vollzogen und dabei dem Volke geboten, sie sollten an den glauben, der nach ihm kommen würde, nämlich an Jesus.”
Apostelgeschichte 19:5	Als sie das hörten, ließen sie sich auf den Namen des Herrn Jesus taufen;
Apostelgeschichte 19:6	und als Paulus ihnen dann die Hände auflegte, kam der heilige Geist auf sie, und sie redeten mit Zungen und sprachen prophetisch.
Apostelgeschichte 19:7	Es waren dies im ganzen etwa zwölf Männer.
Apostelgeschichte 19:8	¶ Paulus ging dann in die Synagoge und trat dort ein Vierteljahr lang mit Freimut auf, indem er sich besprach und sie für das Reich Gottes zu gewinnen suchte.
Apostelgeschichte 19:9	Als manche jedoch verstockt und unzugänglich blieben und die (neue) Lehre (vgl. 18,26) vor der versammelten Menge schmähten, sagte er sich von ihnen los, sonderte auch die Jünger von ihnen ab und hielt nun täglich seine Vorträge (oder: Besprechungen) im Hörsaal eines gewissen Tyrannus.
Apostelgeschichte 19:10	Das ging so zwei Jahre lang fort, so daß alle Bewohner der Provinz Asien das Wort des Herrn zu hören bekamen, Juden sowohl wie Griechen (vgl. 14,1). —
Apostelgeschichte 19:11	Auch ungewöhnliche Wunder ließ Gott durch die Hände des Paulus geschehen,
Apostelgeschichte 19:12	so daß man sogar Schweißtücher oder Schürzen, die er (bei der Arbeit) an seinem Leibe getragen hatte, zu den Kranken brachte, worauf dann die Krankheiten von ihnen wichen und die bösen Geister ausfuhren.
Apostelgeschichte 19:13	¶ Nun unterfingen sich aber auch einige von den umherziehenden jüdischen Beschwörern, über Personen, die von bösen Geistern besessen waren, den Namen des Herrn Jesus auszusprechen, indem sie sagten: „Ich beschwöre euch bei dem Jesus, den Paulus predigt!”
Apostelgeschichte 19:14	Es waren besonders sieben Söhne eines gewissen Skeuas, eines Juden aus hohepriesterlichem Geschlecht, die das taten.
Apostelgeschichte 19:15	Der böse Geist aber gab ihnen zur Antwort: „Jesus kenne ich wohl, und auch Paulus ist mir bekannt; doch wer seid ihr?”
Apostelgeschichte 19:16	Hierauf sprang der Mensch, in welchem der böse Geist war, auf sie los, überwältigte beide und richtete sie so zu, daß sie unbekleidet und blutig geschlagen aus jenem Hause entflohen.
Apostelgeschichte 19:17	Dieses Vorkommnis wurde alsdann allen Juden und Griechen bekannt, die in Ephesus wohnten, und Furcht befiel sie alle; der Name des Herrn Jesus aber wurde hoch gepriesen.
Apostelgeschichte 19:18	Ebenso kamen auch viele von denen, die gläubig geworden waren, und bekannten offen und unverhohlen ihr früheres Treiben;
Apostelgeschichte 19:19	ja nicht wenige von denen, die sich mit Zauberei abgegeben hatten, brachten die Zauberbücher auf einen Haufen zusammen und verbrannten sie öffentlich. Als man ihre Preise (= ihren Wert) zusammenrechnete, kam der Betrag von fünfzigtausend Drachmen**) heraus.
Apostelgeschichte 19:20	So breitete sich das Wort des Herrn unaufhaltsam aus und wurde immer stärker.
Apostelgeschichte 19:21	¶ Als dieses glücklich ausgeführt war, entschloß sich Paulus dazu, Mazedonien und Griechenland zu durchwandern und sich dann nach Jerusalem zu begeben, wobei er erklärte: „Nachdem ich dort gewesen bin, muß ich auch Rom sehen.”
Apostelgeschichte 19:22	So sandte er denn zwei von seinen Gehilfen, Timotheus und Erastus, nach Mazedonien ab, während er selbst noch eine Zeitlang in der Provinz Asien verblieb.
Apostelgeschichte 19:23	¶ Um diese Zeit aber kam es (in Ephesus) zu großen Unruhen wegen des Weges (d. h. der christlichen Lehre, vgl. 18,25).
Apostelgeschichte 19:24	Ein Silberschmied nämlich, Demetrius mit Namen, der silberne Tempel der Artemis (= Diana) verfertigte und den Handwerkern dadurch viel zu verdienen gab,
Apostelgeschichte 19:25	berief diese und die hierbei beschäftigten Arbeiter zu einer Versammlung und sprach sich so aus: „Ihr Männer, ihr wißt, daß wir unsern Wohlstand diesem unserm Gewerbe verdanken.
Apostelgeschichte 19:26	Nun seht und hört ihr aber, daß dieser Paulus nicht nur hier in Ephesus, sondern beinahe in der ganzen Provinz Asien viele Leute durch sein Gerede betört hat, indem er ihnen vorhält, das seien keine Götter, die von Menschenhänden angefertigt würden.
Apostelgeschichte 19:27	Aber nicht nur dieser unser Erwerbszweig droht in Mißachtung zu kommen (oder: Einbuße zu erleiden), sondern auch der Tempel der großen Göttin Artemis schwebt in Gefahr, in völlige Mißachtung zu geraten; ja es ist zu befürchten, daß sie sogar ihres hohen Ruhmes ganz verlustig geht, während sie jetzt doch von ganz Asien, ja von aller Welt verehrt wird.”
Apostelgeschichte 19:28	Als sie das hörten, gerieten sie in volle Wut und riefen laut: „Groß ist die Artemis (= Diana) von Ephesus!”
Apostelgeschichte 19:29	Die ganze Stadt geriet in Aufruhr, und alle stürmten einmütig ins Theater*), wohin sie auch die Mazedonier Gajus und Aristarchus, die Reisegefährten des Paulus, mitschleppten.
Apostelgeschichte 19:30	Als Paulus nun (selbst) vor die Volksmenge treten wollte, ließen die Jünger (= Brüder) es ihm nicht zu;
Apostelgeschichte 19:31	auch einige von den obersten Beamten der Provinz Asien, die seine guten Freunde waren, schickten zu ihm und ließen ihm die Mahnung zugehen, er möchte sich nicht ins Theater begeben.
Apostelgeschichte 19:32	Dort schrie nun alles wild durcheinander; denn die Versammlung war ein Wirrwarr; die meisten wußten überhaupt nicht, weswegen man zusammengekommen war.
Apostelgeschichte 19:33	Da verständigte man aus der Volksmenge heraus den Alexander, den die Juden vorschoben. Dieser Alexander gab auch ein Zeichen mit der Hand und wollte eine Verteidigungsrede an das Volk richten;
