Mateo 1:1	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham:
1 Corintios 1:23	pero nosotros predicamos a Cristo crucificado, para los judíos ciertamente tropezadero, y para los gentiles locura;
1 Corintios 1:24	mas para los llamados, tanto judíos como griegos, Cristo es poder de Dios, y sabiduría de Dios.
1 Corintios 1:25	Porque lo insensato de Dios es más sabio que los hombres, y lo débil de Dios es más fuerte que los hombres.
1 Corintios 1:26	Pues mirad, hermanos, vuestro llamamiento, que no hay muchos sabios según la carne, ni muchos poderosos, ni muchos nobles;
1 Corintios 1:27	sino que lo necio del mundo escogió Dios para avergonzar a los sabios; y lo débil del mundo escogió Dios para avergonzar a lo fuerte;
1 Corintios 1:28	y lo vil del mundo y lo menospreciado escogió Dios, y lo que no es, para anular lo que es,
1 Corintios 1:29	para que ninguna carne se jacte en su presencia.
1 Corintios 1:30	Pero por él estáis vosotros en Cristo Jesús, el que ha sido hecho por Dios, para nosotros, sabiduría, y justificación, y santificación y redención,
1 Corintios 1:31	para que, como está escrito: El que se gloría, gloríese en el Señor.
1 Corintios 2:1	Así que, hermanos, cuando fui a vosotros para anunciaros el testimonio de Dios, no fui con excelencia de palabras o de sabiduría.
1 Corintios 2:2	Pues me propuse no saber entre vosotros cosa alguna sino a Jesucristo, y a este crucificado.
1 Corintios 2:3	Y estuve entre vosotros con debilidad, y mucho temor y temblor;
1 Corintios 2:4	y ni mi palabra ni mi predicación fueron con palabras persuasivas de humana sabiduría, sino con demostración del Espíritu y de poder,
1 Corintios 2:5	para que vuestra fe no estuviese fundada en la sabiduría de hombres, sino en el poder de Dios.
1 Corintios 2:6	No obstante, hablamos sabiduría entre los perfectos; y sabiduría, no de este mundo, ni de los príncipes de este mundo, que perecen.
1 Corintios 2:7	Pero hablamos sabiduría de Dios en misterio, la sabiduría oculta, la cual Dios destinó antes de los siglos para nuestra gloria,
1 Corintios 2:8	la que ninguno de los gobernantes de este mundo conoció, porque si la hubieran conocido, nunca habrían crucificado al Señor de gloria.
1 Corintios 2:9	Antes bien, como está escrito:Cosas que ojo no vio, ni oído oyó,ni han subido al corazón del hombre,son las que Dios ha preparado para aquellos que le aman.
1 Corintios 2:10	Pero Dios nos las reveló a nosotros por el Espíritu, porque el Espíritu todo lo escudriña, aun lo profundo de Dios.
1 Corintios 2:11	Porque, ¿quién de los hombres sabe las cosas del hombre, sino el espíritu del hombre que está en él? Así tampoco nadie conoció las cosas de Dios, sino el Espíritu de Dios.
1 Corintios 2:12	Y nosotros no hemos recibido el espíritu del mundo, sino el Espíritu que es de Dios, para que sepamos lo que Dios nos ha dado;
1 Corintios 2:13	lo cual también hablamos, no con palabras enseñadas por humana sabiduría, sino con las enseñadas por el Espíritu, acomodando lo espiritual a lo espiritual.
1 Corintios 2:14	Pero el hombre natural no percibe las cosas que son del Espíritu de Dios, porque para él son locura, y no las puede entender, porque se han de discernir espiritualmente.
1 Corintios 2:15	En cambio, el hombre espiritual juzga todas las cosas, pero él no es juzgado por nadie.
1 Corintios 2:16	Porque, ¿quién conoció la mente del Señor? ¿Quién le instruirá? Mas nosotros tenemos la mente de Cristo.
1 Corintios 3:1	De manera que yo, hermanos, no pude hablaros como a espirituales, sino como a carnales, como a niños en Cristo.
1 Corintios 3:2	Os di a beber leche, y no alimento sólido; porque aún no erais capaces, ni aún lo sois ahora,
1 Corintios 3:3	porque todavía sois carnales; pues, habiendo entre vosotros celos, y contiendas y disensiones, ¿no sois carnales, y andáis como hombres?
1 Corintios 3:4	Porque diciendo uno: Yo ciertamente soy de Pablo, y otro: Yo de Apolos, ¿no sois carnales?
1 Corintios 3:5	¿Qué, pues, es Pablo? ¿Y qué es Apolos? Servidores por medio de los cuales habéis creído; y eso según lo que a cada uno ha concedido el Señor.
1 Corintios 3:6	Yo planté, Apolos regó, pero Dios ha dado el crecimiento.
1 Corintios 3:7	Así que ni el que planta es algo, ni el que riega, sino Dios, que da el crecimiento.
1 Corintios 3:8	Y el que planta y el que riega son una misma cosa, aunque cada uno recibirá su recompensa conforme a su labor.
1 Corintios 3:9	Porque nosotros somos colaboradores de Dios, y vosotros sois labranza de Dios, edificio de Dios sois.
1 Corintios 3:10	Conforme a la gracia de Dios que me ha sido dada, yo como perito arquitecto puse el fundamento, y otro edifica encima; pero cada uno mire cómo edifica sobre él.
1 Corintios 3:11	Porque nadie puede poner otro fundamento que el que está puesto, el que es Jesucristo.
1 Corintios 3:12	Y si alguno edificare sobre este fundamento oro, plata, piedras preciosas, madera, heno, hojarasca,
1 Corintios 3:13	la obra de cada uno se hará manifiesta; porque el día la descubrirá, pues por el fuego será revelada; y la obra de cada uno, sea cual sea, el fuego la pondrá a prueba.
1 Corintios 3:14	Si permanece la obra de alguno que sobreedificó, recibirá recompensa.
1 Corintios 3:15	Si la obra de alguno fuere quemada, sufrirá pérdida; pero él mismo será salvo, aunque así como por fuego.
1 Corintios 3:16	¿No sabéis que sois templo de Dios, y que el Espíritu de Dios mora en vosotros?
1 Corintios 3:17	Si alguno profanare el templo de Dios, Dios le destruirá a él, porque el templo de Dios, el cual sois vosotros, santo es.
1 Corintios 3:18	Nadie se engañe a sí mismo; si alguno entre vosotros se cree sabio en este mundo, hágase ignorante para llegar a ser sabio.
1 Corintios 3:19	Porque la sabiduría de este mundo es insensatez para con Dios, pues escrito está: Él prende a los sabios en la astucia de ellos.
1 Corintios 3:20	Y otra vez: El Señor conoce los pensamientos de los sabios, que son vanos.
1 Corintios 3:21	Así que, ninguno se gloríe en los hombres, porque todo es vuestro:
1 Corintios 3:22	sea Pablo, sea Apolos, sea Cefas, sea el mundo, sea la vida, sea la muerte, sea lo presente, sea lo por venir, todo es vuestro,
1 Corintios 3:23	y vosotros sois de Cristo, y Cristo es de Dios.
1 Corintios 4:1	Así, pues, téngannos los hombres por ministros de Cristo, y mayordomos de los misterios de Dios.
1 Corintios 4:2	Ahora bien, se requiere de los mayordomos que cada uno sea hallado fiel.
1 Corintios 4:3	Yo en muy poco tengo el ser juzgado por vosotros, o por tribunal humano; y ni aun yo me juzgo a mí mismo.
1 Corintios 4:4	Porque aunque de nada tengo mala conciencia, no por eso soy justificado; pero el que me juzga es el Señor.
1 Corintios 4:5	Así que, no juzguéis nada antes de tiempo, hasta que venga el Señor, quien también aclarará lo oculto de las tinieblas, y manifestará las intenciones de los corazones; y entonces cada uno recibirá de Dios la alabanza.
1 Corintios 4:6	Pero esto, hermanos, lo he aplicado en sentido figurado a mí y a Apolos por amor de vosotros, para que en nosotros aprendáis a no ir más allá de lo que está escrito, no sea que por causa de uno, os envanezcáis el uno contra el otro.
1 Corintios 4:7	Porque, ¿quién te distingue? ¿O qué tienes que no hayas recibido? Y si lo recibiste, ¿por qué te glorías como si no lo hubieras recibido?
1 Corintios 4:8	Ya estáis saciados, ya sois ricos, y sin nosotros reináis; y ojalá reinaseis, para que nosotros reinásemos también juntamente con vosotros.
1 Corintios 4:9	Porque según lo que pienso, Dios nos ha mostrado a nosotros los apóstoles como los postreros, como a sentenciados a muerte; porque somos hechos espectáculo al mundo, y a los ángeles y a los hombres.
1 Corintios 4:10	Nosotros somos insensatos por amor de Cristo, y vosotros sois prudentes en Cristo; nosotros, débiles, y vosotros, fuertes; vosotros, nobles, y nosotros, despreciados.
1 Corintios 4:11	Hasta esta hora padecemos hambre, y tenemos sed, y estamos desnudos, y somos abofeteados y no tenemos dónde vivir;
1 Corintios 4:12	y nos fatigamos, trabajando con nuestras propias manos; nos maldicen, y bendecimos; padecemos persecución, y la sufrimos.
1 Corintios 4:13	Somos difamados, y respondemos con bondad; hemos venido a ser hasta ahora como la escoria del mundo, el desecho de todos.
1 Corintios 4:14	No escribo esto para avergonzaros, sino para amonestaros como a mis hijos amados.
1 Corintios 4:15	Porque aunque tengáis diez mil ayos en Cristo, no tendréis muchos padres, porque en Cristo Jesús yo os engendré por medio del evangelio.
1 Corintios 4:16	Por tanto, os ruego que me imitéis.
1 Corintios 4:17	Por lo cual os he enviado a Timoteo, que es mi hijo amado y fiel en el Señor, el que os recordará mis caminos en Cristo, de la manera que enseño en todas partes y en todas las iglesias.
1 Corintios 4:18	Mas algunos están envanecidos, como si yo nunca hubiese de ir a vosotros.
1 Corintios 4:19	Pero iré pronto a vosotros, si el Señor quiere, y conoceré, no las palabras de los que andan envanecidos, sino el poder.
1 Corintios 4:20	Porque el reino de Dios no consiste en palabras, sino en poder.
1 Corintios 4:21	¿Qué queréis? ¿Iré a vosotros con vara, o con amor y espíritu de mansedumbre?
1 Corintios 5:1	De cierto se oye que hay entre vosotros fornicación, y tal fornicación cual ni aun se nombra entre los gentiles, al extremo de que alguno tiene la esposa de su padre.
1 Corintios 5:2	Y vosotros estáis envanecidos, en lugar de haberos entristecido, para que fuese quitado de en medio de vosotros el que hizo tal cosa.
1 Corintios 5:3	Y yo ciertamente, como ausente en cuerpo, pero presente en espíritu, ya como si estuviera presente, he juzgado al que esto ha cometido.
1 Corintios 5:4	En el nombre de nuestro Señor Jesucristo, reunidos vosotros y mi espíritu, con el poder de nuestro Señor Jesucristo,
1 Corintios 5:5	el tal sea entregado a Satanás para destrucción de la carne, a fin de que el espíritu sea salvo en el día del Señor Jesús.
1 Corintios 5:6	No es buena vuestra jactancia. ¿No sabéis que un poco de levadura leuda toda la masa?
1 Corintios 5:7	Limpiaos, pues, de la vieja levadura para que seáis nueva masa, como sois, sin levadura, porque nuestra Pascua, que es Cristo, ya fue sacrificada por nosotros.
1 Corintios 5:8	Así que celebremos la fiesta, no con la vieja levadura, ni con la levadura de malicia y de maldad, sino con panes sin levadura, de sinceridad y de verdad.
1 Corintios 5:9	Os he escrito por carta que no andéis con los fornicarios;
1 Corintios 5:10	no quiero decir en general con todos los fornicarios de este mundo, ni con todos los avaros, los estafadores o los idólatras, pues en tal caso os sería menester salir del mundo.
1 Corintios 5:11	Más bien os he escrito para que no andéis con ninguno que, llamándose hermano, fuere fornicario, o avaro, o idólatra, o maldiciente, o borracho o estafador, con el tal ni aun comáis.
1 Corintios 5:12	Pues, ¿por qué habría yo de juzgar a los que están fuera? ¿No juzgáis vosotros a los que están dentro?
1 Corintios 5:13	Porque a los que están fuera, Dios juzgará. Quitad, pues, a ese malvado de entre vosotros.
1 Corintios 6:1	¿Se atreve alguno de vosotros, cuando tiene algo contra otro, ir a juicio delante de los injustos, y no delante de los santos?
1 Corintios 6:2	¿O no sabéis que los santos han de juzgar al mundo? Y si el mundo ha de ser juzgado por vosotros, ¿sois indignos de juzgar cosas muy pequeñas?
1 Corintios 6:3	¿O no sabéis que hemos de juzgar a los ángeles? ¿Cuánto más las cosas de esta vida?
1 Corintios 6:4	Por tanto, si tenéis juicios sobre cosas de esta vida, ¿ponéis para juzgar a los que son de menor estima en la iglesia?
1 Corintios 6:5	Para avergonzaros lo digo. ¿Pues qué, no hay entre vosotros sabio, ni aun uno, que pueda juzgar entre sus hermanos,
1 Corintios 6:6	sino que el hermano con el hermano pleitea en juicio, y esto ante los incrédulos?
1 Corintios 6:7	Así que, por cierto es ya una falta en vosotros que tengáis pleitos entre vosotros mismos. ¿Por qué no sufrís más bien el agravio? ¿por qué no sufrís más bien el ser defraudados?
1 Corintios 6:8	Pero vosotros cometéis el agravio, y defraudáis, y esto a los hermanos.
1 Corintios 6:9	¿No sabéis que los injustos no heredarán el reino de Dios? No os dejéis engañar: ni los fornicarios, ni los idólatras, ni los adúlteros, ni los afeminados, ni los que se echan con varones,
1 Corintios 6:10	ni los ladrones, ni los avaros, ni los borrachos, ni los maldicientes, ni los estafadores heredarán el reino de Dios.
1 Corintios 6:11	Y esto erais algunos, mas ya habéis sido lavados, mas ya habéis sido santificados, mas ya habéis sido justificados en el nombre del Señor Jesús, y por el Espíritu de nuestro Dios.
1 Corintios 6:12	Todas las cosas me son lícitas, mas no todas convienen; todas las cosas me son lícitas, mas yo no me someteré al poder de ninguna.
1 Corintios 6:13	Los alimentos son para el vientre, y el vientre para los alimentos; pero a él y a ellas tanto al uno como a los otros destruirá Dios. Pero el cuerpo no es para la fornicación, sino para el Señor, y el Señor para el cuerpo.
1 Corintios 6:14	Y Dios, que levantó al Señor, también a nosotros nos levantará con su poder.
1 Corintios 6:15	¿No sabéis que vuestros cuerpos son miembros de Cristo? ¿Quitaré pues los miembros de Cristo, y los haré miembros de una ramera? ¡De ningún modo!
1 Corintios 6:16	¿O no sabéis que el que se une con una ramera, es un solo cuerpo con ella? Porque dice: Los dos serán una sola carne.
1 Corintios 6:17	Pero el que se une al Señor, un solo espíritu es.
1 Corintios 6:18	Huid de la fornicación. Cualquier otro pecado que el hombre cometa está fuera del cuerpo; pero el que fornica, contra su propio cuerpo peca.
1 Corintios 6:19	¿O no sabéis que vuestro cuerpo es templo del Espíritu Santo, que está en vosotros, el que tenéis de Dios, y que no sois vuestros?
1 Corintios 6:20	Porque habéis sido comprados por precio; glorificad, pues, a Dios en vuestro cuerpo y en vuestro espíritu, los cuales son de Dios.
1 Corintios 7:1	En cuanto a las cosas de que me escribisteis, bueno es para el hombre no tocar mujer.
1 Corintios 7:2	Pero por causa de las fornicaciones, cada uno tenga su esposa, y cada una tenga su marido.
1 Corintios 7:3	El marido cumpla con la esposa el deber conyugal, y asimismo la esposa con el marido.
1 Corintios 7:4	La esposa no tiene potestad sobre su propio cuerpo, sino el marido; ni tampoco el marido tiene potestad sobre su propio cuerpo, sino la esposa.
1 Corintios 7:5	No os neguéis el uno al otro, a no ser por algún tiempo de mutuo consentimiento, para ocuparos en el ayuno y la oración; y volved a juntaros en uno, para que no os tiente Satanás a causa de vuestra falta de dominio propio.
1 Corintios 7:6	Mas esto digo por vía de concesión, no por mandamiento.
1 Corintios 7:7	Quisiera más bien que todos los hombres fuesen como yo; pero cada uno tiene su propio don de Dios; uno a la verdad de una manera, y otro de otra.
1 Corintios 7:8	Digo, pues, a los solteros y a las viudas, que bueno les fuera quedarse como yo.
1 Corintios 7:9	Pero si carecen de dominio propio, cásense; que mejor es casarse que quemarse.
1 Corintios 7:10	Y a los que están unidos en matrimonio, mando, no yo, sino el Señor: Que la esposa no se separe del marido;
1 Corintios 7:11	y si se separa, quédese sin casar, o reconcíliese con su marido; y que el marido no abandone a su esposa.
1 Corintios 7:12	Y a los demás yo digo, no el Señor: Si algún hermano tiene esposa que no sea creyente, y ella consiente en vivir con él, no la abandone.
1 Corintios 7:13	Y si una mujer tiene marido que no sea creyente, y él consiente en vivir con ella, no lo abandone.
1 Corintios 7:14	Porque el marido no creyente es santificado por la esposa, y la esposa no creyente, por el marido; pues de otra manera vuestros hijos serían impuros; mientras que ahora son santos.
1 Corintios 7:15	Pero si el no creyente se separa, sepárese, pues el hermano o la hermana no están sujetos a servidumbre en semejante caso, sino que a paz nos llamó Dios.
1 Corintios 7:16	Porque, ¿cómo sabes, oh mujer, si quizá salvarás a tu marido? O, ¿cómo sabes, oh marido, si quizá salvarás a tu esposa?
1 Corintios 7:17	Pero a cada uno como el Señor le repartió, y como Dios llamó a cada uno, así haga. Y así lo prescribo en todas las iglesias.
1 Corintios 7:18	¿Fue llamado alguno ya circuncidado? Quédese circunciso. ¿Fue llamado alguno incircuncidado? No se circuncide.
1 Corintios 7:19	La circuncisión nada es, y la incircuncisión nada es; sino la observancia de los mandamientos de Dios.
1 Corintios 7:20	Cada uno en el llamamiento en que fue llamado, quédese en él.
1 Corintios 7:21	¿Fuiste llamado siendo esclavo? No te preocupes; mas también, si puedes hacerte libre, procúralo.
1 Corintios 7:22	Porque el que en el Señor es llamado siendo esclavo, liberto es del Señor; asimismo, el que es llamado siendo libre, esclavo es de Cristo.
1 Corintios 7:23	Por precio sois comprados; no os hagáis esclavos de los hombres.
1 Corintios 7:24	Cada uno, hermanos, en el llamamiento en que fue llamado, así permanezca para con Dios.
1 Corintios 7:25	En cuanto a las que son vírgenes, no tengo mandamiento del Señor; pero doy mi parecer, como quien ha alcanzado misericordia del Señor para ser fiel.
1 Corintios 7:26	Tengo, pues, esto por bueno a causa de la dificultad que apremia, que bueno es al hombre quedarse así.
1 Corintios 7:27	¿Estás ligado a esposa? No procures separarte. ¿Estás libre de mujer? No procures esposa.
1 Corintios 7:28	Mas también si te casas, no pecas; y si la doncella se casa, no peca; pero los tales tendrán aflicción de la carne, y yo os la quisiera evitar.
1 Corintios 7:29	Pero esto digo, hermanos: El tiempo es corto; resta, pues, que los que tienen esposa sean como si no las tuvieran,
1 Corintios 7:30	y los que lloran, como si no llorasen; y los que se regocijan, como si no se regocijasen; y los que compran, como si no poseyesen;
1 Corintios 7:31	y los que disfrutan las cosas de este mundo, como si no las disfrutasen, porque la forma actual de este mundo pasará.
1 Corintios 7:32	Quisiera, pues, que estuvieseis sin congoja. El soltero se preocupa por las cosas que son del Señor, de cómo agradar al Señor;
1 Corintios 7:33	pero el casado se preocupa por las cosas que son del mundo, de cómo agradar a su esposa.
1 Corintios 7:34	Hay asimismo diferencia entre la casada y la doncella: la doncella se preocupa por las cosas del Señor, para ser santa tanto en el cuerpo como en el espíritu; pero la casada se preocupa por las cosas del mundo, de cómo agradar a su marido.
1 Corintios 7:35	Esto digo para vuestro provecho; no para poneros restricción, sino para lo honesto y decente, y para que sin impedimento os dediquéis al Señor.
1 Corintios 7:36	Mas, si a alguno le parece que no se comporta correctamente con respecto a su doncella, que pasa ya de edad, y que conviene que se haga algo, haga lo que quiera, no peca; cásense.
1 Corintios 7:37	Pero el que está firme en su corazón, y no tiene necesidad, sino que domina su voluntad, y ha determinado en su corazón guardar a su doncella, bien hace.
1 Corintios 7:38	Así que, el que se da en casamiento, bien hace; y el que no se da en casamiento, hace mejor.
1 Corintios 7:39	La mujer casada está ligada por la ley a su marido mientras él vive; pero si su marido muere, queda libre para casarse con quien quiera, con tal que sea en el Señor.
1 Corintios 7:40	Pero, a mi juicio, más venturosa será si se queda así; y pienso que también yo tengo el Espíritu de Dios.
1 Corintios 8:1	En cuanto a lo sacrificado a los ídolos, sabemos que todos tenemos conocimiento. El conocimiento envanece, pero la caridad edifica.
1 Corintios 8:2	Y si alguno se imagina que sabe algo, aún no sabe nada como debe saberlo.
1 Corintios 8:3	Pero si alguno ama a Dios, es conocido por él.
1 Corintios 8:4	En cuanto a comer lo sacrificado a los ídolos, sabemos que un ídolo nada es en el mundo, y que no hay más que un solo Dios.
1 Corintios 8:5	Porque aunque haya algunos que se llamen dioses, sea en el cielo o en la tierra (como hay muchos dioses y muchos señores),
1 Corintios 8:6	nosotros no tenemos más que un solo Dios, el Padre, de quien son todas las cosas, y nosotros de él; y un Señor, Jesucristo, por medio de quien son todas las cosas, y nosotros por medio de él.
1 Corintios 8:7	Pero no en todos hay este conocimiento, porque algunos, acostumbrados hasta aquí a los ídolos, comen el alimento como si fuera sacrificado a los ídolos; y su conciencia, siendo débil, se contamina.
1 Corintios 8:8	Si bien el alimento no nos hace más aceptos ante Dios, pues ni porque comamos seremos más, ni porque no comamos seremos menos.
1 Corintios 8:9	Pero mirad que esta libertad vuestra no sea tropezadero para los que son débiles.
1 Corintios 8:10	Porque si alguno te ve a ti, que tienes conocimiento, que estás sentado a la mesa en un lugar de ídolos, la conciencia de aquel que es débil, ¿no será alentada a comer de lo sacrificado a los ídolos?
1 Corintios 8:11	Y por tu conocimiento perecerá el hermano débil por quien Cristo murió.
1 Corintios 8:12	De esta manera, pues, pecando contra los hermanos, e hiriendo su débil conciencia, contra Cristo pecáis.
1 Corintios 8:13	Por lo cual, si la comida le es a mi hermano ocasión de caer, jamás comeré carne para no hacer tropezar a mi hermano.
1 Corintios 9:1	¿No soy apóstol? ¿No soy libre? ¿No he visto a Jesús el Señor nuestro? ¿No sois vosotros mi obra en el Señor?
1 Corintios 9:2	Si para los otros no soy apóstol, para vosotros ciertamente lo soy, porque el sello de mi apostolado sois vosotros en el Señor.
1 Corintios 9:3	Mi defensa contra los que me interrogan es esta:
1 Corintios 9:4	¿Acaso no tenemos derecho a comer y a beber?
1 Corintios 9:5	¿No tenemos derecho a traer con nosotros una esposa creyente, así como los otros apóstoles, y como los hermanos del Señor y como Cefas?
1 Corintios 9:6	¿O solo yo y Bernabé no tenemos derecho a no trabajar?
1 Corintios 9:7	¿Quién va a la guerra a sus propias expensas? ¿Quién planta viña, y no come de su fruto? O, ¿quién apacienta el rebaño, y no toma de la leche del rebaño?
1 Corintios 9:8	¿Digo esto según la manera de los hombres? ¿No dice esto también la ley?
1 Corintios 9:9	Porque en la ley de Moisés está escrito: No pondrás bozal al buey que trilla. ¿Se preocupa Dios por los bueyes?
1 Corintios 9:10	¿O lo dice expresamente por nosotros? Pues para nosotros está escrito: Porque con esperanza ha de arar el que ara; y el que trilla, con esperanza de recibir del fruto.
1 Corintios 9:11	Si nosotros sembramos entre vosotros lo espiritual, ¿es gran cosa si segamos de vosotros lo material?
1 Corintios 9:12	Si otros tienen sobre vosotros este derecho, ¿cuánto más nosotros? Sin embargo, no hemos usado de este derecho, antes bien, lo soportamos todo para no poner ningún obstáculo al evangelio de Cristo.
1 Corintios 9:13	¿No sabéis que los que trabajan en lo sagrado, comen lo del templo; y que los que sirven al altar, del altar participan?
1 Corintios 9:14	Así también ordenó el Señor a los que anuncian el evangelio, que vivan del evangelio.
1 Corintios 9:15	Pero yo de nada de esto me he aprovechado, ni tampoco he escrito esto para que se haga así conmigo, porque prefiero morir antes que alguien me prive de esta mi gloria.
1 Corintios 9:16	Porque si anuncio el evangelio, no tengo por qué gloriarme, porque me es impuesta necesidad; y, ¡ay de mí si no anunciara el evangelio!
1 Corintios 9:17	Por lo cual, si lo hago de buena voluntad, recompensa tendré; pero si lo hago porque se me ha impuesto, lo mismo es una tarea que se me ha encomendado.
1 Corintios 9:18	¿Cuál, pues, es mi galardón? Que, predicando el evangelio, presente gratuitamente el evangelio de Cristo, para no usar mal mi autoridad en el evangelio.
1 Corintios 9:19	Por lo cual, siendo libre de todos, me he hecho siervo de todos, para ganar al mayor número.
1 Corintios 9:20	Me he hecho a los judíos como judío, para ganar a los judíos; a los que están sujetos a la ley (aunque yo no estoy sujeto a la ley) como sujeto a la ley, para ganar a los que están sujetos a la ley;
1 Corintios 9:21	a los que están sin ley, como si yo estuviera sin ley (no estando yo sin ley de Dios, sino bajo la ley de Cristo), para ganar a los que están sin ley.
1 Corintios 9:22	Me he hecho débil a los débiles, para ganar a los débiles; a todos me he hecho de todo, para que de todos modos salve a algunos.
1 Corintios 9:23	Y esto hago por causa del evangelio, para hacerme copartícipe de él.
1 Corintios 9:24	¿No sabéis que los que corren en el estadio, todos a la verdad corren, pero solo uno se lleva el premio? Corred de tal manera que lo obtengáis.
1 Corintios 9:25	Y todo aquel que compite, de todo se abstiene; y ellos, a la verdad, para recibir una corona corruptible, pero nosotros, una incorruptible.
1 Corintios 9:26	Así que, yo de esta manera corro, no como a la ventura; de esta manera peleo, no como quien da golpes al aire;
1 Corintios 9:27	sino que golpeo mi cuerpo, y lo pongo en servidumbre, no sea que, habiendo predicado a otros, yo mismo venga a ser descalificado.
1 Corintios 10:1	Porque no quiero, hermanos, que ignoréis que nuestros padres todos estuvieron bajo la nube, y todos pasaron por el mar;
1 Corintios 10:2	y todos en Moisés fueron bautizados en la nube y en el mar;
1 Corintios 10:3	y todos comieron el mismo alimento espiritual;
1 Corintios 10:4	y todos bebieron la misma bebida espiritual, porque bebían de la roca espiritual que los seguía, y la roca era Cristo.
1 Corintios 10:5	Pero Dios no se agradó de muchos de ellos, por lo cual quedaron tendidos en el desierto.
1 Corintios 10:6	Estas cosas sucedieron como ejemplo para nosotros, a fin de que no codiciemos cosas malas, como ellos codiciaron.
1 Corintios 10:7	Ni seáis idólatras, como algunos de ellos, según está escrito: Se sentó el pueblo a comer y a beber, y se levantó a divertirse.
1 Corintios 10:8	Ni forniquemos, como algunos de ellos fornicaron, y cayeron en un día veintitrés mil.
1 Corintios 10:9	Ni tentemos a Cristo, como también algunos de ellos le tentaron, y perecieron por las serpientes.
1 Corintios 10:10	Ni murmuréis, como algunos de ellos murmuraron, y perecieron por el destructor.
1 Corintios 10:11	Y estas cosas les acontecieron como ejemplo; y están escritas para nuestra admonición, para quienes ha llegado el fin de los siglos.
1 Corintios 10:12	Así que, el que piensa estar firme, mire que no caiga.
1 Corintios 10:13	No os ha sobrevenido ninguna tentación que no sea humana; pero fiel es Dios, que no os dejará ser tentados más de lo que podáis resistir, sino que dará también juntamente con la tentación la salida, para que podáis soportar.
1 Corintios 10:14	Por tanto, amados míos, huid de la idolatría.
1 Corintios 10:15	Como a sensatos os hablo; juzgad vosotros lo que digo.
1 Corintios 10:16	La copa de bendición que bendecimos, ¿no es la comunión de la sangre de Cristo? El pan que partimos, ¿no es la comunión del cuerpo de Cristo?
1 Corintios 10:17	Siendo uno solo el pan, nosotros, con ser muchos, somos un cuerpo, pues todos participamos de aquel mismo pan.
1 Corintios 10:18	Mirad a Israel según la carne: Los que comen de los sacrificios, ¿no son partícipes del altar?
1 Corintios 10:19	¿Qué digo, pues? ¿Que el ídolo es algo, o que sea algo lo que se sacrifica a los ídolos?
1 Corintios 10:20	Antes bien, digo que lo que los gentiles sacrifican, a los demonios lo sacrifican, y no a Dios; y no quiero que vosotros os hagáis partícipes con los demonios.
1 Corintios 10:21	No podéis beber la copa del Señor y la copa de los demonios; no podéis ser partícipes de la mesa del Señor y de la mesa de los demonios.
1 Corintios 10:22	¿O provocaremos a celos al Señor? ¿Somos más fuertes que él?
1 Corintios 10:23	Todo me es lícito, pero no todo conviene; todo me es lícito, pero no todo edifica.
1 Corintios 10:24	Ninguno busque su propio bien, sino el del otro.
1 Corintios 10:25	De todo lo que se vende en la carnicería, comed, sin preguntar nada por motivos de conciencia;
1 Corintios 10:26	porque del Señor es la tierra y su plenitud.
1 Corintios 10:27	Y si algún incrédulo os invita, y queréis ir, de todo lo que se os ponga delante comed, sin preguntar nada por motivos de conciencia.
1 Corintios 10:28	Pero si alguien os dice: Esto fue sacrificado a los ídolos; no lo comáis, por causa de aquel que lo declaró, y por motivos de conciencia, porque del Señor es la tierra y su plenitud.
1 Corintios 10:29	La conciencia, digo, no la tuya, sino la del otro. Pues, ¿por qué ha de ser juzgada mi libertad por la conciencia de otro?
1 Corintios 10:30	Y si yo con agradecimiento participo, ¿por qué he de ser censurado por aquello por lo que doy gracias?
1 Corintios 10:31	Si, pues, coméis o bebéis, o hacéis otra cosa, hacedlo todo para la gloria de Dios.
1 Corintios 10:32	No seáis tropiezo ni a judíos, ni a gentiles, ni a la iglesia de Dios;
1 Corintios 10:33	como también yo en todas las cosas complazco a todos, no procurando mi propio beneficio, sino el de muchos, para que sean salvos.
1 Corintios 11:1	Sed imitadores de mí, así como yo lo soy de Cristo.
1 Corintios 11:2	Y os alabo, hermanos, porque en todo os acordáis de mí, y retenéis las instrucciones tal como os las enseñé.
1 Corintios 11:3	Pero quiero que sepáis que Cristo es la cabeza de todo varón, y el varón es la cabeza de la mujer, y Dios, la cabeza de Cristo.
1 Corintios 11:4	Todo varón que ora o profetiza con la cabeza cubierta, deshonra su cabeza.
1 Corintios 11:5	Pero toda mujer que ora o profetiza con la cabeza descubierta, deshonra su cabeza, porque lo mismo es que si se hubiese rapado.
1 Corintios 11:6	Porque si la mujer no se cubre la cabeza, córtese también el cabello; y si le es vergonzoso a la mujer cortarse el cabello o raparse, cúbrase.
1 Corintios 11:7	Porque el varón no ha de cubrirse la cabeza, pues él es imagen y gloria de Dios; pero la mujer es gloria del varón,
1 Corintios 11:8	porque el varón no procede de la mujer, sino la mujer del varón,
1 Corintios 11:9	Y tampoco el varón fue creado por causa de la mujer, sino la mujer por causa del varón.
1 Corintios 11:10	Por lo cual, la mujer debe tener señal de autoridad sobre su cabeza, por causa de los ángeles.
1 Corintios 11:11	Pero en el Señor, ni el varón es sin la mujer, ni la mujer sin el varón.
