Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
Ijob 28:15	Für geläutertes Gold ist sie nicht feil, und Silber kann nicht als Kaufpreis für sie dargewogen werden;
Ijob 28:16	sie läßt sich nicht aufwägen mit Feingold von Ophir, mit kostbarem Onyx und Saphir.
Ijob 28:17	Gold und Prachtglas kann man ihr nicht gleichstellen, noch sie eintauschen gegen Kunstwerke von gediegenem Gold;
Ijob 28:18	Korallen und Kristall kommen (neben ihr) nicht in Betracht, und der Besitz der Weisheit ist mehr wert als Perlen.
Ijob 28:19	Äthiopiens Topas reicht nicht an sie heran, mit reinstem Feingold wird sie nicht aufgewogen.
Ijob 28:20	Die Weisheit also — woher kommt sie, und wo ist die Fundstätte der Erkenntnis?
Ijob 28:21	Verborgen ist sie vor den Augen aller lebenden Wesen und verhüllt sogar vor den Vögeln des Himmels.
Ijob 28:22	Die Unterwelt und das Totenreich sagen von ihr: ‘Nur ein Gerücht von ihr ist uns zu Ohren gedrungen.’”
Ijob 28:23	¶ „Gott hat den Weg zu ihr (allein) erschaut, und er kennt ihre Fundstätte;
Ijob 28:24	denn er blickt bis zu den Enden der Erde und sieht, was unter dem ganzen Himmel ist.
Ijob 28:25	Als dem Winde seine Wucht bestimmte und die Wasser mit dem Maß abwog;
Ijob 28:26	als er dem Regen sein Gesetz vorschrieb und dem Wetterstrahl die Bahn anwies:
Ijob 28:27	da sah er sie und betätigte (oder: entfaltete) sie, setzte sie ein und erforschte sie auch.
Ijob 28:28	Zu dem Menschen aber sprach er: ‘Wisse wohl: die Furcht vor dem Allherrn — das ist Weisheit, und das Böse meiden — das ist Verstand!’”
Ijob 29:1	Hierauf fuhr Hiob in seiner Rede so fort:
Ijob 29:2	¶ „O daß es mit mir noch so stände wie in den früheren Monden, wie in den Tagen, wo Gott mich behütete!
Ijob 29:3	als seine Leuchte noch über meinem Haupte strahlte und ich in seinem Licht durch das Dunkel wandelte,
Ijob 29:4	so, wie es mit mir in den Tagen meines Herbstes (d. h. meiner Vollreife oder: Vollkraft) stand, als Gottes Freundschaft über meinem Zelt waltete,
Ijob 29:5	als der Allmächtige noch auf meiner Seite stand, meine Söhne (oder: Kinder) noch rings um mich her waren;
Ijob 29:6	als meiner Füße Tritte sich in Milch badeten und jeder Fels neben mir Bäche von Öl fließen ließ!”
Ijob 29:7	¶ „Wenn ich (damals) hinaufging zum Tor der Stadt und meinen Stuhl auf dem Marktplatz aufstellte,
Ijob 29:8	da traten die jungen Männer zurück, sobald sie mich sahen, und die Greise erhoben sich und blieben stehen;
Ijob 29:9	die Fürsten (oder: Vornehmen) hielten an sich mit ihrem Reden und legten die Hand auf ihren Mund;
Ijob 29:10	die Stimme der Edlen verstummte, und die Zunge blieb ihnen am Gaumen kleben.
Ijob 29:11	Denn wessen Ohr mich hörte, der pries mich glücklich, und jedes Auge, das mich sah, legte Zeugnis für mich ab*);
Ijob 29:12	denn ich rettete den Elenden, der um Hilfe schrie, und die Waise, die sonst keinen Helfer hatte.
Ijob 29:13	Der Segensspruch dessen, der verloren schien, erscholl über mich, und das Herz der Witwe machte ich jubeln.
Ijob 29:14	In Gerechtigkeit kleidete ich mich, und sie war mein Ehrenkleid: wie ein Prachtgewand und Kopfbund schmückte mich mein Rechttun (= meine Ehrenhaftigkeit).
Ijob 29:15	Für den Blinden war ich das Auge und für den Lahmen der Fuß;
Ijob 29:16	ein Vater war ich für die Armen, und der Rechtssache des mir Unbekannten nahm ich mich gewissenhaft an;
Ijob 29:17	dem Frevler (oder: Rechtsverdreher) zerschmetterte ich das Gebiß und riß ihm den Raub aus den Zähnen.
Ijob 29:18	So dachte ich denn: ‘Im Besitz meines Nestes werde ich sterben und mein Leben werde ich lange wie der Phönix**) erhalten;
Ijob 29:19	meine Wurzel wird am Wasser ausgebreitet liegen und der Tau auf meinen Zweigen nächtigen;
Ijob 29:20	mein Ansehen wird unverändert mir verbleiben und mein Bogen sich in meiner Hand stets verjüngen’.
Ijob 29:21	Mir hörten sie zu und warteten auf mich und lauschten schweigend auf meinen Rat.
Ijob 29:22	Wenn ich gesprochen hatte, nahm keiner nochmals das Wort, sondern meine Rede träufelte auf sie herab.
Ijob 29:23	Sie warteten auf meine Rede wie auf den Regen und sperrten den Mund nach mir auf wie nach Frühlingsregen.
Ijob 29:24	Ich lächelte ihnen zu, wenn sie mutlos waren, und das heitere Antlitz vermochten sie mir nicht zu trüben.
Ijob 29:25	So oft ich den Weg zu ihnen einschlug, saß ich als Haupt da und thronte wie ein König in der Kriegerschar, wie einer, der Leidtragenden Trost spendet.”
Ijob 30:1	Jetzt aber lachen über mich auch solche, die jünger an Jahren sind als ich, deren Väter ich nicht gewürdigt habe, sie neben den Wachhunden meines Kleinviehs anzustellen.
Ijob 30:2	Wozu hätte mir auch die Kraft ihrer Hände nützen können? Bei ihnen war ja die volle Rüstigkeit verloren gegangen.
Ijob 30:3	Durch Mangel und Hunger erschöpft, nagen sie das dürre Land ab, die unfruchtbare und öde Steppe;
Ijob 30:4	sie pflücken sich Melde (oder: Salzkraut) am Buschwerk ab, und die Ginsterwurzel ist ihr Brot.
Ijob 30:5	Aus der Gemeinde (oder: menschlichen Gesellschaft) werden sie ausgestoßen: man schreit über sie wie über Diebe.
Ijob 30:6	In schauerlichen Klüften müssen sie wohnen, in Erdlöchern und Felshöhlen;
Ijob 30:7	zwischen Sträuchern brüllen sie, unter Dorngestrüpp halten sie Zusammenkünfte:
Ijob 30:8	verworfenes und ehrloses Gesindel, das man aus dem Lande hinausgepeitscht hat.”
Ijob 30:9	¶ „Und jetzt bin ich ihr Spottlied geworden und diene ihrem Gerede zur Kurzweil (oder: als Zielscheibe).
Ijob 30:10	Mit Abscheu halten sie sich fern von mir und scheuen sich nicht, vor mir auszuspeien;
Ijob 30:11	weil Gott meine Bogensehne abgespannt und mich niedergebeugt hat, lassen sie den Zügel vor mir schießen.
Ijob 30:12	Zu meiner Rechten erhebt sich die Brut; sie stoßen meine Füße weg und schütten ihre Unheilsstraßen gegen mich auf.
Ijob 30:13	Meinen Pfad haben sie aufgerissen, auf meinen Sturz arbeiten sie hin, niemand tut ihnen Einhalt.
Ijob 30:14	Wie durch einen breiten Mauerriß (oder: eine Bresche) kommen sie heran, durch die Trümmer (oder: mit wildem Lärm) wälzen sie sich daher:
Ijob 30:15	ein Schreckensheer hat sich gegen mich gekehrt; wie vom Sturmwind wird meine Ehre weggerafft, und wie eine Wolke ist mein Glück vorübergezogen!”
Ijob 30:16	¶ „So verblutet sich denn jetzt das Herz in mir*): die Tage des Elends halten mich in ihrer Gewalt.
Ijob 30:17	Die Nacht bohrt in meinen Gebeinen und löst sie von mir ab, und die an mir nagenden Schmerzen schlafen nicht.
Ijob 30:18	Durch Allgewalt ist mein Gewand (d. h. meine Haut) entstellt: so eng wie mein Unterkleid (oder: Panzer) umschließt es mich.
Ijob 30:19	Gott hat mich in den Kot geworfen, und ich bin (an Ansehen) dem Staub und der Asche gleichgestellt.
Ijob 30:20	Schreie ich zu dir, so antwortest du mir nicht; trete ich vor dich hin, so achtest du nicht auf mich:
Ijob 30:21	du hast dich mir in einen erbarmungslosen Feind verwandelt; mit deiner starken Hand bekämpfst du mich.
Ijob 30:22	Du hebst mich auf (die Fittiche) des Sturmwindes empor, läßt mich dahinfahren und im Sturmestosen vergehen.
Ijob 30:23	Ja, ich weiß es: in den Tod willst du mich heimführen und in das Versammlungshaus aller Lebenden!”
Ijob 30:24	¶ „Doch streckt man nicht beim Ertrinken die Hand (nach Rettung) aus, und erhebt man beim Versinken nicht darob einen Hilferuf?
Ijob 30:25	Habe ich denn nicht um den geweint, der harte Tage durchzumachen hatte, und ist mein Herz nicht um den Armen bekümmert gewesen?
Ijob 30:26	Ja, auf Glück habe ich gewartet, aber Unheil kam; und ich harrte auf Licht, aber es kam Finsternis.
Ijob 30:27	Mein Inneres ist in Aufruhr ohne Unterlaß, Leidenstage haben mich überfallen.
Ijob 30:28	In Trauer gehe ich einher ohne Sonne (oder: ohne Trost); ich stehe in der versammelten Gemeinde auf und schreie;
Ijob 30:29	den (heulenden) Schakalen bin ich ein Bruder geworden und den (klagenden) Straußen ein Genosse.
Ijob 30:30	Meine Haut löst sich, schwarz geworden, von mir ab, und mein Gebein ist von Fieberglut ausgedörrt.
Ijob 30:31	So ist denn mein Zitherspiel zum Trauerlied (= zur Totenklage) geworden und meine Schalmei zu Tönen der Klage!”
Ijob 31:1	„Mit meinen Augen habe ich einen Bund abgeschlossen, daß ich ja nicht lüstern nach einer Jungfrau blickte.
Ijob 31:2	Denn was wäre der Lohn Gottes von oben gewesen und die Vergeltung des Allmächtigen aus Himmelshöhen?*)
Ijob 31:3	Trifft nicht Verderben den Frevler und Unglück die Übeltäter?
Ijob 31:4	Sieht er (d. h. Gott) nicht meine Wege, und zählt er nicht alle meine Schritte?”
Ijob 31:5	¶ „Wenn ich mit Falschheit umgegangen bin und mein Fuß jemals der Täuschung zugeeilt ist: —
Ijob 31:6	Gott wäge mich auf gerechter (= richtiger) Waage, so wird er meine Unschuld erkennen!
Ijob 31:7	Wenn mein Schritt jemals vom: rechten Wege abgewichen und mein Herz meinen Augen Folge geleistet hat und ein Flecken an meinen Händen kleben geblieben ist,
Ijob 31:8	so will ich säen und ein anderer möge es verzehren, und alles, was mir sproßt, möge ausgerissen werden!”
Ijob 31:9	¶ „Wenn mein Herz sich um eines Weibes willen hat betören lassen und ich an der Tür meines Nächsten auf der Lauer gestanden habe,
Ijob 31:10	so soll mein Weib für einen andern die Mühle drehen und andere mögen sich über sie hinstrecken!
Ijob 31:11	denn das wäre eine Schandtat gewesen und das ein Vergehen für den Strafrichter;
Ijob 31:12	ja, ein Feuer wäre das gewesen, das bis zum Abgrund (= zur Unterwelt, vgl. 26,6) gefressen und meinen gesamten Besitz bis auf die Wurzel hätte vernichten müssen.”
Ijob 31:13	¶ „Wenn ich das Recht meines Knechtes und meiner Magd mißachtet hätte, so oft sie im Streit mit mir lagen:
Ijob 31:14	was hätte ich da tun sollen, wenn Gott aufgestanden wäre? und was hätte ich ihm bei seiner Untersuchung erwidern können?
Ijob 31:15	Hat nicht mein Schöpfer auch ihn im Mutterleibe geschaffen und ein und derselbe uns im Mutterschoße gebildet?”
Ijob 31:16	¶ „Wenn ich den Geringen ihr Begehren versagt und die Augen der Witwe habe schmachten lassen
Ijob 31:17	und meinen Bissen für mich allein verzehrt habe, ohne daß der Verwaiste sein Teil davon genossen hat, —
Ijob 31:18	nein, von meiner Jugend an ist er mir ja wie einem Vater aufgewachsen, und von meiner Mutter Leibe an bin ich ein Beschützer für jenen gewesen —;
Ijob 31:19	wenn ich jemand habe verkommen sehen aus Mangel an Kleidung und daß ein Armer keine Schlafdecke hatte,
Ijob 31:20	und dann seine Hüften mich nicht gesegnet haben und er sich nicht durch meiner Lämmer Wolle erwärmt hat;
Ijob 31:21	wenn ich meine Faust jemals gegen eine Waise geschwungen habe, weil ich im Tor (= vor Gericht) auf Beistand rechnen konnte:
Ijob 31:22	so möge meine Schulter von ihrem Nacken fallen und mein Arm aus seiner Röhre ausgebrochen werden!
Ijob 31:23	Denn als ein Schrecken wäre auf mich das Strafgericht Gottes eingedrungen, und vor seiner Erhabenheit hätte ich nicht zu bestehen vermocht.”
Ijob 31:24	¶ „Wenn ich je auf Gold mein Vertrauen gesetzt und zum Feingold gesagt habe: ‘Du bist meine Zuversicht!’
Ijob 31:25	wenn ich mich darüber gefreut habe, daß mein Vermögen groß war und daß meine Hand Ansehnliches erworben hatte;
Ijob 31:26	wenn ich die Sonne angeschaut habe, wie hell sie strahlt, und den Mond, wie er in Pracht dahinwandelt,
Ijob 31:27	und mein Herz sich insgeheim hat betören lassen, daß ich ihnen eine Kußhand zuwarf: —
Ijob 31:28	auch das wäre eine Verschuldung für den Strafrichter gewesen, denn damit hätte ich Gott in der Höhe die Treue gebrochen. —
Ijob 31:29	Wenn ich mich je über das Unglück meines Feindes gefreut und darüber gejubelt habe, daß ein Mißgeschick ihm zugestoßen war: —
Ijob 31:30	nein, nie habe ich meiner Zunge zu sündigen gestattet, daß sie durch einen Fluch sein Leben gefordert hätte; —
Ijob 31:31	wenn meine Zeltgenossen nicht gesagt haben: ‘Wo ist einer, der vom Fleisch seines Schlachtviehs nicht satt geworden wäre?’ —
Ijob 31:32	nein, der Fremdling durfte nicht im Freien übernachten, und meine Tür hielt ich dem Wanderer offen; —
Ijob 31:33	wenn ich meine Übertretungen, wie Menschen tun, verheimlicht habe, indem ich mein Vergehen in meinem Busen verbarg,
Ijob 31:34	weil ich mich vor der großen Menge scheute und die Mißachtung der Geschlechter mich schreckte, so daß ich mich still verhielt, nicht vor die Tür hinaustrat; —
Ijob 31:38	wenn mein Acker je über mich geschrien und seine Furchen allesamt geweint haben;
Ijob 31:39	wenn ich seinen Ertrag ohne Zahlung verzehrt und seinen Besitzer ums Leben gebracht habe (oder: habe seufzen lassen):
Ijob 31:40	so sollen mir Disteln statt des Weizens aufgehen und Unkraut statt der Gerste!”*)
Ijob 31:35	¶ „O hätte ich doch einen, der mich anhören wollte! Siehe, hier ist meine Unterschrift! der Allmächtige antworte mir! Und hätte ich doch die von meinem Gegner ausgefertigte Klageschrift!
Ijob 31:36	Wahrlich, an meiner Schulter wollte ich sie zur Schau tragen, als Ehrenkranz sie mir um die Schläfe winden!
Ijob 31:37	Denn über die Zahl meiner Schritte wollte ich ihm Rede stehen, wie zu einem Fürsten müßte er herannahen!”(Die Reden Hiobs sind zu Ende.)
Ijob 32:1	Als nun jene drei Männer es aufgegeben hatten, dem Hiob (darauf) zu antworten, daß er sich selbst für gerecht hielt,
Ijob 32:2	da entbrannte der Zorn des Busiters Elihu**), des Sohnes Barachels, aus dem Geschlechte Ram (vgl. Ruth 4. 19). Gegen Hiob war er in Zorn geraten, weil dieser Gott gegenüber im Recht zu sein behauptete***);
Ijob 32:3	und gegen dessen drei Freunde war er deshalb in Zorn geraten, weil sie nicht die (rechte) Antwort gefunden hatten, um Hiob als schuldig zu erweisen†).
Ijob 32:4	Elihu hatte aber mit einer Entgegnung an Hiob an sich gehalten, weil jene älter an Jahren waren als er.
Ijob 32:5	Als Elihu aber sah, daß im Munde der drei Männer keine Widerlegung sich fand, geriet er in Zorn.
Ijob 32:6	So nahm denn der Busiter Elihu, der Sohn Barachels, das Wort und sagte: ¶ „Noch jung bin ich an Tagen, und ihr seid Greise; darum habe ich mich gescheut und an mich gehalten, euch mein Wissen kundzutun.
Ijob 32:7	Ich dachte: ‘Das Alter mag reden und die Menge der Jahre Weisheit an den Tag legen!’
Ijob 32:8	Jedoch der Geist ist es in den Menschen und der Hauch (oder: Odem) des Allmächtigen, der ihnen Einsicht verleiht.
Ijob 32:9	Nicht die Bejahrten sind die weisesten, und nicht die Greise (an sich) verstehen sich auf das, was Recht ist.
Ijob 32:10	Darum sage ich: ‘Hört mir zu! laßt auch mich mein Wissen euch kundtun’.
Ijob 32:11	Seht, ich habe auf eure Reden geharrt, habe nach einsichtigen Darlegungen von euch hingehorcht, bis ihr die rechten Worte ausfindig machen würdet,
Ijob 32:12	ja, ich habe aufmerksam auf euch achtgegeben; doch seht: keiner hat Hiob widerlegt, keiner von euch auf seine Reden die (rechte) Antwort gegeben.
Ijob 32:13	Wendet nur nicht ein: ‚Wir sind (bei ihm) auf Weisheit gestoßen: nur Gott kann ihn aus dem Felde schlagen, nicht ein Mensch!’
Ijob 32:14	Gegen mich hat er ja noch keine Beweisgründe ins Treffen geführt, und nicht mit euren Reden werde ich ihm entgegentreten.”
Ijob 32:15	¶ „Bestürzt stehen sie da, finden keine Antwort mehr; die Worte sind ihnen ausgegangen!
Ijob 32:16	Und da sollte ich warten, weil sie nicht mehr reden, weil sie dastehen, ohne zu antworten?
Ijob 32:17	Nein, auch ich will mein Teil erwidern, auch ich will mein Wissen kundtun!
Ijob 32:18	denn voll bin ich von Worten; der Geist drängt und beengt mich in meinem Inneren, zu reden.
Ijob 32:19	Seht, meiner Brust geht es wie dem Wein, dem man nicht Luft schafft: sie droht zu bersten wie neugefüllte Schläuche.
Ijob 32:20	Reden will ich, um mir Luft zu schaffen, will meine Lippen auftun und entgegnen!
Ijob 32:21	Ich will dabei für niemand Partei nehmen und keinem Menschen zu Gefallen reden;
Ijob 32:22	denn ich verstehe mich nicht darauf, zu Gefallen zu reden: gar bald würde mein Schöpfer mich sonst hinwegraffen.”
Ijob 33:1	„Nun aber höre, Hiob, meine Reden und leihe dein Ohr allen meinen Worten!
Ijob 33:2	Wisse wohl: wenn ich meinen Mund jetzt auftue und meine Zunge sich vernehmlich hören läßt,
Ijob 33:3	so sind meine Worte aufrichtig wie mein Herz, und was meine Lippen wissen, sprechen sie unverfälscht aus.
Ijob 33:4	Der Geist Gottes, der mich geschaffen hat, und der Hauch (oder: Odem) des Allmächtigen belebt mich.
Ijob 33:5	Wenn du’s vermagst, so widerlege mich: rüste dich mit Beweisgründen gegen mich, tritt an zum Kampf!
Ijob 33:6	Siehe, ich stehe zu Gott ebenso wie du: aus Ton (= Lehm) bin auch ich gebildet*).
Ijob 33:7	Nein, Angst vor mir braucht dich nicht einzuschüchtern, und meine Wucht soll dich nicht niederdrücken!”
Ijob 33:8	¶ „Nun aber hast du vor meinen Ohren ausgesprochen, und deutlich habe ich deine Worte gehört:
Ijob 33:9	‘Unschuldig bin ich, ohne Missetat, rein bin ich, und kein Vergehen haftet mir an!
Ijob 33:10	Fürwahr, er (Gott) erfindet Feindseligkeiten gegen mich (oder: findet Widerwärtigkeiten an mir), sieht in mir einen Feind;
Ijob 33:11	er legt meine Füße in den Block, überwacht alle meine Pfade’.
Ijob 33:12	Sieh, darin hast du unrecht, entgegne ich dir; denn Gott ist größer als ein Mensch.”
Ijob 33:13	¶ „Warum hast du den Vorwurf gegen ihn erhoben, daß er dir auf alle deine Worte keine Antwort gebe?
Ijob 33:14	Vielmehr redet Gott einmal und zweimal (oder: auf die eine und andere Weise), man achtet nur nicht darauf.
Ijob 33:15	Im Traum, im Nachtgesicht, wenn tiefer Schlaf die Menschen befällt, im Schlummerzustand auf dem Lager:
Ijob 33:16	da öffnet er den Menschen das Ohr und schreckt sie durch Verwarnung**),
Ijob 33:17	um den Menschen von seinem (bösen) Tun abzubringen und den Mann vor Überhebung zu behüten,
Ijob 33:18	um seine Seele vor der Grube (oder: der Unterwelt) zu bewahren und sein Leben vor dem Geschoß des Todes.
Ijob 33:19	Auch wird er durch Schmerzen auf seinem Lager in Zucht genommen (oder: gemahnt) und durch andauernden Leidenskampf in seinen Gliedern,
Ijob 33:20	so daß für seinen Lebenstrieb alle Nahrung zum Ekel wird und für seine Eßlust sogar die Lieblingsspeise;
Ijob 33:21	sein Fleisch schwindet dahin, daß es nicht mehr zu sehen ist, und seine vordem verborgenen Knochen treten zu Tage,
Ijob 33:22	so daß seine Seele der Grube (oder: der Unterwelt) nahe kommt und sein Leben den Todesmächten.”
Ijob 33:23	¶ „Wenn dann ein Engel für ihn da ist, ein Fürsprecher (oder: Mittler), ein einziger aus den tausend, um für den Menschen Zeugnis von seiner Gerechtigkeit abzulegen,
Ijob 33:24	und dieser sich seiner erbarmt und (zu Gott) spricht: ‘Laß ihn frei, daß er nicht in die Grube (oder: die Unterwelt) hinabfährt! ich habe eine Sühne (oder: das Lösegeld) gefunden’,
Ijob 33:25	so strotzt sein Leib wieder von Jugendkraft, so daß er in die Tage seines Jünglingsalters zurückversetzt wird.
Ijob 33:26	Er betet zu Gott, und dieser nimmt ihn gnädig an, läßt ihn sein Angesicht unter Jauchzen schauen und gibt dem Menschen seine Gerechtigkeit zurück.
Ijob 33:27	Er singt vor dem Volke und bekennt: ‘Ich hatte gesündigt und das Recht verkehrt, aber es ist mir nicht vergolten worden!
Ijob 33:28	Erlöst hat (Gott) meine Seele, daß sie nicht in die Grube (oder: Unterwelt) gefahren ist, und mein Leben erfreut sich am Anblick des Lichts!’”
Ijob 33:29	¶ „Sieh, dies alles tut Gott zweimal, ja dreimal an dem Menschen,
Ijob 33:30	um seine Seele von der Grube (oder: Unterwelt) fernzuhalten und damit er vom Licht des Lebens (oder: der Lebenden) umleuchtet werde.
Ijob 33:31	Merke auf, Hiob, höre mir zu, schweige und laß mich reden!
Ijob 33:32	Hast du etwas einzuwenden, so widerlege mich; sprich, denn ich möchte dich gern rechtfertigen (oder: dir recht geben).
Ijob 33:33	Hast du aber nichts, so höre mir zu; schweige, damit ich dich Weisheit lehre!”
Ijob 34:1	Elihu hob dann wieder an und sagte:
Ijob 34:2	„Vernehmt, ihr Weisen, meine Worte und, ihr Einsichtigen, schenkt mir Gehör!
Ijob 34:3	denn das Ohr prüft die Worte, wie der Gaumen die Speisen kostet.
Ijob 34:4	Wir wollen doch prüfend das Rechte finden, wollen gemeinsam erforschen, was gut ist.
Ijob 34:5	Denn Hiob hat behauptet: ‘Ich bin gerecht (oder: im Recht), aber Gott hat mir mein Recht vorenthalten;
Ijob 34:6	trotz meines Rechtes soll ich ein Lügner sein! Tödlich steckt sein Pfeil in mir, ohne daß ich mich verschuldet habe!’”
Ijob 34:7	¶ „Wo ist ein Mann wie Hiob, der Lästerrede trinkt wie Wasser
Ijob 34:8	und in Gemeinschaft mit Übeltätern getreten ist und mit Frevlern Umgang pflegt?
Ijob 34:9	Denn er hat behauptet: ‘Der Mensch hat keinen Nutzen davon, daß er mit Gott die Freundschaft aufrecht hält.’”
Ijob 34:10	¶ „Darum hört mich an, ihr einsichtsvollen Männer! Fern bleibe der Vorwurf von Gott, daß er Frevel verübe, und vom Allmächtigen, daß er Unrecht tue!
Ijob 34:11	Nein, was der Mensch tut, das vergilt er ihm und läßt es jedem nach seinem Lebenswandel ergehen.
Ijob 34:12	Ja wahrlich, Gott handelt nicht frevelhaft, und der Allmächtige beugt das Recht nicht.
Ijob 34:13	Wer hat die Erde seiner Obhut anvertraut und wer den ganzen Erdkreis hergestellt?
Ijob 34:14	Wenn er nur an sich selbst dächte, seinen Geist und seinen Odem in sich zurückzöge,
Ijob 34:15	so müßte alles Fleisch insgesamt verscheiden und der Mensch wieder zu Staub werden.”
Ijob 34:16	¶ „Wenn du also verständig bist, so höre dies und gib wohl acht, wie meine Worte lauten!
Ijob 34:17	Kann auch, wer das Recht haßt, ein Gemeinwesen leiten? oder willst du den Allgerechten*) verdammen?
Ijob 34:18	ihn, der zum Könige sagt: ‘Du Nichtswürdiger!’ und zu den Hochgestellten: ‘Du Bösewicht!’
Ijob 34:19	ihn, der die Person der Fürsten (oder: Großen) nicht ansieht und den Vornehmen nicht vor dem Geringen bevorzugt, weil sie ja alle das Werk seiner Hände sind.
Ijob 34:20	In einem Augenblick sterben sie, und mitten in der Nacht wird ein Volk erschüttert und muß dahinfahren, und Machthaber beseitigt er, ohne die Hand zu rühren.
Ijob 34:21	Denn seine Augen sind auf die Wege (= den Wandel) eines jeden Menschen gerichtet, und er sieht alle seine Schritte:
Ijob 34:22	da gibt es kein Dunkel und keine noch so dichte Finsternis, daß die Frevler sich darin verbergen könnten.
Ijob 34:23	Denn er braucht einen Menschen nicht erst lange zu beobachten, damit er vor Gott zum Gericht erscheine:
Ijob 34:24	nein, er zerschmettert Gewalthaber ohne Untersuchung und läßt andere an ihre Stelle treten.
Ijob 34:25	Somit kennt er ihre Taten wohl und stürzt sie über Nacht, so daß sie zermalmt werden.
Ijob 34:26	Als Frevler, die sie sind, geißelt er sie vor aller Augen
Ijob 34:27	zur Strafe dafür, daß sie von ihm abgefallen sind und alle seine Wege (= sein ganzes Walten) unbeachtet gelassen haben,
Ijob 34:28	so daß sie den Hilferuf des Armen zu ihm hinaufdringen ließen und er den Notschrei der Bedrückten vernehmen mußte.
Ijob 34:29	Verhält er sich aber ruhig, wer darf ihn verdammen? und verhüllt er sein Angesicht, wer kann ihn schauen? So waltet er sowohl über Völkern als auch über einzelnen Menschen gleicherweise,
Ijob 34:30	damit nicht ruchlose Menschen die Herrschaft führen, Leute, welche Fallstricke für das Volk sein würden.”**)
Ijob 34:31	¶ „Denn soll etwa Gott zu dir sagen: ‘Ich habe mich geirrt; will (aber) nicht wieder verkehrt handeln?
Ijob 34:32	Über das, was ich nicht sehe, belehre du mich; wenn ich unrecht gehandelt habe, will ich es nicht wieder tun.’
Ijob 34:33	Soll er nach deinem Sinn Vergeltung üben, weil du unzufrieden bist, und sagen: ‘du hast das Bessere zu bestimmen, nicht ich; was du also weißt, das sprich aus!’”
Ijob 34:34	¶ „Verständige Leute werden mir zugestehen, und jeder weise Mann, der mir zuhört:
Ijob 34:35	‘Hiob redet ohne Einsicht, und seine Worte sind nicht wohlbedacht’.
Ijob 34:36	O daß doch Hiob fort und fort geprüft würde wegen seiner Widerreden nach Art der Frevler!
Ijob 34:37	Denn zu seiner Verfehlung fügt er noch den Abfall (von Gott) hinzu: er höhnt*) laut in unserer Mitte und macht viel Redens gegen Gott.”
Ijob 35:1	Elihu hob dann wieder an und sagte:
Ijob 35:2	„Hältst du das für recht, nennst du das ‘meine Gerechtigkeit vor Gott’,**)
Ijob 35:3	daß du fragst: ‘Was nützt sie mir? und ‘Was habe ich mehr davon, als wenn ich sündigte?’
Ijob 35:4	Ich will dir darauf die Antwort geben, dir und zugleich deinen Freunden neben dir.
Ijob 35:5	Blicke zum Himmel empor und sieh ihn an und schaue zu den Wolken hinauf, die hoch über dir sind:
Ijob 35:6	wenn du sündigst, was tust du ihm damit zuleide? und sind deine Übertretungen zahlreich, welchen Schaden fügst du ihm damit zu?
Ijob 35:7	Und so auch: wenn du gerecht (= fromm) bist, welches Geschenk machst du ihm damit, oder was empfängt er aus deiner Hand?
Ijob 35:8	Nur den Menschen, wie du einer bist, geht dein Freveln an, und nur dir, dem Menschensohn, kommt dein Gerechtsein zugute.”
Ijob 35:9	¶ „Man schreit wohl über die Menge der Bedrückungen, klagt laut über die Gewalttätigkeit der Großen,
Ijob 35:10	doch keiner sagt: ‘Wo ist Gott, mein Schöpfer, der Lobgesänge schenkt in der Nacht,
Ijob 35:11	der uns Belehrung verleiht wie keinem Tiere des Feldes und uns höhere Weisheit gewinnen läßt als die Vögel des Himmels?’
Ijob 35:12	Da schreit man denn, ohne Erhörung bei ihm zu finden, wegen des Übermuts der Bösen.
Ijob 35:13	Jawohl! auf eitles Klagen hört Gott nicht, sondern der Allmächtige läßt es unbeachtet.
Ijob 35:14	Nun sagst du aber gar, du sehest ihn nicht; deine Sache liege ihm vor, du wartest aber vergeblich auf seine Entscheidung!
Ijob 35:15	Und nun, da sein Zorn noch nicht gestraft und er sich um Torheit nicht sonderlich gekümmert hat,
Ijob 35:16	da reißt Hiob seinen Mund zu leerem Gerede auf und ergeht sich ohne Einsicht in vermessenen Worten!”
Ijob 36:1	Hierauf fuhr Elihu weiter fort zu reden:
Ijob 36:2	„Gedulde dich nur noch ein wenig, daß ich dich unterweise! denn ich habe für Gottes Sache noch mehr zu sagen.
Ijob 36:3	Ich will mit meinem Wissen weit ausholen, um meinem Schöpfer zu seinem Recht zu verhelfen;
Ijob 36:4	denn wahrlich, meine Worte sind kein Trug: ein Mann mit vollkommener Erkenntnis verhandelt mit dir.”
Ijob 36:5	¶ „Siehe, Gott ist gewaltig und doch nicht teilnahmslos, gewaltig an Kraft des Herzens (= Mitgefühl).
Ijob 36:6	Er erhält den Frevler nicht am Leben, läßt aber den Elenden ihr Recht zukommen.
Ijob 36:7	Er wendet seine Augen von dem Gerechten nicht ab, und Königen auf dem Thron verschafft er für immer einen festen Sitz, damit sie erhöht sind.
Ijob 36:8	Wenn sie aber mit Ketten gefesselt sind und in Unglücksbanden gefangen liegen,
Ijob 36:9	so hält er ihnen damit ihr Tun vor, ihre Übertretungen, daß sie sich nämlich überhoben haben;
