Mosè 1:1	Parole di Dio, che egli disse a Mosè al tempo in cui Mosè fu rapito su una montagna altissima,
Mosè 7:55	E il Signore disse ad Enoc: Guarda; ed egli guardò e vide il Figlio dell’Uomo innalzato sulla croce, alla maniera degli uomini;
Mosè 7:56	E udì una forte voce; e i cieli si velarono, e tutte le creazioni di Dio piansero, e la terra gemette, e le rocce si spaccarono; e i santi risorsero e furono incoronati alla destra del Figlio dell’Uomo con corone di gloria;
Mosè 7:57	E tutti gli spiriti che erano in prigione uscirono e stettero alla destra di Dio; e i rimanenti furono serbati in catene di tenebra fino al giudizio del grande giorno.
Mosè 7:58	E di nuovo Enoc pianse e gridò al Signore, dicendo: Quando si riposerà la terra?
Mosè 7:59	Ed Enoc vide il Figlio dell’Uomo ascendere al Padre; e invocò il Signore, dicendo: Non verrai tu di nuovo sulla terra? Dal momento che sei Dio, e io Ti conosco, e mi hai prestato giuramento, e mi hai comandato di chiedere nel nome del tuo Unigenito; tu mi hai fatto e mi hai dato un diritto al tuo trono, e non da me stesso ma tramite la tua grazia; ti chiedo dunque se non verrai di nuovo sulla terra.
Mosè 7:60	E il Signore disse ad Enoc: Come io vivo, così verrò negli ultimi giorni, nei giorni della malvagità e della vendetta, per adempiere al giuramento che ti ho fatto riguardo ai figlioli di Noè;
Mosè 7:61	E verrà il giorno in cui la terra si riposerà; ma prima di quel giorno i cieli saranno oscurati e un velo di tenebre coprirà la terra; e i cieli tremeranno, e anche la terra; e grandi tribolazioni saranno fra i figlioli degli uomini; ma il mio popolo, lo preserverò;
Mosè 7:62	E manderò la rettitudine dal cielo, e farò uscire la verità dalla terra, per portare testimonianza del mio Unigenito, della Sua risurrezione dai morti, sì, ed anche della risurrezione di tutti gli uomini; e farò si che la rettitudine e la verità spazzino la terra come con un diluvio, per raccogliere i miei eletti dai quattro canti della terra in un luogo che Io preparerò, una Città Santa, affinché il mio popolo possa cingersi i lombi ed attendere il tempo della mia venuta, poiché là sarà il mio tabernacolo, e sarà chiamata Sion, una Nuova Gerusalemme.
Mosè 7:63	E il Signore disse ad Enoc: Allora tu e tutta la tua città li incontrerete là, e noi li riceveremo nel nostro seno, ed essi ci vedranno; e getteremo loro le braccia al collo e ci getteranno le braccia al collo e ci baceremo l’un l’altro;
Mosè 7:64	E là sarà la mia dimora; e sarà Sion, che uscirà da tutte le creazioni che ho fatto; e per lo spazio di mille anni la terra si riposerà.
Mosè 7:65	E avvenne che Enoc vide il giorno della venuta del Figlio dell’Uomo negli ultimi giorni, per dimorare sulla terra in rettitudine per lo spazio di mille anni;
Mosè 7:66	Ma prima di quel giorno vide grandi tribolazioni fra i malvagi; e vide anche il mare, che era in tumulto, e il cuore degli uomini che veniva loro meno, attendendo con timore i giudizi dell’Onnipotente Iddio che si sarebbero abbattuti sui malvagi.
Mosè 7:67	E il Signore mostrò ad Enoc ogni cosa, sì, fino alla fine del mondo, ed egli vide il giorno dei giusti, e l’ora della loro redenzione; e ricevette una pienezza di gioia;
Mosè 7:68	E tutti i giorni di Sion, durante i giorni di Enoc, furono trecentosessantacinque anni.
Mosè 7:69	Ed Enoc e tutto il suo popolo camminarono con Dio; ed Egli dimorò in mezzo a Sion; e avvenne che Sion non fu più, poiché Dio la ricevette nel Suo seno; e da allora si sparse il detto: Sion È Fuggita.
Mosè 8:1	E tutti i giorni di Enoc furono quattrocentotrenta anni.
Mosè 8:2	E avvenne che Methushelah, il figlio di Enoc, non fu preso, affinché potessero adempiersi le alleanze che il Signore aveva fatto con Enoc; poiché aveva veramente fatto alleanza con Enoc che Noè sarebbe stato dal frutto dei suoi lombi.
Mosè 8:3	E avvenne che Methushelah profetizzò che dai suoi lombi sarebbero scaturiti tutti i regni della terra (tramite Noè), e ne trasse gloria a sé stesso.
Mosè 8:4	E sopravvenne una grande carestia nel paese, e il Signore maledisse la terra di una grave maledizione, e molti dei suoi abitanti morirono.
Mosè 8:5	E avvenne che Methushelah visse centottantasette anni e generò Lamec;
Mosè 8:6	E Methushelah visse, dopo che ebbe generato Lamec, settecentottantadue anni e generò figli e figlie;
Mosè 8:7	E tutti i giorni di Methushelah furono novecentosessantanove anni, e morì.
Mosè 8:8	E Lamec visse cent’ottantadue anni e generò un figlio,
Mosè 8:9	E lo chiamò con il nome Noè, dicendo: Questo figlio ci consolerà riguardo alla nostra opera e alla fatica delle nostre mani, a causa del suolo che il Signore ha maledetto.
Mosè 8:10	E Lamec visse, dopo che ebbe generato Noè, cinquecentonovantacinque anni, e generò figli e figlie;
Mosè 8:11	E tutti i giorni di Lamec furono settecentosettantasette anni, e morì.
Mosè 8:12	E Noè aveva quattrocentocinquant’anni, e generò Jafet; e quarantadue anni dopo generò Shem, da colei che era la madre di Jafet, e quando aveva cinquecento anni generò Cam.
Mosè 8:13	E Noè e i suoi figli dettero ascolto al Signore e prestarono attenzione, e furono chiamati i figli di Dio.
Mosè 8:14	E quando questi uomini cominciarono a moltiplicarsi sulla faccia della terra, e nacquero loro delle figlie, i figli degli uomini videro che queste figlie erano belle e le presero in moglie, sì, come scelsero.
Mosè 8:15	E il Signore disse a Noè: Le figlie dei tuoi figli si sono vendute; poiché ecco, la mia ira è accesa contro i figli degli uomini, poiché non vogliono dare ascolto alla mia voce.
Mosè 8:16	E avvenne che Noè profetizzò, e insegnò le cose di Dio, sì, come era nel principio.
Mosè 8:17	E il Signore disse a Noè: Il mio Spirito non lotterà per sempre con l’uomo, poiché egli saprà che ogni carne deve morire; tuttavia i suoi giorni saranno di centoventi anni; e se gli uomini non si pentono, manderò su di loro il diluvio.
Mosè 8:18	E in quei giorni vi erano dei giganti sulla la terra, ed essi cercarono Noè per togliergli la vita; ma il Signore era con Noè, e il potere del Signore era su di lui.
Mosè 8:19	E il Signore ordinò Noè secondo il Suo ordine, e gli comandò di uscire a proclamare il suo Vangelo ai figlioli degli uomini, sì, come fu dato ad Enoc.
Mosè 8:20	E avvenne che Noè fece appello ai figlioli degli uomini affinché si pentissero; ma essi non dettero ascolto alle sue parole;
Mosè 8:21	E anche, dopo averlo udito, salirono dinanzi a lui e dissero: Ecco, noi siamo i figli di Dio; non abbiamo forse preso per noi le figlie degli uomini? E non stiamo forse mangiando, bevendo, sposandoci e dando in matrimonio? E le nostre mogli ci partoriscono dei figli, e questi sono uomini potenti, che sono simili agli antichi, uomini di grande rinomanza. E non dettero ascolto alle parole di Noè.
Mosè 8:22	E Dio vide che la malvagità degli uomini era diventata grande sulla terra; e ogni uomo si elevava nell’immaginazione dei pensieri del suo cuore, che non erano che male, continuamente.
Mosè 8:23	E avvenne che Noè continuò a predicare al popolo, dicendo: Date ascolto e prestate attenzione alle mie parole;
Mosè 8:24	Credete e pentitevi dei vostri peccati, e siate battezzati nel nome di Gesù Cristo, il Figlio di Dio, sì, come i nostri padri, e riceverete lo Spirito Santo, affinché tutte le cose vi siano rese manifeste; e se non lo farete, il diluvio verrà su di voi; nondimeno essi non dettero ascolto.
Mosè 8:25	E Noè si pentì, e il suo cuore fu addolorato che il Signore avesse fatto l’uomo sulla terra, e ciò lo afflisse nel cuore.
Mosè 8:26	E il Signore disse: Distruggerò dalla faccia della terra l’uomo che ho creato, sia l’uomo che le bestie, e le cose che strisciano, e gli uccelli dell’aria; poiché Noè si pente che li abbia creati e che li abbia fatti; ed egli mi ha invocato, poiché hanno cercato di togliergli la vita.
Mosè 8:27	E così Noè trovò grazia agli occhi del Signore; poiché Noè era un uomo giusto, e perfetto nella sua generazione, e camminava con Dio, come pure i suoi tre figli, Shem, Cam e Jafet.
Mosè 8:28	La terra era corrotta dinanzi a Dio, ed era piena di violenza.
Mosè 8:29	E Dio guardò la terra, ed ecco, essa era corrotta, poiché ogni carne aveva corrotto la sua via sulla terra.
Mosè 8:30	E Dio disse a Noè: La fine di ogni carne è giunta, dinanzi a me, poiché la terra è piena di violenza; ed ecco, io distruggerò ogni carne di sulla terra.
Abrahamo 1:1	Nella terra dei Caldei, nella residenza dei miei padri, io, Abrahamo, vidi che mi era necessario procurarmi un altro luogo di residenza.
Abrahamo 1:2	E trovando che c’era per me una più grande felicità, pace e riposo, cercai le benedizioni dei padri e il diritto a cui avrei dovuto essere ordinato per amministrarle; essendo stato io stesso un seguace della rettitudine, desiderando anche essere uno che possiede grande conoscenza, ed essere un maggiore seguace della rettitudine, e possedere una maggiore conoscenza, ed essere un padre di molte nazioni, un principe di pace, e desiderando ricevere istruzioni, e rispettare i comandamenti di Dio, divenni un erede legittimo, un sommo sacerdote, detenendo il diritto che apparteneva ai padri.
Abrahamo 1:3	Esso fu conferito su di me dai padri; discese dai padri dal principio del tempo, sì, proprio fin dal principio, ossia prima della fondazione della terra, fino al tempo presente, sì, il diritto del primogenito, ossia il primo uomo, che è Adamo, ossia il primo padre, e tramite i padri fino a me.
Abrahamo 1:4	Io cercai la mia designazione al sacerdozio, secondo la designazione di Dio ai padri riguardo alla posterità.
Abrahamo 1:5	I miei padri, essendosi volti dalla rettitudine e dai santi comandamenti che il Signore loro Dio aveva dato loro, all’adorazione degli dèi dei pagani, rifiutarono in modo assoluto di dare ascolto alla mia voce;
Abrahamo 1:6	Poiché il loro cuore era rivolto a fare il male, ed era interamente volto al dio di Elkena, al dio di Libna, al dio di Mahmackra, al dio di Korash e al dio di Faraone, re di Egitto;
Abrahamo 1:7	Perciò, essi volsero il loro cuore al sacrificio dei pagani, offrendo i loro figlioli a quegli idoli muti, e non dettero ascolto alla mia voce, ma tentarono di togliermi la vita per mano del sacerdote di Elkena. Il sacerdote di Elkena era anche il sacerdote di Faraone.
Abrahamo 1:8	Ora, a quel tempo era consuetudine del sacerdote di Faraone, re d’Egitto, di offrire sull’altare, che era costruito nella terra di Caldea, per le offerte a questi dei stranieri, uomini, donne e bambini.
Abrahamo 1:9	E avvenne che il sacerdote fece un’offerta al dio di Faraone, ed anche al dio di Shagreel, sì, alla maniera degli Egiziani. Ora, il dio di Shagreel era il sole.
Abrahamo 1:10	Sì, il sacerdote di Faraone offrì come offerta di grazie un bambino sull’altare, che stava presso la collina chiamata Collina di Potifar, all’inizio della pianura di Olishem.
Abrahamo 1:11	Ora, questo sacerdote aveva offerto su questo altare tre vergini in una volta, che erano le figlie di Onita, uno della discendenza reale diretta dai lombi di Cam. Queste vergini furono offerte a motivo della loro virtù; esse non vollero prostrarsi per adorare idoli di legno o di pietra, perciò furono uccise su questo altare, e ciò fu fatto alla maniera degli Egiziani.
Abrahamo 1:12	E avvenne che i sacerdoti fecero violenza su di me, per poter uccidere anche me su questo altare, come avevano fatto con quelle vergini; e affinché possiate avere una conoscenza di questo altare, vi rimando alla figura che è all’inizio di questo scritto.
Abrahamo 1:13	Era fatto a forma di letto, quale si aveva fra i Caldei, e stava dinanzi agli dei di Elkena, Libna, Mahmackra, Korash, e anche a un dio come quello di Faraone, re d’Egitto.
Abrahamo 1:14	Affinché possiate avere una comprensione di questi dei, ve ne ho dato la forma nei disegni all’inizio, tipo di disegni che è chiamato dai Caldei Rahleenos, che significa geroglifici.
Abrahamo 1:15	E mentre essi alzavano le mani su di me per potermi offrire e togliermi la vita, ecco, io alzai la mia voce al Signore mio Dio, e il Signore mi dette ascolto e mi udì, e mi riempì della visione dell’Onnipotente, e l’angelo della sua presenza stette presso di me, ed immediatamente sciolse i miei legami;
Abrahamo 1:16	E la sua voce mi fu rivolta: Abrahamo, Abrahamo, ecco, il mio nome è Geova, e ti ho udito e sono sceso per liberarti, e per portarti via dalla casa di tuo padre e da tutti i tuoi congiunti, in un paese straniero che tu non conosci;
Abrahamo 1:17	E questo perché essi hanno distolto il loro cuore da me, per adorare il dio di Elkena, il dio di Libna, il dio di Mahmackra, il dio di Korash e il dio di Faraone, re d’Egitto; perciò sono sceso per punirli, e per distruggere colui che ha alzato la mano contro di te, Abrahamo, figlio mio, per toglierti la vita.
Abrahamo 1:18	Ecco, io ti condurrò per mano, e ti prenderò, per mettere su di te il mio nome, ossia il Sacerdozio di tuo padre, e il mio potere sarà su di te.
Abrahamo 1:19	Come fu con Noè, così sarà con te; ma, tramite il tuo ministero il mio nome sarà conosciuto sulla terra per sempre, poiché io sono il tuo Dio.
Abrahamo 1:20	Ecco, la collina di Potifar era nel paese di Ur di Caldea. E il Signore spezzò l’altare di Elkena e degli dei del paese, e li distrusse completamente, e colpì il sacerdote, cosicché morì; e vi fu grande cordoglio in Caldea e anche alla corte di Faraone; Faraone che significa re di sangue reale.
Abrahamo 1:21	Ora, questo re di Egitto era un discendente dei lombi di Cam, e aveva il sangue dei Cananei per nascita.
Abrahamo 1:22	Da questa discendenza vennero tutti gli Egiziani, così il sangue dei Cananei fu preservato nel paese.
Abrahamo 1:23	Essendo stato il paese di Egitto dapprima scoperto da una donna, che era figlia di Cam, e figlia di Egyptus, che in Caldeo significa Egitto, che significa ciò che è proibito.
Abrahamo 1:24	Quando questa donna scoprì il paese, esso era sott’acqua, ed ella vi insediò in seguito i suoi figli; e così, da Cam, venne quella razza che preservò la maledizione nel paese.
Abrahamo 1:25	Ora, il primo governo di Egitto fu stabilito da Faraone, il figlio maggiore di Egyptus, la figlia di Cam, ed era alla maniera del governo di Cam, che era patriarcale.
Abrahamo 1:26	Faraone, essendo un uomo giusto, stabilì il suo regno e giudicò il suo popolo saggiamente e con giustizia per tutti i suoi giorni, cercando sinceramente di imitare l’ordine stabilito dai padri nelle prime generazioni, nei giorni del primo regno patriarcale, sì, nel regno di Adamo, e anche di Noè suo padre, che lo benedisse con le benedizioni della terra, e con le benedizioni della saggezza, ma lo maledì per quanto concerne il Sacerdozio.
Abrahamo 1:27	Ora, essendo Faraone di quel lignaggio per il quale non poteva avere diritto al Sacerdozio, nonostante che i Faraoni avrebbero voluto reclamarlo da Noè, tramite Cam, mio padre fu dunque sviato dalla loro idolatria;
Abrahamo 1:28	Ma mi sforzerò in seguito di delineare la cronologia che risale da me stesso al principio della creazione, poiché sono venuti in mia mano gli annali, che a tutt’oggi detengo.
Abrahamo 1:29	Ora, dopo che il sacerdote di Elkena fu colpito, cosicché morì, venne l’adempimento di quelle cose che mi erano state dette riguardo al paese di Caldea, che vi sarebbe stata una carestia nel paese.
Abrahamo 1:30	Di conseguenza, una carestia prevalse ovunque nel paese di Caldea, e mio padre fu dolorosamente tormentato a causa della carestia, e si pentì del male che aveva deciso contro di me, di togliermi la vita.
Abrahamo 1:31	Ma gli annali dei padri, sì, dei patriarchi, riguardo al diritto al Sacerdozio, il Signore mio Dio li ha preservati nelle mie mani; perciò ho serbato fino a quest’oggi una conoscenza del principio della creazione, e anche dei pianeti, e delle stelle, come fu resa nota ai padri, e mi sforzerò di scrivere alcune di queste cose in questo scritto, a beneficio della mia posterità che verrà dopo di me.
Abrahamo 2:1	Ora, il Signore Iddio fece sì che la carestia divenisse grave nel paese di Ur, tanto che Charan, mio fratello, morì; ma Terah, mio padre, viveva ancora nel paese di Ur dei Caldei.
Abrahamo 2:2	E avvenne che io, Abrahamo, presi in moglie Sarai, e Nahor, mio fratello, prese in moglie Milca, che era figlia di Charan.
Abrahamo 2:3	Ora, il Signore mi aveva detto: Abrahamo, vattene dal tuo paese, e dai tuoi parenti, e dalla casa di tuo padre, in un paese che ti mostrerò.
Abrahamo 2:4	Perciò lasciai il paese di Ur dei Caldei, per andare nel paese di Canaan; e presi Lot, figlio di mio fratello, e sua moglie, e Sarai, mia moglie; e anche mio padre mi seguì, nel paese che chiamammo Charan.
Abrahamo 2:5	E la carestia diminuì; e mio padre si fermò a Charan e dimorò là, poiché vi erano molte greggi a Charan; e mio padre si volse di nuovo alla sua idolatria, perciò rimase a Charan.
Abrahamo 2:6	Ma io, Abrahamo, e Lot, figlio di mio fratello, pregammo il Signore, ed il Signore mi apparve e mi disse: Alzati e prendi con te Lot, poiché intendo condurti via da Charan e fare di te un ministro per portare il mio nome in un paese straniero che darò alla tua posterità dopo di te come possesso perpetuo, quando daranno ascolto alla mia voce.
Abrahamo 2:7	Poiché Io sono il Signore tuo Dio; dimoro in cielo; la terra è lo sgabello dei miei piedi; stendo la mia mano sul mare ed esso obbedisce alla mia voce; faccio sì che il vento e il fuoco siano il mio carro; dico alle montagne: Spostatevi, ed ecco, esse sono portate via da un turbine, in un istante, improvvisamente.
Abrahamo 2:8	Il mio nome è Geova, e conosco la fine fin dal principio; perciò la mia mano sarà su di te.
Abrahamo 2:9	E farò di te una grande nazione, e ti benedirò oltre misura, e renderò il tuo nome grande fra tutte le nazioni, e tu sarai una benedizione per la tua posterità dopo di te, affinché essi portino nelle loro mani questo ministero e questo sacerdozio a tutte le nazioni;
Abrahamo 2:10	E io le benedirò tramite il tuo nome; poiché tutti coloro che riceveranno questo Vangelo saranno chiamati col tuo nome e saranno annoverati come tuoi posteri, e si alzeranno e ti benediranno come loro padre;
Abrahamo 2:11	E benedirò coloro che ti benedicono, e maledirò coloro che ti maledicono; e in te (cioè nel tuo sacerdozio) e nella tua posterità (cioè, il tuo sacerdozio), poiché ti faccio la promessa che questo diritto continuerà in te e nella tua posterità dopo di te (vale a dire nel seme letterale, ossia il seme del corpo) tutte le famiglie della terra saranno benedette, sì, con le benedizioni del Vangelo, che sono le benedizioni della salvezza, sì, della vita eterna.
Abrahamo 2:12	Ora, dopo che il Signore si fu ritirato dal parlare con me ed ebbe ritirato da me il suo volto, dissi in cuor mio: il tuo servo ti ha cercato sinceramente; ora ti ho trovato.
Abrahamo 2:13	Tu mandasti il tuo angelo per liberarmi dagli dei di Elkena, e io farò bene a dare ascolto alla tua voce; lascia dunque che il tuo servo si alzi e se ne vada in pace.
Abrahamo 2:14	Così io, Abrahamo, me ne andai come il Signore mi aveva detto, e Lot con me; e io, Abrahamo, avevo sessantadue anni quando me ne andai da Charan.
Abrahamo 2:15	E presi Sarai, che avevo preso in moglie quando ero in Ur, in Caldea, e Lot, figlio di mio fratello, e tutte le nostre sostanze che avevamo raccolte, e le anime che avevamo acquistato a Charan, e venimmo innanzi sulla via per la terra di Canaan, e dimorammo in tende mentre proseguivamo il nostro cammino;
Abrahamo 2:16	Perciò, l’eternità era la nostra copertura, la nostra rocca e la nostra salvezza, mentre viaggiavamo da Charan, per la via di Gershon, per venire al paese di Canaan.
Abrahamo 2:17	Ora io, Abrahamo, costruii un altare nel paese di Gershon e feci un’offerta al Signore, e pregai che la carestia potesse essere allontanata dalla casa di mio padre, affinché essi non morissero.
Abrahamo 2:18	E poi passammo da Gershon, attraverso il paese, al luogo di Sichem; esso era situato nelle pianure di Moreh, ed eravamo già giunti dentro i confini del paese dei Canaanei, e io offrii un sacrificio, là nelle pianure di Moreh, e invocai devotamente il Signore perché eravamo già giunti nel paese di quella nazione idolatra.
Abrahamo 2:19	E il Signore mi apparve, in risposta alle mie preghiere, e mi disse: Alla tua posterità Io darò questa terra.
Abrahamo 2:20	E io, Abrahamo, mi alzai dal luogo dell’altare che avevo costruito al Signore e di là mi spostai su un monte a oriente di Bethel, e là piantai la mia tenda, con Bethel a occidente e Ai a oriente; e là costruii un altro altare al Signore e invocai nuovamente il nome del Signore.
Abrahamo 2:21	E io, Abrahamo, viaggiai, proseguendo ancora verso sud; e la carestia continuava nel paese, e io, Abrahamo, decisi di scendere in Egitto per soggiornarvi, poiché la carestia era divenuta gravissima.
Abrahamo 2:22	E avvenne, quando ero prossimo ad entrare in Egitto, che il Signore mi disse: Ecco, Sarai, tua moglie, è una donna molto bella a vedersi;
Abrahamo 2:23	Perciò avverrà che quando gli Egiziani la vedranno, diranno: È sua moglie; e ti uccideranno, ma risparmieranno la sua vita; vedete dunque di fare in questo modo:
Abrahamo 2:24	Che ella dica agli Egiziani che è tua sorella, e la tua anima vivrà.
Abrahamo 2:25	E avvenne che io, Abrahamo, dissi a Sarai, mia moglie, tutto ciò che il Signore mi aveva detto: Dì dunque loro, ti prego, che sei mia sorella, affinché io stia bene per causa tua e la mia anima viva a motivo di te.
Abrahamo 3:1	E io, Abrahamo, avevo l’Urim e Thummim che il Signore mio Dio mi aveva dato in Ur dei Caldei;
Abrahamo 3:2	E vidi le stelle, che erano grandissime, e che una di esse era la più vicina al trono di Dio; e ve n’erano molte di grandi che erano vicine ad essa.
Abrahamo 3:3	E il Signore mi disse: Queste sono quelle che governano; e il nome di quella grande è Kolob, perché è vicina a me, poiché io sono il Signore tuo Dio: ho posto questa a governare tutte quelle che appartengono allo stesso ordine di quella sulla quale tu stai.
Abrahamo 3:4	E il Signore mi disse, mediante l’Urim e Thummim, che Kolob era alla maniera del Signore, secondo i propri tempi e le proprie stagioni nelle sue rivoluzioni; che una rivoluzione era un giorno per il Signore, secondo il suo modo di calcolare, ed era mille anni secondo il tempo assegnato a quella sulla quale tu stai. Questo è il calcolo del tempo del Signore, secondo il calcolo di Kolob.
Abrahamo 3:5	E il Signore mi disse: Il pianeta che è il luminare minore, minore di quello che deve governare il giorno, sì, che governa la notte, è superiore o maggiore di quello sul quale tu stai, in riferimento al calcolo, poiché si muove in un ordine più lento; ciò è nell’ordine, poiché sta al di sopra della terra sulla quale tu stai; perciò il calcolo del suo tempo non è così grande, quanto al numero dei suoi giorni, dei suoi mesi e dei suoi anni.
Abrahamo 3:6	E il Signore mi disse: Ora, Abrahamo, questi due fatti esistono, ecco, i tuoi occhi lo vedono; ti è dato di conoscere i tempi di calcolo, il tempo fissato, sì, il tempo fissato della terra sulla quale tu stai, e il tempo fissato del luminare maggiore, che è posto a governare il giorno, e il tempo fissato del luminare minore, che è posto a governare la notte.
Abrahamo 3:7	Ora, il tempo fissato del luminare minore è un tempo più lungo, quanto al suo calcolo, del calcolo del tempo della terra sulla quale tu stai.
Abrahamo 3:8	E dove questi due fatti esistono, vi sarà un altro fatto superiore ad essi, cioè vi sarà un altro pianeta il cui calcolo del tempo sarà ancora più lungo;
Abrahamo 3:9	E così il calcolo del tempo di un pianeta sarà superiore a un altro, finché giungerai vicino a Kolob, la quale Kolob è secondo il calcolo del tempo del Signore; la quale Kolob è posta vicino al trono di Dio, per governare tutti quei pianeti che appartengono allo stesso ordine di quello sul quale tu stai.
Abrahamo 3:10	E ti è dato di conoscere il tempo fissato di tutte le stelle che sono poste per dare luce, finché giungi vicino al trono di Dio.
Abrahamo 3:11	Così io, Abrahamo, conversai con il Signore faccia a faccia, come un uomo conversa con un altro, ed egli mi parlò delle opere che le sue mani avevano fatto;
Abrahamo 3:12	Ed Egli mi disse: Figlio mio, figlio mio (e la sua mano era stesa), ecco, Io te le mostrerò tutte. E pose la mano sui miei occhi, e io vidi le cose che le sue mani avevano fatto, che erano molte; e si moltiplicarono dinanzi ai miei occhi, e io non potevo vederne la fine.
Abrahamo 3:13	Ed Egli mi disse: Questa è Shineha, che è il sole. E mi disse: Kokob, che significa stella. E mi disse: Olea, che è la luna. E mi disse: Kokaubeam, che significa stelle, ossia tutti i grandi luminari che erano nel firmamento del cielo.
Abrahamo 3:14	Ed era di notte quando il Signore mi rivolse queste parole: Moltiplicherò te, e la tua posterità dopo di te, come queste; e se tu puoi contare il numero dei granelli di sabbia, così sarà il numero dei tuoi posteri.
Abrahamo 3:15	E il Signore mi disse: Abrahamo, ti mostro queste cose prima che andiate in Egitto, affinché tu possa proclamare tutte queste parole.
Abrahamo 3:16	Se due cose esistono, e una è al di sopra dell’altra, vi saranno cose più grandi al di sopra di esse; perciò Kolob è la più grande di tutte le Kokaubeam che tu hai visto, perché è la più vicina a me.
Abrahamo 3:17	Ora, se vi sono due cose, una al di sopra dell’altra, e se la luna è al di sopra della terra, allora è possibile che esista un pianeta o una stella al di sopra di esse; e non v’è nulla che il Signore tuo Dio si metta in cuore di fare, senza farlo.
Abrahamo 3:18	Comunque sia, egli ha fatto la stella più grande; come pure, se vi sono due spiriti e uno è più intelligente dell’altro, tuttavia questi due spiriti, nonostante che uno sia più intelligente dell’altro, non hanno inizio; essi esistevano prima; non avranno fine, esisteranno dopo, poiché sono gnolaum, ossia eterni.
Abrahamo 3:19	E il Signore mi disse: Questi due fatti esistono: che vi sono due spiriti, e uno è più intelligente dell’altro; ve ne sarà un altro più intelligente di loro. Io sono il Signore tuo Dio, io sono più intelligente di tutti loro.
Abrahamo 3:20	Il Signore tuo Dio mandò il Suo angelo per liberarti dalle mani del sacerdote di Elkena.
Abrahamo 3:21	Io dimoro in mezzo a tutti loro; ora, dunque, sono sceso da te per proclamarti le opere che le mie mani hanno fatto, nelle quali la mia saggezza eccelle su tutti loro, poiché io governo nei cieli in alto, e nella terra in basso, in tutta saggezza e prudenza, su tutte le intelligenze che i tuoi occhi hanno visto fin dal principio; io scesi al principio in mezzo a tutte le intelligenze che hai visto.
Abrahamo 3:22	Ora, il Signore aveva mostrato, a me, Abrahamo, le intelligenze che erano state organizzate prima che il mondo fosse; e fra tutte queste ve n’erano molte di nobili e di grandi;
Abrahamo 3:23	E Dio vide queste anime, che erano buone, e stette in mezzo a loro, e disse: Questi li farò miei governatori: poiché stava fra coloro che erano spiriti, e vide che erano buoni; e mi disse: Abrahamo, tu sei uno di loro; tu fosti scelto prima di nascere.
Abrahamo 3:24	E ve ne stava uno fra essi che era simile a Dio; ed egli disse a quelli che erano con lui: Noi scenderemo, poiché vi è dello spazio laggiù; e prenderemo di questi materiali e faremo una terra sulla quale costoro possano dimorare;
Abrahamo 3:25	E in questo modo li metteremo alla prova, per vedere se essi faranno tutte le cose che il Signore loro Dio comanderà loro;
Abrahamo 3:26	E a coloro che mantengono il loro primo stato, sarà dato in aggiunta; e coloro che non mantengono il loro primo stato non avranno gloria nello stesso regno con quelli che mantengono il loro primo stato; e a coloro che mantengono il loro secondo stato sarà aggiunta gloria sul loro capo per sempre e in eterno.
Abrahamo 3:27	E il Signore disse: Chi manderò? E rispose uno, simile al Figlio dell’Uomo: Eccomi, manda me. E un altro rispose, e disse: Eccomi, manda me. E il Signore disse: Manderò il primo.
Abrahamo 3:28	E il secondo si adirò, e non mantenne il suo primo stato; e in quel giorno molti lo seguirono.
Abrahamo 4:1	E allora il Signore disse: Scendiamo. Ed essi scesero, nel principio, ed essi, cioè gli Dei, organizzarono e dettero forma ai cieli e alla terra.
Abrahamo 4:2	E la terra, dopo che fu formata, era vuota e desolata, poiché non avevano formato null’altro che la terra; e le tenebre regnavano sulla faccia dell’abisso, e lo Spirito degli Dei aleggiava sopra la faccia delle acque.
Abrahamo 4:3	Ed essi (gli Dei) dissero: Vi sia luce; e vi fu luce.
Abrahamo 4:4	Ed essi (gli Dei) compresero la luce, poiché era brillante; e separarono la luce, ossia fecero sì che fosse separata, dalle tenebre.
Abrahamo 4:5	E gli Dei chiamarono la luce Giorno, e le tenebre le chiamarono Notte. E avvenne che dalla sera fino al mattino la chiamarono notte; e dal mattino fino alla sera lo chiamarono giorno; e questo fu il primo, ossia il principio, di ciò che essi chiamarono giorno e notte.
Abrahamo 4:6	E gli Dei dissero pure: Vi sia una distesa in mezzo alle acque, e separi le acque dalle acque.
Abrahamo 4:7	E gli Dei ordinarono alla distesa, cosicché essa separò le acque che erano sotto la distesa dalle acque che erano sopra la distesa; e fu così, proprio come ordinarono.
Abrahamo 4:8	E gli Dei chiamarono la distesa Cielo. E avvenne che fu dalla sera fino al mattino che chiamarono notte; e avvenne che fu dal mattino fino alla sera che chiamarono giorno; e questo fu il secondo periodo che chiamarono notte e giorno.
Abrahamo 4:9	E gli Dei ordinarono, dicendo: Si radunino le acque sotto il cielo in un sol luogo, e appaia la terra asciutta; e fu così fu, come essi ordinarono;
Abrahamo 4:10	E gli Dei designarono la terra asciutta Terra; e la raccolta delle acque la designarono Grandi Acque; e gli Dei videro che erano obbediti.
Abrahamo 4:11	E gli Dei dissero: Prepariamo la terra a produrre erba; le piante che danno seme, gli alberi da frutto che danno frutto secondo la loro specie, il cui seme in se stesso dà la sua propria somiglianza sulla terra; e fu così, proprio come ordinarono.
