Genesi 1:1	Nel principio Dio creò i cieli e la terra.
Esdra 9:10	Ed ora, o nostro Dio, che diremo noi dopo questo? Poiché noi abbiamo abbandonato i tuoi comandamenti,
Esdra 9:11	quelli che ci desti per mezzo dei tuoi servi i profeti, dicendo: ‘Il paese nel quale entrate per prenderne possesso è un paese reso impuro dall’impurità dei popoli di questi paesi, dalle abominazioni con le quali l’hanno riempito da un capo all’altro con le loro contaminazioni.
Esdra 9:12	Ora dunque non date le vostre figlie ai loro figli, e non prendete le loro figlie per i vostri figli, e non cercate mai la loro prosperità né il loro benessere, e così diventerete forti, mangerete i migliori prodotti del paese, e lo lascerete in retaggio perpetuo ai vostri figli’.
Esdra 9:13	Ora, dopo tutto quello che ci è avvenuto a motivo delle nostre azioni malvage e delle nostre grandi colpe, poiché tu, o nostro Dio, ci hai punito meno severamente di quanto le nostre iniquità avrebbero meritato, e hai conservato di noi un residuo come questo,
Esdra 9:14	torneremmo noi di nuovo a violare i tuoi comandamenti e ad imparentarci con i popoli che commettono queste abominazioni? L’ira tua non si infiammerebbe contro di noi sino a consumarci e a non lasciar più né residuo né superstite?
Esdra 9:15	O Eterno, Dio d’Israele, tu sei giusto, e perciò noi siamo oggi ridotti a un residuo di scampati. Ed eccoci dinanzi a te a riconoscere la nostra colpa; poiché a causa di essa, noi non potremmo sussistere nel tuo cospetto”.
Esdra 10:1	Ora, mentre Esdra pregava e faceva questa confessione piangendo e prostrato davanti alla casa di Dio, si radunò intorno a lui una grandissima moltitudine di gente d’Israele, uomini, donne e fanciulli; e il popolo piangeva dirottamente.
Esdra 10:2	Allora Scecania, figlio di Ieiel, uno dei figli di Elam, prese a dire a Esdra: “Noi siamo stati infedeli al nostro Dio, sposando donne straniere prese dai popoli di questo paese; nondimeno rimane ancora, a questo riguardo, una speranza a Israele.
Esdra 10:3	Facciamo un’alleanza con il nostro Dio impegnandoci a mandare via tutte queste donne e i figli nati da esse, come consigliano il mio signore e quelli che tremano dinanzi ai comandamenti del nostro Dio. E si faccia quel che vuole la legge.
Esdra 10:4	Alzati, poiché questo è affar tuo, e noi saremo con te. Fatti animo, ed agisci!”.
Esdra 10:5	Allora Esdra si alzò, fece giurare ai capi dei sacerdoti, dei Leviti e di tutto Israele che avrebbero fatto come era stato detto. E quelli giurarono.
Esdra 10:6	Poi Esdra si levò d’innanzi alla casa di Dio, e andò nella camera di Ioanan, figlio di Eliascib: e come vi fu entrato, non mangiò pane né bevve acqua, perché faceva cordoglio per l’infedeltà di quelli che erano stati in esilio.
Esdra 10:7	E si bandì in Giuda e a Gerusalemme che tutti quelli della schiavitù si radunassero a Gerusalemme;
Esdra 10:8	e che chiunque non venisse entro tre giorni seguendo il consiglio dei capi e degli anziani, tutti i suoi beni gli sarebbero stati confiscati, ed egli stesso sarebbe stato escluso dall’assemblea dei reduci dalla schiavitù.
Esdra 10:9	Così tutti gli uomini di Giuda e di Beniamino si radunarono a Gerusalemme entro i tre giorni. Era il ventesimo giorno del nono mese. Tutto il popolo stava sulla piazza della casa di Dio, tremante a motivo di questa cosa e a causa della gran pioggia.
Esdra 10:10	E il sacerdote Esdra si alzò e disse loro: “Voi avete commesso un’infedeltà, sposando donne straniere, e avete accresciuto la colpa d’Israele.
Esdra 10:11	Ma ora rendete omaggio all’Eterno, al Dio dei vostri padri, e fate quel che a lui piace! Separatevi dai popoli di questo paese e dalle donne straniere.”.
Esdra 10:12	Allora tutta l’assemblea rispose e disse ad alta voce: “Sì, dobbiamo fare come tu hai detto.
Esdra 10:13	Ma il popolo è in gran numero, e il tempo è molto piovoso e non possiamo stare allo scoperto; e questo non è un affare di un giorno o due, poiché siamo stati numerosi a commettere questo peccato.
Esdra 10:14	Rimangano dunque qui i capi di tutta l’assemblea; e tutti quelli che nelle nostre città hanno sposato donne straniere vengano a tempi determinati, con gli anziani e i giudici di ogni città, finché non sia rimossa da noi l’ardente ira del nostro Dio per questa infedeltà”.
Esdra 10:15	Gionatan, figlio di Asael, e Iazia, figlio di Ticva, appoggiati da Meshullam e dal Levita Shabbetai, furono i soli ad opporsi a questo;
Esdra 10:16	ma quelli della schiavitù fecero a quel modo; e furono scelti il sacerdote Esdra e alcuni capifamiglia secondo le loro case patriarcali, tutti designati per nome, i quali cominciarono a riunirsi il primo giorno del decimo mese, per esaminare i fatti.
Esdra 10:17	Il primo giorno del primo mese aveano finito quanto concerneva tutti quelli che avevano sposato donne straniere.
Esdra 10:18	Tra i figli dei sacerdoti questi si trovarono che avevano sposato donne straniere: dei figli di Ieshua, figlio di Iozadac, e tra i suoi fratelli: Maaseia, Eliezer, Iarib e Ghedalia,
Esdra 10:19	i quali promisero, dando la mano, di mandare via le loro mogli, e offrirono un montone come sacrificio per la loro colpa.
Esdra 10:20	Dei figli di Immer: Anani e Zebadia.
Esdra 10:21	Dei figli di Arim: Maaseia, Elia, Scemaia, Ieiel ed Uzzia.
Esdra 10:22	Dei figli di Pashur: Elioenai, Maaseia, Ishmael, Netaneel, Iozabad, Elasa.
Esdra 10:23	Dei Leviti: Iozabad, Scimei, Chelaia, detto anche Chelita, Petaia, Giuda ed Eliezer.
Esdra 10:24	Dei cantori: Eliascib. Dei portinai; Shallum, Telem e Uri.
Esdra 10:25	E degli Israeliti: dei figli di Parosh: Ramia, Izzia, Malchia, Miamin, Eleazar, Malchia e Benaia.
Esdra 10:26	Dei figli di Elam: Mattania, Zaccaria, Jeiel, Abdi, Ieremot ed Elia.
Esdra 10:27	Dei figli di Zattu: Elioenai, Eliascib, Mattania, Ieremot, Zabad e Aziza.
Esdra 10:28	Dei figli di Bebai: Ioanan, Anania, Zabbai, Atlai.
Esdra 10:29	Dei figli di Bani: Meshullam, Malluc, Adaia, Iashub, Sceal e Ramot.
Esdra 10:30	Dei figli di Pahat-Moab: Adna, Chelal, Benaia, Maaseia, Mattania, Bezaleel, Binnui e Manasse.
Esdra 10:31	Dei figli di Arim: Eliezer, Issia, Malchia, Scemaia, Simeone,
Esdra 10:32	Beniamino, Malluc, Scemaria.
Esdra 10:33	Dei figli di Ashum: Mattenai, Mattatta, Zabad, Elifelet, Ieremai, Manasse, Scimei.
Esdra 10:34	Dei figli di Bani: Maadai, Amram, Uel,
Esdra 10:35	Benaia, Bedia, Cheluhu,
Esdra 10:36	Vania, Meremot, Eliascib,
Esdra 10:37	Mattania, Mattenai, Iaasai,
Esdra 10:38	Bani, Binnui, Scimei,
Esdra 10:39	Scelemia, Natan, Adaia,
Esdra 10:40	Macnadbai, Shashai, Sharai,
Esdra 10:41	Azarel, Scelemia, Scemaria,
Esdra 10:42	Shallum, Amaria, Giuseppe.
Esdra 10:43	Dei figli di Nebo: Ieiel, Mattitia, Zabad, Zebina, Iaddai, Gioele, Benaia.
Esdra 10:44	Tutti questi avevano preso delle mogli straniere; e ve n’erano di quelli che da queste mogli avevano avuto dei figli.
Nehemia 1:1	Parole di Nehemia, figlio di Acalia. Ora avvenne che nel mese di Chisleu del ventesimo anno, mentre io mi trovavo nel castello di Susa,
Nehemia 1:2	Anani, uno dei miei fratelli, e alcuni altri uomini arrivarono da Giuda. Io li interrogai riguardo ai Giudei scampati, superstiti della schiavitù, e riguardo a Gerusalemme.
Nehemia 1:3	E quelli mi dissero: “I superstiti della schiavitù sono là, nella provincia, in gran miseria e nell’umiliazione; le mura di Gerusalemme restano diroccate, e le sue porte, consumate dal fuoco”.
Nehemia 1:4	Quando ebbi udito queste parole, io mi posi a sedere, piansi, feci cordoglio per parecchi giorni, e digiunai e pregai dinanzi al Dio del cielo.
Nehemia 1:5	E dissi: “O Eterno, Dio del cielo, Dio grande e formidabile, che mantieni l’alleanza e la misericordia con quelli che ti amano e osservano i tuoi comandamenti,
Nehemia 1:6	siano le tue orecchie attente, i tuoi occhi aperti, e ascolta la preghiera del tuo servo, che io faccio adesso dinanzi a te, giorno e notte, per i figli d’Israele, tuoi servi, confessando i peccati dei figli d’Israele: peccati che noi abbiamo commesso contro di te; sì, che io e la casa di mio padre abbiamo commesso.
Nehemia 1:7	Noi ci siamo condotti malvagiamente contro di te, e non abbiamo osservato i comandamenti, le leggi e le prescrizioni che tu desti a Mosè, tuo servo.
Nehemia 1:8	Ti imploro, ricordati della parola che ordinasti a Mosè, tuo servo, di pronunciare: ‘Se sarete infedeli, io vi disperderò fra i popoli;
Nehemia 1:9	ma se tornerete a me e osserverete i miei comandamenti e li metterete in pratica, quand’anche i vostri dispersi fossero agli estremi confini del mondo, io da là li raccoglierò; e li ricondurrò al luogo che ho scelto per farne la dimora del mio nome’.
Nehemia 1:10	Ora, questi sono tuoi servi, il tuo popolo; tu li hai redenti con il tuo grande potere e con la tua forte mano.
Nehemia 1:11	O Signore, te ne prego, siano le tue orecchie attente alla preghiera del tuo servo e alla preghiera dei tuoi servi, che hanno a cuore di temere il tuo nome; e concedi oggi, ti prego, successo al tuo servo, e fa’ che egli trovi pietà agli occhi di quest’uomo”. Allora io ero coppiere del re.
Nehemia 2:1	Nel ventesimo anno del re Artaserse, nel mese di Nisan, mentre il vino stava dinanzi al re, io presi il vino e glielo porsi. Ora, io non ero mai stato triste in sua presenza.
Nehemia 2:2	E il re mi disse: “Perché hai l’aspetto triste? Eppure non sei malato; non può essere altro che un’afflizione del cuore”. Allora io ebbi grandissima paura,
Nehemia 2:3	e dissi al re: “Viva il re in eterno! Come potrebbe il mio aspetto non essere triste quando la città dove si trovano i sepolcri dei miei padri è distrutta e le sue porte sono consumate dal fuoco?”.
Nehemia 2:4	E il re mi disse: “Che cosa domandi?”. Allora io pregai il Dio del cielo;
Nehemia 2:5	poi risposi al re: “Se così piace al re e il tuo servo ha incontrato favore ai tuoi occhi, mandami in Giudea, nella città dove si trovano i sepolcri dei miei padri, perché io la riedifichi”.
Nehemia 2:6	E il re, che aveva la regina seduta a fianco, mi disse: “Quanto durerà il tuo viaggio? e quando ritornerai?”. La cosa piacque al re, egli mi lasciò andare, e io gli fissai un termine di tempo.
Nehemia 2:7	Poi dissi al re: “Se così piace al re, mi si diano delle lettere per i governatori d’oltrefiume affinché mi lascino passare ed entrare in Giuda,
Nehemia 2:8	e una lettera per Asaf, guardiano del parco del re, affinché mi dia del legname per costruire le porte del castello annesso alla casa dell’Eterno, per le mura della città, e per la casa che abiterò io”. E il re mi diede le lettere, perché la benefica mano del mio Dio era su di me.
Nehemia 2:9	Io giunsi presso i governatori d’oltrefiume, e diedi loro le lettere del re. Il re aveva mandato con me dei capi dell’esercito e dei cavalieri.
Nehemia 2:10	E quando Samballat, l’Oronita, e Tobia, il servo ammonita, furono informati del mio arrivo, ebbero gran dispiacere della venuta di un uomo che procurava il bene dei figli d’Israele.
Nehemia 2:11	Così giunsi a Gerusalemme; e quando vi ebbi passato tre giorni,
Nehemia 2:12	mi alzai di notte, presi con me pochi uomini, e non dissi nulla ad alcuno di quello che Dio mi aveva messo in cuore di fare per Gerusalemme; non avevo con me altra bestia che quello che io cavalcavo.
Nehemia 2:13	Ed uscii di notte per la porta della Valle, e mi diressi verso la sorgente del Dragone e la porta del Letame, osservando le mura di Gerusalemme, come erano diroccate e come le sue porte erano consumate dal fuoco.
Nehemia 2:14	Passai presso la porta della Sorgente e il serbatoio del Re, ma non v’era posto per cui la bestia che io cavalcavo potesse passare.
Nehemia 2:15	Allora risalii di notte la valle, sempre osservando le mura; poi, rientrato per la porta della Valle, me ne tornai a casa.
Nehemia 2:16	I magistrati non sapevano né dove io fossi andato né che cosa facessi. Fino a quel momento, io non avevo detto nulla né ai Giudei né ai sacerdoti né ai notabili né ai magistrati né ad alcuno di quelli che si occupavano dei lavori.
Nehemia 2:17	Allora io dissi loro: “Voi vedete la misera condizione nella quale ci troviamo; Gerusalemme è distrutta, e le sue porte sono consumate dal fuoco. Venite, riedifichiamo le mura di Gerusalemme, e non saremo più nell’umiliazione”.
Nehemia 2:18	E narrai loro come la benefica mano del mio Dio era stata su di me, senza omettere le parole che il re mi aveva detto. E quelli dissero: “Alziamoci, e mettiamoci a costruire!”. E si fecero animo per mettere mano a questa buona opera.
Nehemia 2:19	Ma quando Samballat, l’Oronita, e Tobia, il servo ammonita, e Ghescem, l’Arabo, seppero la cosa, si fecero beffe di noi, e ci sprezzarono dicendo: “Che cosa state facendo? Vi volete forse ribellare contro il re?”.
Nehemia 2:20	Allora io risposi e dissi loro: “Il Dio del cielo è colui che ci darà successo. Noi, suoi servi, ci alzeremo e costruiremo; ma voi non avete né parte né diritto né memoria a Gerusalemme”.
Nehemia 3:1	Eliascib, sommo sacerdote, si alzò con i suoi fratelli sacerdoti e costruirono la porta delle Pecore; la consacrarono e vi misero i battenti; continuarono a costruire fino alla torre di Mea, che consacrarono, e fino alla Torre di Ananeel.
Nehemia 3:2	A fianco di Eliascib lavorarono gli uomini di Gerico, e al loro fianco lavorò Zaccur, figlio di Imri.
Nehemia 3:3	I figli di Senaa costruirono la porta dei Pesci, ne fecero l’intelaiatura, e vi posero i battenti, le serrature e le sbarre.
Nehemia 3:4	Al loro fianco lavorò alle riparazioni Meremot, figlio di Uria, figlio di Accoz; al loro fianco lavorò alle riparazioni Meshullam, figlio di Berechia, figlio di Mescezabeel; al loro fianco lavorò alle riparazioni Zadoc, figlio di Baana;
Nehemia 3:5	al loro fianco lavorarono alle riparazioni i Tecoiti; ma gli illustri fra loro non piegarono i loro colli a lavorare all’opera del loro signore.
Nehemia 3:6	Ioiada, figlio di Pasea, e Meshullam, figlio di Besodeia, restaurarono la porta Vecchia; ne fecero l’intelaiatura, e vi posero i battenti, le serrature e le sbarre.
Nehemia 3:7	Al loro fianco lavorarono alle riparazioni Melatia, il Gabaonita, Iadon, il Meronotita, e gli uomini di Gabaon e di Mizpa, che dipendevano dalla sede del governatore d’oltrefiume;
Nehemia 3:8	al loro fianco lavorò alle riparazioni Uzziel, figlio di Araia, uno degli orefici, e al suo fianco lavorò Anania, uno dei profumieri. Essi lasciarono stare Gerusalemme com’era, fino al muro largo.
Nehemia 3:9	Al loro fianco lavorò alle riparazioni Refaia, figlio di Ur capo della metà del distretto di Gerusalemme.
Nehemia 3:10	Al loro fianco lavorò alle riparazioni dirimpetto alla sua casa, Iedaia, figlio di Arumaf, e al suo fianco lavorò Attush figlio di Ashabneia.
Nehemia 3:11	Malchia, figlio di Arim, e Asshub, figlio di Pahat-Moab, restaurarono un’altra parte delle mura e la torre dei Forni.
Nehemia 3:12	Al loro fianco lavorò alle riparazioni, con le sue figlie, Shallum, figlio di Alloesh, capo della metà del distretto di Gerusalemme.
Nehemia 3:13	Anun e gli abitanti di Zanoa restaurarono la porta della Valle; la costruirono, vi posero i battenti, le serrature e le sbarre. Fecero inoltre mille cubiti di muro fino alla porta del Letame.
Nehemia 3:14	Malchia, figlio di Recab, capo del distretto di Bet-Accheerem restaurò la porta del Letame; la costruì, vi pose i battenti, le serrature, le sbarre.
Nehemia 3:15	Shallum, figlio di Col-Oze, capo del distretto di Mizpa, restaurò la porta della Sorgente; la costruì, la coperse, vi pose i battenti, le serrature e le sbarre. Fece inoltre il muro del serbatoio di Scela, presso il giardino del re, fino alla scalinata per cui si scende dalla città di Davide.
Nehemia 3:16	Dopo di lui Nehemia, figlio di Azbuc, capo della metà del distretto di Bet-Zur, lavorò alle riparazioni fin dirimpetto ai sepolcri di Davide, fino al serbatoio che era stato costruito, e fino alla casa dei prodi.
Nehemia 3:17	Dopo di lui lavorarono alle riparazioni i Leviti, sotto Reum, figlio di Bani; e al suo fianco lavorò per il suo distretto Ashabia, capo della metà del distretto di Cheila.
Nehemia 3:18	Dopo di lui lavorarono alle riparazioni i loro fratelli, sotto Bavvai, figlio di Eenadad, capo della metà del distretto di Cheila;
Nehemia 3:19	e al suo fianco Ezer, figlio di Ieshua, capo di Mizpa, restaurò un’altra parte delle mura, dirimpetto alla salita dell’arsenale, all’angolo.
Nehemia 3:20	Dopo di lui Baruc, figlio di Zaccai, ne restaurò con ardore un’altra parte, dall’angolo fino alla porta della casa di Eliascib, il sommo sacerdote.
Nehemia 3:21	Dopo di lui Meremot, figlio di Uria, figlio di Accoz, ne restaurò un’altra parte, dalla porta della casa di Eliascib fino all’estremità della casa di Eliascib.
Nehemia 3:22	Dopo di lui lavorarono i sacerdoti che abitavano la pianura.
Nehemia 3:23	Dopo di loro Beniamino e Ashub lavorarono dirimpetto alla loro casa. Dopo di loro Azaria, figlio di Maaseia, figlio di Anania, lavorò presso la sua casa.
Nehemia 3:24	Dopo di lui Binnui, figlio di Enadad, restaurò un’altra parte delle mura, dalla casa di Azaria fino alla Svolta, e fino all’angolo.
Nehemia 3:25	Palal, figlio di Uzai, lavorò dirimpetto alla Svolta e alla torre sporgente dalla casa superiore del re, che dà sul cortile della prigione. Dopo di lui lavorò Pedaia, figlio di Parosh.
Nehemia 3:26	I Netinei, che abitavano sulla collina, lavorarono fino dirimpetto alla porta delle Acque, verso oriente, e dirimpetto alla torre sporgente.
Nehemia 3:27	Dopo di loro i Tecoiti ne restaurarono un’altra parte, dirimpetto alla gran torre sporgente e fino al muro della collina.
Nehemia 3:28	I sacerdoti lavorarono alle riparazioni al disopra della porta dei Cavalli, ciascuno dirimpetto alla propria casa.
Nehemia 3:29	Dopo di loro Zadoc, figlio di Immer, lavorò dirimpetto alla sua casa. Dopo di lui lavorò Scemaia, figlio di Scecania, guardiano della porta orientale.
Nehemia 3:30	Dopo di lui Anania, figlio di Scelemia, e Anun, sesto figlio di Zalaf, restaurarono un’altra parte delle mura. Dopo di loro Meshullam, figlio di Berechia, lavorò di fronte alla sua camera.
Nehemia 3:31	Dopo di lui Malchia, uno degli orefici, lavorò fino alle case dei Netinei e dei mercanti, dirimpetto alla porta di Ammifcad e fino alla salita dell’angolo.
Nehemia 3:32	E gli orefici e i mercanti lavorarono alle riparazioni fra la salita dell’angolo e la porta delle Pecore.
Nehemia 4:1	Quando Samballat udì che noi edificavamo le mura, si adirò, si indignò oltre modo, si fece beffe dei Giudei,
Nehemia 4:2	e disse in presenza dei suoi fratelli e dei soldati di Samaria: “Che fanno questi spossati Giudei? Li lasceremo fare? Offriranno sacrifici? Finiranno in un giorno? Faranno essi rivivere delle pietre sepolte sotto mucchi di polvere e consumate dal fuoco?”.
Nehemia 4:3	Tobia l’Ammonita, che gli stava accanto, disse: “Edifichino pure! Se una volpe vi salta su farà crollare il loro muro di pietra”.
Nehemia 4:4	Ascolta, o Dio nostro, come siamo disprezzati. Fa’ ricadere sul loro capo il loro vituperio, e abbandonali al saccheggio in un paese di schiavitù.
Nehemia 4:5	E non coprire la loro iniquità, e non sia cancellato dal tuo cospetto il loro peccato; poiché ti hanno provocato ad ira in presenza dei costruttori.
Nehemia 4:6	Noi dunque riedificammo le mura, che furono dappertutto compiute fino alla metà della loro altezza; e il popolo aveva preso a cuore il lavoro.
Nehemia 4:7	Ma quando Samballat, Tobia, gli Arabi, gli Ammoniti e gli Asdodei ebbero udito che la riparazione delle mura di Gerusalemme progrediva, e che le brecce cominciavano a chiudersi, si indignarono grandemente,
Nehemia 4:8	e tutti quanti assieme congiurarono di venire ad attaccare Gerusalemme e a crearvi del disordine.
Nehemia 4:9	Allora noi pregammo il nostro Dio, e mettemmo contro di loro delle sentinelle di giorno e di notte per difenderci dai loro attacchi.
Nehemia 4:10	Quelli di Giuda dicevano: “Le forze dei portatori di pesi vengono meno, e le macerie sono molte; noi non potremo costruire le mura”.
Nehemia 4:11	E i nostri avversari dicevano: “Essi non sapranno e non vedranno nulla, finché noi giungiamo in mezzo a loro; allora li uccideremo, e faremo cessare i lavori”.
Nehemia 4:12	E siccome i Giudei che dimoravano vicino a loro vennero dieci volte a riferirci la cosa da tutti i luoghi di loro provenienza,
Nehemia 4:13	io, nelle parti più basse del posto, dietro le mura, in luoghi aperti, disposi il popolo per famiglie, con le loro spade, le loro lance, i loro archi.
Nehemia 4:14	E, dopo aver ben esaminato tutto, mi alzai e dissi ai notabili, ai magistrati e al resto del popolo: “Non li temete. Ricordatevi del Signore, grande e formidabile; e combattete per i vostri fratelli, per i vostri figli e figlie, per le vostre mogli e per le vostre case”.
Nehemia 4:15	Quando i nostri nemici udirono che eravamo informati della cosa, Dio frustrò il loro disegno, e noi tutti tornammo alle mura, ognuno al suo lavoro.
Nehemia 4:16	Da quel giorno, la metà dei miei servi lavorava, e l’altra metà stava armata di lance, di scudi, di archi, di corazze; e i capi erano dietro a tutta la casa di Giuda.
Nehemia 4:17	Quelli che costruivano le mura e quelli che portavano o caricavano i pesi, con una mano lavoravano, e con l’altra tenevano la loro arma;
Nehemia 4:18	e tutti i costruttori, lavorando, portavano ciascuno la spada cinta ai fianchi. Il trombettiere stava accanto a me.
Nehemia 4:19	E io dissi ai notabili, ai magistrati e al resto del popolo: “L’opera è grande ed estesa, e noi siamo sparsi sulle mura, e distanti l’uno dall’altro.
Nehemia 4:20	Dovunque udrete il suono della tromba, lì raccoglietevi presso di noi; il nostro Dio combatterà per noi”.
Nehemia 4:21	Così continuavamo i lavori, mentre la metà della mia gente teneva impugnata la lancia, dallo spuntar dell’alba all’apparir delle stelle.
Nehemia 4:22	In quel medesimo tempo, io dissi al popolo: “Ciascuno di voi resti la notte dentro Gerusalemme con i suoi servi, per far con noi la guardia durante la notte e riprendere il lavoro di giorno”.
Nehemia 4:23	Io, i miei fratelli, i miei servi e gli uomini di guardia che mi seguivano non ci spogliavamo; ognuno aveva l’arma a portata di mano.
Nehemia 5:1	Ora, si levò un gran lamento da parte di quelli del popolo e delle loro mogli contro i Giudei, loro fratelli.
Nehemia 5:2	Alcuni dicevano: “Noi, i nostri figli e le nostre figlie siamo numerosi; procuriamoci del grano perché possiamo mangiare e vivere!”.
Nehemia 5:3	Altri dicevano: “Impegniamo i nostri campi, le nostre vigne e le nostre case per assicurarci del grano durante la carestia!”.
Nehemia 5:4	Altri ancora dicevano: “Noi abbiamo preso del denaro in prestito per pagare il tributo del re sui nostri campi e sulle nostre vigne.
Nehemia 5:5	Ora la nostra carne è come la carne dei nostri fratelli, i nostri figli sono come i loro figli; ed ecco che dobbiamo sottoporre i nostri figli e le nostre figlie alla schiavitù, e alcune delle nostre figlie sono già ridotte schiave; e noi non possiamo farci nulla, perché i nostri campi e le nostre vigne sono in mano di altri”.
Nehemia 5:6	Quando udii i loro lamenti e queste parole, io mi indignai molto.
Nehemia 5:7	E, dopo matura riflessione, ripresi aspramente i notabili e i magistrati, e dissi loro: “Come! Voi prestate a interesse ai vostri fratelli?”. E convocai contro di loro una grande assemblea,
Nehemia 5:8	e dissi loro: “Noi, secondo la nostra possibilità, abbiamo riscattato i nostri fratelli giudei che si erano venduti ai pagani; e voi stessi vendereste i vostri fratelli, ed essi si sarebbero rivenduti a noi!”. Allora quelli tacquero, e non seppero che rispondere.
Nehemia 5:9	Io dissi pure: “Quello che voi fate non è ben fatto. Non dovreste voi camminare nel timore del nostro Dio per non essere oltraggiati dai pagani nostri nemici?
Nehemia 5:10	Anch’io e i miei fratelli e i miei servi abbiamo dato loro in prestito denaro e grano. Vi prego, condoniamo loro questo debito.
Nehemia 5:11	Rendete loro oggi i loro campi, le loro vigne, i loro uliveti e le loro case, e la percentuale del denaro, del grano, del vino e dell’olio che avete esatto da loro come interesse”.
Nehemia 5:12	Quelli risposero: “Restituiremo tutto, e non domanderemo loro più nulla; faremo come tu dici”. Allora chiamai i sacerdoti, e in loro presenza li feci giurare che avrebbero mantenuto la promessa.
Nehemia 5:13	Io scossi inoltre il mio mantello, e dissi: “Così scuota Dio dalla sua casa e dai suoi beni chiunque non avrà mantenuto questa promessa, e così sia egli scosso e resti senza nulla!”. E tutta l’assemblea disse: “Amen!”. E celebrarono l’Eterno. E il popolo mantenne la promessa.
Nehemia 5:14	Inoltre, dal giorno in cui il re mi stabilì loro governatore nel paese di Giuda, dal ventesimo anno fino al trentaduesimo anno di re Artaserse, per dodici anni, io e i miei fratelli non mangiammo le provviste assegnate al governatore.
Nehemia 5:15	I governatori che mi avevano preceduto avevano gravato il popolo, ricevendone pane e vino, oltre a quaranta sicli d’argento; perfino i loro servi vessavano il popolo; ma io non ho fatto così, perché ho avuto timore di Dio.
Nehemia 5:16	Anzi ho messo mano ai lavori di riparazione di queste mura, e non abbiamo comprato nessun campo, e tutta la mia gente si è raccolta là a lavorare.
Nehemia 5:17	E avevo alla mia mensa centocinquanta uomini, Giudei e magistrati, oltre quelli che venivano da noi dalle nazioni circostanti.
Nehemia 5:18	E quel che mi si preparava per ogni giorno era un bue, sei capri scelti di bestiame minuto, e dell’uccellame; e ogni dieci giorni si preparava ogni sorta di vini in abbondanza; e, nondimeno, io non ho mai chiesto le provviste assegnate al governatore, perché il popolo era già gravato abbastanza a motivo dei lavori.
Nehemia 5:19	O mio Dio, ricordati, per farmi del bene, di tutto quello che ho fatto per questo popolo.
Nehemia 6:1	Ora quando Samballat e Tobia e Ghescem, l’Arabo, e gli altri nostri nemici ebbero udito che io avevo riedificato le mura e che non v’era più rimasta alcuna breccia — quantunque allora io non avessi ancora messo i battenti alle porte —
Nehemia 6:2	Samballat e Ghescem mi mandarono a dire: “Vieni, e troviamoci assieme in uno dei villaggi della valle di Ono”. Ora, essi pensavano di farmi del male.
Nehemia 6:3	E io inviai loro dei messi per dire: “Io sto facendo un gran lavoro, e non posso scendere. Perché si dovrebbe sospendere il lavoro, mentre io lo lascio per scendere da voi?”.
Nehemia 6:4	Essi mandarono quattro volte a dirmi la stessa cosa, e io risposi loro nello stesso modo.
Nehemia 6:5	Allora Samballat mi mandò a dire la stessa cosa la quinta volta per mezzo del suo servo, che aveva in mano una lettera aperta,
Nehemia 6:6	nella quale era scritto: “Corre voce fra queste genti, e Gashmu lo afferma, che tu e i Giudei meditate di ribellarvi; e che perciò tu ricostruisci le mura; e, stando a quel che si dice, tu diventeresti loro re,
Nehemia 6:7	e avresti perfino stabilito dei profeti per far la tua proclamazione a Gerusalemme, dicendo: ‘C’è un re in Giuda’. Ora, questi discorsi saranno riferiti al re. Vieni dunque, e consultiamoci assieme”.
Nehemia 6:8	Ma io gli feci rispondere: “Le cose non stanno come tu dici, ma sei tu che le inventi.”.
Nehemia 6:9	Perché tutta quella gente ci voleva impaurire e diceva: “Le loro mani si rilasseranno e il lavoro non si farà più”. Ma tu, o Dio, fortifica ora le mie mani.
Nehemia 6:10	Ed io andai a casa di Scemaia, figlio di Delaia, figlio di Mehetabeel, che si era rinchiuso lì; ed egli mi disse: “Troviamoci assieme nella casa di Dio, dentro al tempio, e chiudiamo le porte del tempio; poiché coloro verranno a ucciderti, e verranno a ucciderti di notte”.
Nehemia 6:11	Ma io risposi: “Un uomo come me si dà forse alla fuga? E un uomo quale sono io potrebbe forse entrare nel tempio e vivere? No, io non vi entrerò”.
Nehemia 6:12	E io compresi che egli non era mandato da Dio, ma aveva pronunciato quella profezia contro di me, perché Tobia e Samballat l’aveano pagato.
Nehemia 6:13	E l’avevano pagato per impaurirmi e indurmi ad agire in quel modo e a peccare, al fine di avere elementi che mi dessero una cattiva reputazione e mi coprissero d’onta.
Nehemia 6:14	O mio Dio, ricordati di Tobia, di Samballat, e di queste loro opere! Ricordati anche della profetessa Noadia e degli altri profeti che hanno cercato di spaventarmi!
Nehemia 6:15	Ora, le mura furono ultimate il venticinquesimo giorno di Elul, in cinquantadue giorni.
Nehemia 6:16	E quando tutti i nostri nemici lo ebbero saputo, tutte le nazioni circostanti furono prese da timore, e restarono grandemente avvilite ai loro propri occhi perché riconobbero che quest’opera si era compiuta con l’aiuto del nostro Dio.
Nehemia 6:17	In quei giorni, anche dei notabili di Giuda mandavano frequenti lettere a Tobia, e ne ricevevano da Tobia,
Nehemia 6:18	poiché molti in Giuda gli erano legati per giuramento perché egli era genero di Scecania figlio di Ara, e Ioanan, suo figlio, aveva sposato la figlia di Meshullam, figlio di Berechia.
