Mateus 1:1	Livro da geração de Jesus Cristo, filho de Davi, filho de Abraão.
Atos 24:26	Esperando também juntamente que Paulo lhe desse dinheiro, para que o soltasse; pelo que também muitas vezes o mandava chamar, e falava com ele.
Atos 24:27	Porém, cumpridos dois anos, Félix teve por sucessor Pórcio Festo; e querendo Félix comprazer aos judeus, deixou Paulo preso.
Atos 25:1	Entrando, pois, Festo na província, subiu dali a três dias de Cesareia a Jerusalém.
Atos 25:2	E o sumo sacerdote e os principais dos judeus compareceram perante ele com acusações contra Paulo, e lhe rogaram,
Atos 25:3	Pedindo favor contra ele, para que o fizesse vir a Jerusalém, armando-lhe ciladas para o matarem no caminho.
Atos 25:4	Porém Festo respondeu que Paulo estava guardado em Cesareia, e que ele brevemente partiria para lá.
Atos 25:5	Portanto, disse ele, os que dentre vós têm poder, desçam juntamente comigo, e se neste homem houver algum crime, acusem-no.
Atos 25:6	E não se havendo entre eles detido mais de dez dias, desceu a Cesareia; e no dia seguinte, assentando-se no tribunal, mandou que trouxessem Paulo.
Atos 25:7	E chegando ele, o rodearam os judeus que haviam descido de Jerusalém, trazendo contra Paulo muitas e graves acusações, que não podiam provar.
Atos 25:8	Pelo que, em sua defesa, disse: Eu não pequei em coisa alguma contra a lei dos judeus, nem contra o templo, nem contra César.
Atos 25:9	Porém Festo, querendo comprazer aos judeus, respondendo a Paulo, disse: Queres tu subir a Jerusalém, e ser lá perante mim julgado acerca destas coisas?
Atos 25:10	E Paulo disse: Estou perante o tribunal de César, onde convém que seja julgado; não fiz agravo algum aos judeus, como tu muito bem sabes;
Atos 25:11	Porque, se fiz algum agravo, ou cometi alguma coisa digna de morte, não recuso morrer; porém, se nada há das coisas de que estes me acusam, ninguém me pode entregar a eles; apelo para César.
Atos 25:12	Então Festo, tendo falado com o conselho, respondeu: Apelaste para César? para César irás.
Atos 25:13	E passados alguns dias, o rei Agripa e Berenice vieram a Cesareia, para saudar Festo.
Atos 25:14	E, como ali se detiveram muitos dias, Festo contou ao rei o caso de Paulo, dizendo: Um certo homem foi deixado por Félix aqui preso,
Atos 25:15	A respeito de quem os principais dos sacerdotes e os anciãos dos judeus, estando eu em Jerusalém, compareceram perante mim, pedindo sentença contra ele.
Atos 25:16	Aos quais respondi não ser costume dos romanos entregar algum homem à morte, sem que o acusado tenha presentes os seus acusadores, e tenha oportunidade de defender-se da acusação.
Atos 25:17	De sorte que, chegando eles aqui juntos, no dia seguinte, sem adiamento algum, assentado no tribunal, mandei trazer o homem,
Atos 25:18	Acerca do qual, estando presentes os acusadores, nenhuma coisa apontaram daquelas que eu suspeitava.
Atos 25:19	Tinham, porém, contra ele algumas questões acerca da sua superstição, e de um certo Jesus, já morto, que Paulo afirmava viver.
Atos 25:20	E estando eu perplexo acerca da inquirição desta causa, perguntei se queria ir a Jerusalém, e lá ser julgado acerca dessas coisas.
Atos 25:21	E apelando Paulo para ser mantido em custódia até o julgamento de Augusto, mandei que o guardassem até que o enviasse a César.
Atos 25:22	Então Agripa disse a Festo: Bem quisera eu também ouvir esse homem. E ele disse: Amanhã o ouvirás.
Atos 25:23	De sorte que, no dia seguinte, vindo Agripa e Berenice, com muito aparato, e entrando no auditório com os tribunos e homens eminentes da cidade, trouxeram Paulo por mandado de Festo.
Atos 25:24	E Festo disse: Rei Agripa, e todos os homens que estais presentes conosco, aqui vedes aquele de quem toda a multidão dos judeus me tem falado, tanto em Jerusalém como aqui, clamando que não convém que ele viva mais.
Atos 25:25	Porém, achando eu que nenhuma coisa digna de morte fizera, e apelando ele mesmo também para Augusto, determinei enviá-lo.
Atos 25:26	Do qual não tenho coisa alguma certa que escreva ao meu senhor, pelo que perante vós o trouxe, e mormente perante ti, ó rei Agripa, para que, feito o interrogatório, tenha alguma coisa que escrever.
Atos 25:27	Porque me parece contra a razão enviar um preso, e não notificar contra ele as acusações.
Atos 26:1	Depois Agripa disse a Paulo: Permite-se-te falar por ti mesmo. Então Paulo, estendendo a mão em sua defesa, respondeu:
Atos 26:2	Tenho-me por venturoso, ó rei Agripa, de que perante ti me haja hoje de defender de todas as coisas de que sou acusado pelos judeus;
Atos 26:3	Mormente sabendo eu que és versado em todos os costumes e questões que há entre os judeus; pelo que te rogo que me ouças com paciência.
Atos 26:4	A minha vida, pois, desde a mocidade, a qual transcorreu, desde o princípio, em Jerusalém, entre os da minha nação, todos os judeus a sabem;
Atos 26:5	Conhecendo-me já desde o princípio (se o quiserem testificar), que, conforme a mais severa seita da nossa religião, vivi fariseu.
Atos 26:6	E agora, pela esperança da promessa que por Deus foi feita a nossos pais, estou aqui e sou julgado.
Atos 26:7	A qual as nossas doze tribos esperam alcançar, servindo a Deus continuamente, noite e dia. Por essa esperança, ó rei Agripa, eu sou acusado pelos judeus.
Atos 26:8	Por que se julga coisa incrível entre vós que Deus ressuscite os mortos?
Atos 26:9	Eu verdadeiramente achava que contra o nome de Jesus Nazareno devia praticar muitos atos;
Atos 26:10	O que também fiz em Jerusalém. E havendo recebido poder dos principais dos sacerdotes, encerrei muitos dos santos nas prisões; e quando os matavam eu dava o meu voto.
Atos 26:11	E castigando-os muitas vezes por todas as sinagogas, os forcei a blasfemar. E enfurecido demasiadamente contra eles, até nas cidades estrangeiras os persegui.
Atos 26:12	Pelo que, indo então a Damasco, com poder e comissão dos principais dos sacerdotes,
Atos 26:13	Ao meio dia, ó rei, vi no caminho uma luz do céu, que excedia o esplendor do sol, a qual me rodeou a mim e aos que iam comigo com sua claridade.
Atos 26:14	E caindo nós todos por terra, ouvi uma voz que me falava, e em língua hebraica dizia: Saulo, Saulo, por que me persegues? Dura coisa te é recalcitrar contra os aguilhões.
Atos 26:15	E disse eu: Quem és, Senhor? E ele respondeu: Eu sou Jesus, a quem tu persegues.
Atos 26:16	Mas levanta-te e põe-te sobre teus pés, porque te apareci para isto: para te pôr por ministro e testemunha tanto das coisas que tens visto como daquelas pelas quais te aparecerei;
Atos 26:17	Livrando-te deste povo, e dos gentios, a quem agora te envio,
Atos 26:18	Para lhes abrires os olhos, e das trevas os converteres à luz, e do poder de Satanás, a Deus; para que recebam a remissão dos pecados, e herança entre os santificados pela fé em mim.
Atos 26:19	Pelo que, ó rei Agripa, não fui desobediente à visão celestial.
Atos 26:20	Antes, anunciei primeiramente aos que estão em Damasco e em Jerusalém, e por toda a terra da Judeia, e aos gentios, que se arrependessem e se convertessem a Deus, fazendo obras dignas de arrependimento.
Atos 26:21	Por causa disso os judeus lançaram mão de mim no templo, e procuraram matar-me.
Atos 26:22	Porém, alcançando socorro de Deus, ainda até o dia de hoje permaneço, testificando tanto a pequenos como a grandes, não dizendo nada mais do que o que os profetas e Moisés disseram que devia acontecer,
Atos 26:23	Isto é, que o Cristo devia padecer, e sendo o primeiro da ressurreição dos mortos, devia anunciar a luz a este povo e aos gentios.
Atos 26:24	E dizendo ele isso em sua defesa, disse Festo em alta voz: Deliras, Paulo; as muitas letras te fazem delirar.
Atos 26:25	Porém ele disse: Não deliro, ó excelentíssimo Festo; antes falo palavras de verdade e de perfeito juízo.
Atos 26:26	Porque o rei, diante de quem falo com ousadia, sabe essas coisas, pois não creio que nada disso se lhe oculte; porque isso não se fez em qualquer canto.
Atos 26:27	Crês tu nos profetas, ó rei Agripa? Bem sei que crês.
Atos 26:28	E disse Agripa a Paulo: Por pouco não me persuades a que me faça cristão.
Atos 26:29	E disse Paulo: Prouvera a Deus que, ou por pouco ou por muito, não somente tu, mas também todos quantos hoje me estão ouvindo, se tornassem tais qual eu sou, exceto estas cadeias.
Atos 26:30	E dizendo ele isso, levantaram-se o rei, e o governador, e Berenice, e os que com eles estavam assentados.
Atos 26:31	E apartando-se a um lado, falavam uns com os outros, dizendo: Este homem nada fez digno de morte ou de prisões.
Atos 26:32	E Agripa disse a Festo: Bem podia soltar-se este homem, se não houvesse apelado para César.
Atos 27:1	E como se determinou que havíamos de navegar para a Itália, entregaram Paulo, e alguns outros presos, a um centurião por nome Júlio, da coorte augusta.
Atos 27:2	E embarcando nós em um navio adramitino, partimos navegando pelos lugares da Ásia, estando conosco Aristarco, macedônio, de Tessalônica.
Atos 27:3	E chegamos no dia seguinte a Sidom, e Júlio, tratando Paulo humanamente, lhe permitiu ir ver os amigos, para que cuidassem dele.
Atos 27:4	E partindo dali, fomos navegando abaixo de Chipre, porquanto os ventos eram contrários.
Atos 27:5	E tendo atravessado o mar, ao longo da Cilícia e Panfília, chegamos a Mirra, na Lícia.
Atos 27:6	E achando ali o centurião um navio de Alexandria, que navegava para a Itália, nos fez embarcar nele.
Atos 27:7	E indo já por muitos dias navegando vagarosamente, e havendo chegado apenas defronte de Cnido, não nos permitindo o vento ir mais adiante, navegamos abaixo de Creta, junto de Salmone.
Atos 27:8	E costeando-a com dificuldade, chegamos a um certo lugar chamado Bons Portos, perto do qual estava a cidade de Laseia.
Atos 27:9	E passado muito tempo, e sendo já perigosa a navegação, porquanto já também o jejum tinha passado, Paulo os admoestava,
Atos 27:10	Dizendo-lhes: Homens, vejo que a navegação há de ser com dano, e com muita perda, não só para o navio e a carga, mas também para a nossa vida.
Atos 27:11	Porém o centurião cria mais no piloto e no mestre, do que no que dizia Paulo.
Atos 27:12	E não sendo aquele porto cômodo para invernar, a maioria deles era de parecer que se partisse dali para ver se podiam chegar a Fênice, que é um porto de Creta que olha para o lado do vento da África e do Coro, e invernar ali.
Atos 27:13	E soprando o vento sul brandamente, lhes pareceu terem já o que desejavam, e alçando vela, foram de muito perto costeando Creta.
Atos 27:14	Porém não muito depois desencadeou-se um pé de vento, chamado Euro-Aquilão.
Atos 27:15	E sendo o navio arrebatado por ele, e não podendo navegar contra o vento, nos deixamos ir à deriva.
Atos 27:16	E correndo abaixo de uma pequena ilha chamada Clauda, apenas pudemos recolher o bote;
Atos 27:17	Levado este para cima, usaram de todos os meios, cingindo o navio; e temendo darem à costa na Sirte, arriadas as velas, assim foram à deriva.
Atos 27:18	E sendo nós violentamente açoitados por uma tempestade, no dia seguinte aliviaram o navio.
Atos 27:19	E ao terceiro dia nós mesmos, com as nossas próprias mãos, lançamos ao mar a armação do navio.
Atos 27:20	E não aparecendo, havia já muitos dias, nem sol nem estrelas, e oprimindo-nos uma não pequena tempestade, fugiu-nos toda a esperança de nos salvarmos.
Atos 27:21	E havendo já muito que não se comia, então Paulo, pondo-se em pé no meio deles, disse: Teria sido, na verdade, razoável, ó homens, ter-me ouvido a mim e não partir de Creta, e evitar assim este dano e esta perda.
Atos 27:22	Porém agora vos admoesto a que tenhais bom ânimo, porque não se perderá a vida de nenhum de vós, mas somente o navio.
Atos 27:23	Porque esta mesma noite o anjo de Deus, de quem eu sou, e a quem sirvo, esteve comigo,
Atos 27:24	Dizendo: Paulo, não temas; é necessário que sejas apresentado a César, e eis que Deus te deu todos quantos navegam contigo.
Atos 27:25	Portanto, ó homens, tende bom ânimo; porque creio em Deus, que há de acontecer assim como a mim me foi dito.
Atos 27:26	Porém é necessário irmos dar numa ilha.
Atos 27:27	E quando chegou a décima quarta noite, sendo impelidos de um e de outro lado no mar Adriático, lá pela meia noite suspeitaram os marinheiros de que estavam próximos de alguma terra.
Atos 27:28	E lançando o prumo, acharam vinte braças; e passando um pouco mais adiante, tornando a lançar o prumo, acharam quinze braças.
Atos 27:29	E temendo ir dar em alguns rochedos, lançaram da popa quatro âncoras, desejando que viesse o dia.
Atos 27:30	Procurando, porém, os marinheiros fugir do navio, e arriando o bote ao mar, como que querendo lançar as âncoras pela proa,
Atos 27:31	Disse Paulo ao centurião e aos soldados: Se estes não ficarem no navio, não podereis salvar-vos.
Atos 27:32	Então os soldados cortaram os cabos do bote, e o deixaram cair.
Atos 27:33	E quando amanhecia o dia, Paulo exortava todos a que comessem alguma coisa, dizendo: É já hoje o décimo quarto dia que esperais, e permaneceis sem comer, não havendo provado nada.
Atos 27:34	Portanto, exorto-vos a que comais alguma coisa, pois é necessário para a vossa saúde; porque nem um cabelo da cabeça de qualquer de vós cairá.
Atos 27:35	E havendo dito isso, tomando o pão, deu graças a Deus na presença de todos; e partindo-o, começou a comer.
Atos 27:36	E tendo já todos bom ânimo, puseram-se também a comer.
Atos 27:37	E éramos ao todo no navio duzentas e setenta e seis almas.
Atos 27:38	E já saciados com a comida, aliviaram o navio, lançando o trigo ao mar.
Atos 27:39	E sendo já dia, não reconheceram a terra; porém enxergaram uma enseada que tinha praia, e consultaram-se sobre se deveriam encalhar nela o navio.
Atos 27:40	E levantando as âncoras, deixaram-no ir ao mar, largando também as amarras do leme; e alçando a vela maior ao vento, dirigiram-se para a praia.
Atos 27:41	Dando, porém, num lugar de dois mares, encalharam ali o navio; e fixa a proa, ficou imóvel, porém a popa abria-se com a força das ondas.
Atos 27:42	Então o conselho dos soldados foi que matassem os presos, para que nenhum fugisse escapando a nado.
Atos 27:43	Porém o centurião, querendo salvar Paulo, lhes impediu esse intento; e mandou que os que pudessem nadar se lançassem primeiro ao mar, e se salvassem em terra;
Atos 27:44	E os demais, uns em tábuas, e outros, em coisas do navio. E assim aconteceu que todos se salvaram em terra.
Atos 28:1	E havendo escapado, então souberam que a ilha se chamava Malta.
Atos 28:2	E os bárbaros usaram conosco de não pouca humanidade; porque, acendendo um grande fogo, nos recolheram a todos por causa da chuva que sobrevinha, e por causa do frio.
Atos 28:3	E havendo Paulo ajuntado um feixe de gravetos, e pondo-os no fogo, uma víbora, fugindo do calor, lhe acometeu a mão.
Atos 28:4	E os bárbaros, vendo-lhe a víbora pendurada na mão, diziam uns aos outros: Certamente este homem é homicida, a quem, escapando do mar, a Justiça não deixa viver.
Atos 28:5	Porém, sacudindo ele a víbora no fogo, não padeceu nenhum mal.
Atos 28:6	E eles esperavam que viesse a inchar ou a cair morto de repente; porém, tendo esperado já muito, e vendo que nenhum mal lhe sobrevinha, mudando de parecer, diziam que era um deus.
Atos 28:7	E ali, próximo daquele mesmo lugar, havia umas herdades que pertenciam ao chefe da ilha, por nome Públio, o qual nos recebeu e hospedou benignamente por três dias.
Atos 28:8	E aconteceu que o pai de Públio estava de cama enfermo de febres e disenteria, ao qual Paulo foi ver; e havendo orado, pôs as mãos sobre ele, e o curou.
Atos 28:9	Feito, pois, isso, vieram também ter com ele os demais que na ilha tinham enfermidades, e sararam;
Atos 28:10	Os quais nos honraram também com muitas honras; e quando estávamos para partir, nos proveram das coisas necessárias.
Atos 28:11	E três meses depois partimos num navio de Alexandria que invernara na ilha, o qual tinha por insígnia Castor e Pólux.
Atos 28:12	E chegando a Siracusa, ficamos ali três dias.
Atos 28:13	De onde, costeando, chegamos a Régio; e um dia depois, soprando um vento do sul, chegamos no segundo dia a Putéoli,
Atos 28:14	Onde, achando alguns irmãos, nos rogaram que por sete dias ficássemos com eles; e assim fomos a Roma.
Atos 28:15	E de lá, ouvindo os irmãos notícias nossas, nos saíram ao encontro à praça de Ápio e às Três Vendas; e Paulo, vendo-os, deu graças a Deus, e tomou ânimo.
Atos 28:16	E logo que chegamos a Roma, o centurião entregou os presos ao general dos exércitos; porém a Paulo se lhe permitiu morar à parte, com o soldado que o guardava.
Atos 28:17	E aconteceu que, três dias depois, Paulo convocou os que eram principais dos judeus, e reunidos eles, lhes disse: Homens irmãos, não havendo eu feito nada contra o povo, ou contra os ritos paternos, vim todavia preso desde Jerusalém, entregue nas mãos dos romanos;
Atos 28:18	Os quais, havendo-me interrogado, queriam soltar-me, por não haver em mim crime algum de morte.
Atos 28:19	Porém, opondo-se os judeus, foi-me forçoso apelar para César, não tendo eu, contudo, nada de que acusar a minha nação.
Atos 28:20	Assim que por causa disso vos chamei, para vos ver e falar; porque pela esperança de Israel estou com esta cadeia.
Atos 28:21	Porém eles lhe disseram: Nós não recebemos acerca de ti carta alguma da Judeia, nem veio aqui qualquer dos irmãos que nos anunciasse ou falasse de ti mal algum.
Atos 28:22	Porém bem quiséramos ouvir de ti o que sentes; porque, quanto a esta seita, notório nos é que em toda a parte se fala contra ela.
Atos 28:23	E havendo-lhe eles assinalado um dia, muitos foram ter com ele à pousada, aos quais declarava e testificava o reino de Deus, e procurava persuadi-los à fé de Jesus, tanto pela lei de Moisés como pelos profetas, desde a manhã até o entardecer.
Atos 28:24	E alguns criam no que se dizia; porém outros não criam.
Atos 28:25	E como ficaram entre si discordes, se despediram, dizendo Paulo esta palavra: Bem falou o Espírito Santo a nossos pais pelo profeta Isaías,
Atos 28:26	Dizendo: Vai a este povo, e dize: De ouvido ouvireis, e de maneira nenhuma entendereis; e vendo, vereis, e de maneira nenhuma percebereis.
Atos 28:27	Porque o coração deste povo está endurecido, e com os ouvidos ouviram pesadamente, e fecharam os olhos, para que nunca com os olhos vejam, nem com os ouvidos ouçam, nem do coração entendam, e se convertam, e eu os cure.
Atos 28:28	Seja-vos, pois, notório que esta salvação de Deus é enviada aos gentios, e eles a ouvirão.
Atos 28:29	E havendo ele dito isso, partiram os judeus, tendo entre si grande contenda.
Atos 28:30	E Paulo ficou dois anos inteiros na sua própria habitação que alugara, e recebia todos quantos vinham vê-lo;
Atos 28:31	Pregando o reino de Deus, e ensinando com toda a ousadia as coisas pertencentes ao Senhor Jesus Cristo, sem impedimento algum.
Romanos 1:1	Paulo, servo de Jesus Cristo, chamado para apóstolo, separado para o evangelho de Deus,
Romanos 1:2	Que ele antes havia prometido pelos seus profetas nas santas escrituras,
Romanos 1:3	Acerca de seu Filho, que foi gerado da descendência de Davi segundo a carne,
Romanos 1:4	Declarado Filho de Deus em poder, segundo o Espírito de santidade, pela ressurreição dos mortos, Jesus Cristo, nosso Senhor,
Romanos 1:5	Pelo qual recebemos a graça e o apostolado, para a obediência da fé entre todas as nações por causa do seu nome,
Romanos 1:6	Entre as quais sois também vós, chamados para serdes de Jesus Cristo.
Romanos 1:7	A todos os que estais em Roma, amados de Deus, chamados santos: Graça e paz de Deus, nosso Pai, e do Senhor Jesus Cristo.
Romanos 1:8	Primeiramente dou graças ao meu Deus por Jesus Cristo, acerca de vós todos, porque em todo o mundo é anunciada a vossa fé.
Romanos 1:9	Porque Deus, a quem sirvo em meu espírito no evangelho de seu Filho, me é testemunha de como incessantemente faço menção de vós,
Romanos 1:10	Rogando sempre em minhas orações que, nalgum tempo, pela vontade de Deus, se me ofereça boa ocasião de ir ter convosco.
Romanos 1:11	Porque desejo ver-vos, para vos comunicar algum dom espiritual, a fim de que sejais confortados;
Romanos 1:12	Isto é, para que juntamente convosco eu seja consolado pela fé mútua, tanto vossa como minha.
Romanos 1:13	Porém, irmãos, não quero que ignoreis que muitas vezes propus ir ter convosco (mas até agora tenho sido impedido) para também ter entre vós algum fruto, como também entre os demais gentios.
Romanos 1:14	Eu sou devedor, tanto a gregos como a bárbaros, tanto a sábios como a ignorantes.
Romanos 1:15	Assim que, quanto a mim, estou pronto para também vos anunciar o evangelho, a vós que estais em Roma.
Romanos 1:16	Porque não me envergonho do evangelho de Cristo, pois é o poder de Deus para salvação a todo aquele que crê; primeiro ao judeu, e também ao grego.
Romanos 1:17	Porque nele se revela a justiça de Deus de fé em fé, como está escrito: Mas o justo viverá da fé.
Romanos 1:18	Porque do céu se manifesta a ira de Deus sobre toda a impiedade e injustiça dos homens, que detêm a verdade em injustiça.
Romanos 1:19	Porquanto o que de Deus se pode conhecer neles está manifesto, porque Deus lhes manifestou.
Romanos 1:20	Porque as suas coisas invisíveis, desde a criação do mundo, tanto o seu eterno poder, como a sua divindade, se entendem, e claramente se veem pelas coisas que estão criadas, para que eles fiquem inescusáveis;
Romanos 1:21	Porquanto, tendo conhecido a Deus, não o glorificaram como Deus, nem lhe deram graças; antes, em seus discursos se desvaneceram, e o seu coração insensato se obscureceu.
Romanos 1:22	Dizendo-se sábios, tornaram-se loucos.
Romanos 1:23	E mudaram a glória do Deus incorruptível em semelhança de imagem de homem corruptível, e de aves, e de quadrúpedes, e de répteis.
Romanos 1:24	Pelo que também Deus os entregou às concupiscências de seus corações, à imundície, para desonrarem seus corpos entre si;
Romanos 1:25	Pois mudaram a verdade de Deus em mentira, e honraram e serviram mais a criatura do que o Criador, que é bendito eternamente. Amém.
Romanos 1:26	Pelo que Deus os abandonou às paixões infames. Porque até as suas mulheres mudaram o uso natural, no contrário à natureza.
Romanos 1:27	E semelhantemente, também os homens, deixando o uso natural da mulher, se inflamaram em sua sensualidade uns para com os outros, homem com homem, cometendo torpeza e recebendo em si mesmos a recompensa que convinha ao seu erro.
Romanos 1:28	E como eles não se importaram de reconhecer a Deus, assim Deus os entregou a um sentimento perverso, para fazerem coisas que não convêm;
Romanos 1:29	Estando cheios de toda iniquidade, fornicação, malícia, avareza, maldade; cheios de inveja, homicídio, contenda, engano, malignidade;
Romanos 1:30	Murmuradores, detratores, inimigos de Deus, injuriadores, soberbos, presunçosos, inventores de males, desobedientes aos pais e às mães;
Romanos 1:31	Néscios, infiéis nos convênios, sem afeição natural, irreconciliáveis, sem misericórdia;
Romanos 1:32	Os quais, conhecendo a sentença de Deus (de que são dignos de morte os que praticam tais coisas), não somente as fazem, mas também aprovam os que as fazem.
Romanos 2:1	Portanto, és inescusável quando julgas, ó homem, quem quer que sejas, porque te condenas a ti mesmo naquilo em que julgas o outro; pois tu, que julgas, fazes as mesmas coisas.
Romanos 2:2	E bem sabemos que o juízo de Deus é segundo a verdade sobre os que tais coisas fazem.
Romanos 2:3	E tu, ó homem, que julgas os que fazem tais coisas, supões que, fazendo-as tu, escaparás ao juízo de Deus?
Romanos 2:4	Ou desprezas tu as riquezas da sua benignidade, e paciência, e longanimidade, ignorando que a benignidade de Deus te leva ao arrependimento?
Romanos 2:5	Mas, segundo a tua dureza e teu coração impenitente, entesouras ira para o dia da ira e da manifestação do juízo de Deus;
Romanos 2:6	O qual recompensará cada um segundo as suas obras;
Romanos 2:7	A saber: a vida eterna aos que, com perseverança em fazer o bem, procuram glória, e honra e incorrupção;
Romanos 2:8	Mas a indignação e a ira, aos que são contenciosos, e desobedientes à verdade e obedientes à injustiça.
Romanos 2:9	Tribulação e angústia, sobre a alma de todo homem que pratica o mal, primeiramente do judeu e também do grego;
Romanos 2:10	Glória, porém, e honra e paz, a qualquer que pratica o bem, primeiramente ao judeu e também ao grego;
Romanos 2:11	Porque, para com Deus, não há acepção de pessoas.
Romanos 2:12	Porque todos os que sem lei pecaram sem lei também perecerão; e todos os que sob a lei pecaram pela lei serão julgados.
Romanos 2:13	Porque os que ouvem a lei não são justos diante de Deus, mas os que praticam a lei hão de ser justificados.
Romanos 2:14	Porque, quando os gentios, que não têm lei, fazem naturalmente as coisas que são da lei, não tendo estes lei, para si mesmos são lei;
Romanos 2:15	Os quais mostram a obra da lei escrita em seu coração, testificando juntamente a sua consciência, e seus pensamentos, ora acusando-se, ora defendendo-se;
Romanos 2:16	No dia em que Deus há de julgar os segredos dos homens, por Jesus Cristo, segundo o meu evangelho.
Romanos 2:17	Eis que tu que tens por sobrenome judeu, e repousas na lei, e te glorias em Deus;
Romanos 2:18	E sabes a sua vontade e aprovas as coisas excelentes, sendo instruído na lei;
Romanos 2:19	E confias que és guia dos cegos, luz dos que estão em trevas,
Romanos 2:20	Mestre dos néscios, mestre de crianças, que tens a forma da ciência e da verdade na lei;
Romanos 2:21	Tu, pois, que ensinas a outro, não te ensinas a ti mesmo? Tu, que pregas que não se deve furtar, furtas?
Romanos 2:22	Tu, que dizes que não se deve adulterar, adulteras? Tu, que abominas os ídolos, cometes sacrilégio?
Romanos 2:23	Tu, que te glorias na lei, desonras a Deus pela transgressão da lei?
Romanos 2:24	Porque, como está escrito, o nome de Deus é blasfemado entre os gentios por causa de vós.
Romanos 2:25	Porque a circuncisão é, na verdade, proveitosa, se tu guardares a lei; porém, se tu és transgressor da lei, a tua circuncisão se torna em incircuncisão.
Romanos 2:26	Pois, se a incircuncisão guarda os preceitos da lei, porventura a sua incircuncisão não será reputada como circuncisão?
Romanos 2:27	E a incircuncisão que por natureza o é, se cumpre a lei, não te julgará porventura a ti, que pela letra e circuncisão és transgressor da lei?
Romanos 2:28	Porque não é judeu o que o é exteriormente, nem é circuncisão a que o é exteriormente na carne.
Romanos 2:29	Mas é judeu o que o é no interior, e circuncisão é a do coração, no espírito, não na letra; cujo louvor não provém dos homens, mas de Deus.
Romanos 3:1	Qual é, pois, a vantagem do judeu? Ou qual a utilidade da circuncisão?
Romanos 3:2	Muita, em todos os aspectos, porque, quanto ao primeiro, as palavras de Deus lhe foram confiadas.
Romanos 3:3	E se alguns foram incrédulos, a sua incredulidade aniquilará a fidelidade de Deus?
Romanos 3:4	De maneira nenhuma; antes seja Deus verdadeiro, e todo homem, mentiroso; como está escrito: Para que sejas justificado em tuas palavras, e venças quando fores julgado.
Romanos 3:5	E se a nossa injustiça recomendar a justiça de Deus, que diremos? Porventura será Deus injusto, trazendo ira sobre nós? (Falo como homem)
Romanos 3:6	De maneira nenhuma; de outro modo, como julgará Deus o mundo?
Romanos 3:7	Porque, se pela minha mentira abundou mais a verdade de Deus para glória sua, por que sou ainda julgado também como pecador?
Romanos 3:8	E por que não dizemos (como somos caluniados, e como alguns afirmam que dizemos): Façamos males, para que venham bens? A condenação desses é justa.
Romanos 3:9	E então? Somos nós mais excelentes? De maneira nenhuma, pois já dantes demonstramos que, tanto judeus como gregos, todos estão debaixo do pecado;
Romanos 3:10	Como está escrito: Não há justo, nem sequer um;
Romanos 3:11	Não há ninguém que entenda; não há ninguém que busque a Deus.
Romanos 3:12	Todos se extraviaram, e juntamente se fizeram inúteis. Não há quem faça o bem, não há nem um só.
Romanos 3:13	A sua garganta é um sepulcro aberto; com a sua língua tratam enganosamente; peçonha de áspides está debaixo de seus lábios;
Romanos 3:14	Cuja boca está cheia de maldição e amargura;
Romanos 3:15	Os seus pés são ligeiros para derramar sangue;
Romanos 3:16	Em seus caminhos há destruição e miséria;
Romanos 3:17	E não conheceram o caminho da paz;
Romanos 3:18	Não há temor de Deus diante de seus olhos.
Romanos 3:19	Ora, nós sabemos que tudo o que a lei diz aos que estão debaixo da lei o diz, para que toda boca se feche e todo o mundo seja condenável diante de Deus.
Romanos 3:20	Por isso pelas obras da lei nenhuma carne será justificada diante dele, porque pela lei vem o conhecimento do pecado.
Romanos 3:21	Mas agora se manifestou sem a lei a justiça de Deus, tendo o testemunho da lei e dos profetas;
Romanos 3:22	Isto é, a justiça de Deus pela fé em Jesus Cristo para todos e sobre todos os que creem; porque não há diferença.
Romanos 3:23	Porque todos pecaram e destituídos estão da glória de Deus;
Romanos 3:24	Sendo justificados gratuitamente pela sua graça, pela redenção que há em Cristo Jesus;
Romanos 3:25	Ao qual Deus propôs para propiciação pela fé no seu sangue, para demonstração da sua justiça, pela remissão dos pecados dantes cometidos, sob a paciência de Deus;
Romanos 3:26	Para demonstração da sua justiça neste tempo presente, para que ele seja justo e justificador daquele que tem fé em Jesus.
Romanos 3:27	Onde está, pois, a jactância? É excluída. Por qual lei? Das obras? Não; mas pela lei da fé.
Romanos 3:28	Concluímos, pois, que o homem é justificado pela fé sem as obras da lei.
Romanos 3:29	Deus é porventura somente dos judeus? E não o é também dos gentios? Também dos gentios, certamente.
Romanos 3:30	Porque há um só Deus que justificará pela fé a circuncisão, e pela fé a incircuncisão.
Romanos 3:31	Anulamos, pois, a lei pela fé? De maneira nenhuma; antes, estabelecemos a lei.
Romanos 4:1	Que diremos, pois, ter alcançado Abraão, nosso pai segundo a carne?
Romanos 4:2	Porque, se Abraão foi justificado pelas obras, ele tem de que se gloriar, mas não diante de Deus.
Romanos 4:3	Pois, o que diz a escritura? Creu Abraão em Deus, e isso lhe foi imputado como justiça.
Romanos 4:4	Ora, àquele que faz qualquer obra o galardão não lhe é imputado segundo a graça, mas segundo a dívida.
Romanos 4:5	Porém àquele que não faz nenhuma obra, mas crê naquele que justifica o ímpio, a sua fé lhe é imputada como justiça.
