Gênesis 1:1	No princípio, Deus criou os céus e a terra.
Salmos 16:10	Pois não deixarás a minha alma no inferno, nem permitirás que o teu Santo veja corrupção.
Salmos 16:11	Far-me-ás ver a vereda da vida; na tua presença há fartura de alegrias; à tua mão direita há delícias perpetuamente.
Salmos 17:1	Ouve, Senhor, a justiça, atende ao meu clamor; dá ouvidos à minha oração, que não é feita com lábios enganosos.
Salmos 17:2	Venha o meu juízo de diante do teu rosto; os teus olhos vejam a retidão.
Salmos 17:3	Puseste à prova o meu coração; visitaste-me de noite; examinaste-me, e nada achaste; propus que a minha boca não transgredirá.
Salmos 17:4	Quanto ao trato dos homens, pela palavra dos teus lábios me guardei das veredas do destruidor.
Salmos 17:5	Dirige os meus passos nos teus caminhos, para que os meus pés não vacilem.
Salmos 17:6	Eu te invoquei, ó Deus, pois me queres ouvir; inclina para mim os teus ouvidos, e escuta as minhas palavras.
Salmos 17:7	Faze maravilhosas as tuas benevolências, ó tu que livras aqueles que em ti confiam dos que se levantam contra a tua mão direita.
Salmos 17:8	Guarda-me como à menina do olho, esconde-me debaixo da sombra das tuas asas,
Salmos 17:9	Dos ímpios que me oprimem, dos meus inimigos mortais que me cercam.
Salmos 17:10	Na sua gordura se encerram, com a boca falam soberbamente.
Salmos 17:11	Eles nos têm cercado agora nossos passos, e abaixaram os seus olhos para a terra;
Salmos 17:12	Parecem-se com o leão que deseja arrebatar a sua presa, e com o leãozinho que se põe em esconderijos.
Salmos 17:13	Levanta-te, Senhor, detém-no, derruba-o, livra a minha alma do ímpio com a tua espada,
Salmos 17:14	Dos homens com a tua mão, Senhor, dos homens do mundo, cuja porção está nesta vida, e cujo ventre enches do teu tesouro oculto; estão fartos de filhos e dão os seus sobejos às suas crianças.
Salmos 17:15	Quanto a mim, contemplarei a tua face na justiça; satisfazer-me-ei da tua semelhança quando acordar.
Salmos 18:1	Eu te amarei com todo o coração, ó Senhor, fortaleza minha.
Salmos 18:2	O Senhor é o meu rochedo, e o meu lugar forte, e o meu libertador; o meu Deus, a minha fortaleza, em quem confio, o meu escudo, a força da minha salvação, e o meu alto refúgio.
Salmos 18:3	Invocarei o nome do Senhor, que é digno de louvor, e ficarei livre dos meus inimigos.
Salmos 18:4	Tristezas de morte me cercaram, e torrentes de impiedade me assombraram.
Salmos 18:5	Tristezas do inferno me cingiram, laços de morte me surpreenderam.
Salmos 18:6	Na angústia invoquei ao Senhor, e clamei ao meu Deus; desde o seu templo ouviu a minha voz, aos seus ouvidos chegou o meu clamor perante a sua face.
Salmos 18:7	Então a terra se abalou e tremeu; e os fundamentos dos montes também se moveram e se abalaram, porquanto ele se indignou.
Salmos 18:8	Das suas narinas subiu fumaça, e da sua boca saiu fogo que consumia; carvões se acenderam dele.
Salmos 18:9	Abaixou os céus, e desceu, e a escuridão estava debaixo de seus pés.
Salmos 18:10	E montou num querubim, e voou; sim, voou sobre as asas do vento.
Salmos 18:11	Fez das trevas o seu lugar oculto; o pavilhão que o cercava era a escuridão das águas e as nuvens dos céus.
Salmos 18:12	Ao resplendor da sua presença as nuvens se espalharam; a saraiva e as brasas de fogo.
Salmos 18:13	E o Senhor trovejou nos céus, o Altíssimo levantou a sua voz; a saraiva e as brasas de fogo.
Salmos 18:14	Enviou as suas setas, e os espalhou; multiplicou raios, e os perturbou.
Salmos 18:15	Então foram vistas as profundezas das águas, e foram descobertos os fundamentos do mundo, pela tua repreensão, Senhor, ao sopro do vento das tuas narinas.
Salmos 18:16	Estendeu a mão desde o alto, e me tomou; tirou-me das muitas águas.
Salmos 18:17	Livrou-me do meu inimigo forte e dos que me odiavam, pois eram mais poderosos do que eu.
Salmos 18:18	Surpreenderam-me no dia da minha calamidade, mas o Senhor foi o meu amparo.
Salmos 18:19	Trouxe-me para um lugar espaçoso; livrou-me, porque tinha prazer em mim.
Salmos 18:20	Recompensou-me o Senhor conforme a minha justiça, retribuiu-me conforme a pureza das minhas mãos.
Salmos 18:21	Porque guardei os caminhos do Senhor, e não me apartei impiamente do meu Deus.
Salmos 18:22	Porque todos os seus juízos estavam diante de mim, e não rejeitei os seus estatutos.
Salmos 18:23	Também fui íntegro perante ele, e me guardei da minha iniquidade.
Salmos 18:24	Portanto, retribuiu-me o Senhor conforme a minha justiça, conforme a pureza de minhas mãos perante os seus olhos.
Salmos 18:25	Com o benigno te mostrarás benigno, e com o homem íntegro te mostrarás íntegro;
Salmos 18:26	Com o puro te mostrarás puro, e com o perverso te mostrarás indomável.
Salmos 18:27	Porque tu livrarás o povo aflito, e abaterás os olhos altivos.
Salmos 18:28	Porque tu acenderás a minha candeia; o Senhor meu Deus alumiará as minhas trevas.
Salmos 18:29	Porque contigo entrei pelo meio de um esquadrão, com o meu Deus saltei uma muralha.
Salmos 18:30	O caminho de Deus é perfeito; a palavra do Senhor é provada; é um escudo para todos os que nele confiam.
Salmos 18:31	Porque quem é Deus senão o Senhor? E quem é rochedo senão o nosso Deus?
Salmos 18:32	Deus é o que me cinge de força e aperfeiçoa o meu caminho.
Salmos 18:33	Faz os meus pés como os das cervas e põe-me nas minhas alturas.
Salmos 18:34	Ensina as minhas mãos para a guerra, de sorte que os meus braços quebraram um arco de bronze.
Salmos 18:35	Também me deste o escudo da tua salvação; a tua mão direita me susteve, e a tua mansidão me engrandeceu.
Salmos 18:36	Alargaste os meus passos debaixo de mim, de maneira que os meus artelhos não vacilaram.
Salmos 18:37	Persegui os meus inimigos, e os alcancei; não voltei senão depois de ter acabado com eles.
Salmos 18:38	Atravessei-os, de sorte que não se puderam levantar; caíram debaixo dos meus pés.
Salmos 18:39	Pois me cingiste de força para a peleja; fizeste abater debaixo de mim aqueles que contra mim se levantaram.
Salmos 18:40	Deste-me também o pescoço dos meus inimigos, para que eu pudesse destruir os que me odeiam.
Salmos 18:41	Clamaram, mas não houve quem os livrasse; até ao Senhor, mas ele não lhes respondeu.
Salmos 18:42	Então os esmiucei como o pó diante do vento; deitei-os fora como a lama das ruas.
Salmos 18:43	Livraste-me das contendas do povo, e me fizeste cabeça das nações; um povo que não conheci me servirá.
Salmos 18:44	Ouvindo a minha voz, me obedecerão; os estranhos se submeterão a mim.
Salmos 18:45	Os estranhos decairão, e terão medo nos seus esconderijos.
Salmos 18:46	O Senhor vive, e bendito seja o meu rochedo, e exaltado seja o Deus da minha salvação.
Salmos 18:47	É Deus que me vinga inteiramente, e sujeita os povos debaixo de mim,
Salmos 18:48	O que me livra de meus inimigos; sim, tu me exaltas sobre os que se levantam contra mim, tu me livras do homem violento.
Salmos 18:49	Pelo que, ó Senhor, te louvarei entre as nações, e cantarei louvores ao teu nome,
Salmos 18:50	Pois engrandece a salvação do seu rei, e usa de benignidade com o seu ungido, com Davi, e com a sua semente para sempre.
Salmos 19:1	Os céus proclamam a glória de Deus, e o firmamento anuncia a obra das suas mãos.
Salmos 19:2	Um dia faz declaração a outro dia, e uma noite mostra sabedoria a outra noite.
Salmos 19:3	Não há linguagem nem fala onde não se ouçam as suas vozes.
Salmos 19:4	A sua linha se estende por toda a terra, e as suas palavras, até o fim do mundo. Neles pôs uma tenda para o sol,
Salmos 19:5	O qual é como um noivo que sai dos seus aposentos, e se alegra como um herói, a correr o seu caminho.
Salmos 19:6	A sua saída é desde uma extremidade dos céus, e o seu curso até as outras extremidades deles, e nada se esconde ao seu calor.
Salmos 19:7	A lei do Senhor é perfeita, e refrigera a alma; o testemunho do Senhor é fiel, e dá sabedoria aos simples.
Salmos 19:8	Os preceitos do Senhor são retos e alegram o coração; o mandamento do Senhor é puro, e alumia os olhos.
Salmos 19:9	O temor do Senhor é limpo, e permanence eternamente; os juízos do Senhor são verdadeiros e todos igualmente justos.
Salmos 19:10	Mais desejáveis são do que o ouro, sim, do que muito ouro fino, e mais doces do que o mel e o destilar dos favos.
Salmos 19:11	Também por eles é admoestado o teu servo; e em os guardar há grande recompensa.
Salmos 19:12	Quem pode entender os seus erros? Purifica-me tu dos que me são ocultos.
Salmos 19:13	Também da soberba guarda o teu servo, para que não se assenhoreiem de mim; então serei íntegro, e ficarei limpo de grande transgressão.
Salmos 19:14	Sejam agradáveis as palavras da minha boca e a meditação do meu coração perante a tua face, Senhor, Rocha minha e Redentor meu!
Salmos 20:1	O Senhor te ouça no dia da angústia; o nome do Deus de Jacó te proteja.
Salmos 20:2	Envie-te socorro desde o seu santuário, e te sustenha desde Sião.
Salmos 20:3	Lembre-se de todas as tuas ofertas, e aceite os teus holocaustos. (Selá.)
Salmos 20:4	Conceda-te conforme o teu coração, e cumpra todo o teu conselho.
Salmos 20:5	Nós nos alegraremos pela tua salvação, e em nome do nosso Deus levantaremos pendões; cumpra o Senhor todas as tuas petições.
Salmos 20:6	Agora sei que o Senhor salva o seu ungido; ele o ouvirá desde o seu santo céu, com a força salvadora da sua mão direita.
Salmos 20:7	Uns confiam em carros, e outros, em cavalos, mas nós faremos menção do nome do Senhor nosso Deus.
Salmos 20:8	Uns encurvam-se e caem, mas nós nos levantamos e estamos de pé.
Salmos 20:9	Salva-nos, Senhor, ouça-nos o Rei quando clamarmos.
Salmos 21:1	O rei se alegra em tua força, ó Senhor, e na tua salvação grandemente se regozija!
Salmos 21:2	Cumpriste-lhe o desejo do seu coração, e não negaste as súplicas dos seus lábios. (Selá.)
Salmos 21:3	Pois vais ao seu encontro com bênçãos de bondade; pões na sua cabeça uma coroa de ouro fino.
Salmos 21:4	Vida te pediu, e lha deste, sim, longos dias para sempre e eternamente.
Salmos 21:5	Grande é a sua glória pela tua salvação; glória e majestade puseste sobre ele.
Salmos 21:6	Pois o abençoaste para sempre; tu o enches de alegria com a tua face.
Salmos 21:7	Porque o rei confia no Senhor, e pela misericórdia do Altíssimo nunca vacilará.
Salmos 21:8	A tua mão alcançará todos os teus inimigos, a tua mão direita alcançará aqueles que te odeiam.
Salmos 21:9	Tu os farás como uma fornalha de fogo ardente no tempo da tua ira; o Senhor os devorará na sua indignação, e o fogo os consumirá.
Salmos 21:10	Seu fruto destruirás da terra, e a sua semente, dentre os filhos dos homens.
Salmos 21:11	Porque intentaram o mal contra ti; maquinaram um ardil, mas não prevalecerão.
Salmos 21:12	Portanto, tu lhes farás voltar as costas, e com tuas flechas postas nas cordas lhes apontarás ao rosto.
Salmos 21:13	Exalta-te, Senhor, na tua força; então cantaremos e louvaremos o teu poder.
Salmos 22:1	Deus meu, Deus meu, por que me desamparaste? Por que te afastas do meu auxílio e das palavras do meu bramido?
Salmos 22:2	Deus meu, eu clamo de dia, e tu não me ouves; de noite, e não tenho sossego.
Salmos 22:3	Porém tu és Santo, tu que habitas entre os louvores de Israel.
Salmos 22:4	Em ti confiaram nossos pais; confiaram, e tu os livraste.
Salmos 22:5	A ti clamaram, e escaparam; em ti confiaram, e não foram envergonhados.
Salmos 22:6	Mas eu sou verme, e não homem, opróbrio dos homens e desprezado do povo.
Salmos 22:7	Todos os que veem zombam de mim, arreganham os lábios e meneiam a cabeça, dizendo:
Salmos 22:8	Confiou no Senhor, que o livre; livre-o, pois nele tem prazer.
Salmos 22:9	Mas tu és o que me tiraste do ventre; fizeste-me confiar, estando aos seios de minha mãe.
Salmos 22:10	Sobre ti fui lançado desde a madre; tu és o meu Deus desde o ventre de minha mãe.
Salmos 22:11	Não te afastes de mim, pois a angústia está perto, e não há quem ajude.
Salmos 22:12	Muitos touros me cercaram; fortes touros de Basã me rodearam.
Salmos 22:13	Abriram contra mim a sua boca, como um leão que despedaça e que ruge.
Salmos 22:14	Como água me derramei, e todos os meus ossos se desconjuntaram; o meu coração é como cera, derreteu-se no meio das minhas entranhas.
Salmos 22:15	A minha força se secou como um caco, e a língua se me pega ao palato, e me puseste no pó da morte.
Salmos 22:16	Pois me rodearam cães; a congregação de malfeitores me cercou; transpassaram-me as mãos e os pés.
Salmos 22:17	Poderia contar todos os meus ossos; eles veem e me contemplam.
Salmos 22:18	Repartem entre si as minhas vestes, e lançam sortes sobre a minha túnica.
Salmos 22:19	Mas tu, Senhor, não te afastes de mim; força minha, apressa-te em socorrer-me.
Salmos 22:20	Livra a minha alma da espada, e a minha vida, da força do cão.
Salmos 22:21	Salva-me da boca do leão, sim, ouviste-me, desde os chifres dos touros selvagens.
Salmos 22:22	Então declararei o teu nome aos meus irmãos; louvar-te-ei no meio da congregação.
Salmos 22:23	Vós, que temeis ao Senhor, louvai-o; todos vós, semente de Jacó, glorificai-o; e temei-o todos vós, semente de Israel.
Salmos 22:24	Porque não desprezou nem abominou a aflição do aflito, nem escondeu dele o seu rosto; antes, quando ele clamou, o ouviu.
Salmos 22:25	O meu louvor virá de ti na grande congregação; pagarei os meus votos perante os que o temem.
Salmos 22:26	Os mansos comerão e se fartarão; louvarão ao Senhor os que o buscam; o vosso coração viverá eternamente.
Salmos 22:27	Todos os limites da terra se lembrarão, e se converterão ao Senhor, e todas as gerações das nações adorarão perante a tua face.
Salmos 22:28	Porque o reino é do Senhor, e ele domina entre as nações.
Salmos 22:29	Todos os que na terra são prósperos comerão e adorarão, e todos os que descem ao pó se prostrarão perante ele, e ninguém poderá reter viva a sua alma.
Salmos 22:30	Uma semente o servirá; será contada ao Senhor de geração em geração.
Salmos 22:31	Chegarão e anunciarão a sua justiça ao povo que nascer, porquanto ele o fez.
Salmos 23:1	O Senhor é o meu pastor, nada me faltará.
Salmos 23:2	Deitar-me faz em verdes pastos; guia-me mansamente a águas tranquilas.
Salmos 23:3	Refrigera a minha alma; guia-me pelas veredas da justiça, por causa do seu nome.
Salmos 23:4	Ainda que eu andasse pelo vale da sombra da morte, não temeria mal algum, porque tu estás comigo; a tua vara e o teu cajado me consolam.
Salmos 23:5	Preparas uma mesa perante mim na presença dos meus inimigos; unges a minha cabeça com óleo; o meu cálice transborda.
Salmos 23:6	Certamente que a bondade e a misericórdia me seguirão todos os dias da minha vida, e habitarei na casa do Senhor para sempre.
Salmos 24:1	Do Senhor é a terra e a sua plenitude, o mundo e aqueles que nele habitam.
Salmos 24:2	Porque ele a fundou sobre os mares, e a firmou sobre os rios.
Salmos 24:3	Quem subirá ao monte do Senhor, ou quem estará no seu lugar santo?
Salmos 24:4	Aquele que é limpo de mãos e puro de coração, que não entrega a sua alma à vaidade, nem jura enganosamente.
Salmos 24:5	Este receberá a bênção do Senhor e a justiça do Deus da sua salvação.
Salmos 24:6	Esta é a geração daqueles que buscam, daqueles que buscam a tua face, ó Deus de Jacó. (Selá.)
Salmos 24:7	Levantai, ó portas, a vossa cabeça; levantai-vos, ó entradas eternas, e entrará o Rei da Glória.
Salmos 24:8	Quem é este Rei da Glória? O Senhor forte e poderoso, o Senhor poderoso na guerra.
Salmos 24:9	Levantai, ó portas, a vossa cabeça, levantai-vos, ó entradas eternas, e entrará o Rei da Glória.
Salmos 24:10	Quem é este Rei da Glória? O Senhor dos Exércitos, ele é o Rei da Glória. (Selá.)
Salmos 25:1	A ti, Senhor, elevo a minha alma.
Salmos 25:2	Deus meu, em ti confio, não seja eu envergonhado, nem exultem sobre mim os meus inimigos.
Salmos 25:3	Como, na verdade, não serão envergonhados os que esperam em ti; envergonhados serão os que procedem traiçoeiramente sem causa.
Salmos 25:4	Faz-me saber os teus caminhos, Senhor; ensina-me as tuas veredas.
Salmos 25:5	Guia-me na tua verdade, e ensina-me, pois tu és o Deus da minha salvação; em ti espero todo o dia.
Salmos 25:6	Lembra-te, Senhor, das tuas misericórdias e das tuas benignidades, porque são desde a eternidade.
Salmos 25:7	Não te lembres dos pecados da minha mocidade, nem das minhas transgressões, mas segundo a tua misericórdia, lembra-te de mim, por tua bondade, ó Senhor.
Salmos 25:8	Bom e reto é o Senhor, pelo que ensinará o caminho aos pecadores.
Salmos 25:9	Guiará os mansos em justiça, e aos mansos ensinará o seu caminho.
Salmos 25:10	Todas as veredas do Senhor são misericórdia e verdade para aqueles que guardam o seu convênio e os seus testemunhos.
Salmos 25:11	Por causa do teu nome, Senhor, perdoa a minha iniquidade, pois é grande.
Salmos 25:12	Qual é o homem que teme ao Senhor? Ele o ensinará no caminho que deve escolher.
Salmos 25:13	A sua alma repousará no bem, e a sua semente herdará a terra.
Salmos 25:14	O segredo do Senhor é para aqueles que o temem, e ele lhes mostrará o seu convênio.
Salmos 25:15	Os meus olhos estão continuamente no Senhor, pois ele tirará os meus pés da rede.
Salmos 25:16	Olha para mim, e tem piedade de mim, porque estou solitário e aflito.
Salmos 25:17	As angústias do meu coração se multiplicaram; tira-me dos meus apertos.
Salmos 25:18	Olha para a minha aflição e para a minha dor, e perdoa todos os meus pecados.
Salmos 25:19	Olha para os meus inimigos, pois se vão multiplicando e me odeiam com ódio cruel.
Salmos 25:20	Guarda a minha alma, e livra-me; não seja eu envergonhado, porquanto confio em ti.
Salmos 25:21	Guardem-me a integridade e a retidão, porquanto espero em ti.
Salmos 25:22	Redime Israel, ó Deus, de todas as suas angústias.
Salmos 26:1	Julga-me, Senhor, pois tenho andado em minha integridade; tenho confiado também no Senhor; não vacilarei.
Salmos 26:2	Examina-me, Senhor, e põe-me à prova; esquadrinha a minha mente e o meu coração.
Salmos 26:3	Porque a tua benignidade está diante dos meus olhos; e tenho andado na tua verdade.
Salmos 26:4	Não me tenho assentado com homens vãos, nem converso com os homens dissimulados.
Salmos 26:5	Odeio a congregação de malfeitores, e não me ajunto com os ímpios.
Salmos 26:6	Lavo as minhas mãos na inocência, e assim andarei, Senhor, ao redor do teu altar,
Salmos 26:7	Para publicar com voz de louvor, e contar todas as tuas maravilhas.
Salmos 26:8	Senhor, eu amo a habitação da tua casa e o lugar onde permanece a tua glória.
Salmos 26:9	Não apanhes a minha alma com os pecadores, nem a minha vida com os homens sanguinários,
Salmos 26:10	Em cujas mãos há malefício, e cuja mão direita está cheia de subornos.
Salmos 26:11	Mas eu ando na minha integridade; resgata-me e tem piedade de mim.
Salmos 26:12	O meu pé está posto em caminho plano; nas congregações louvarei ao Senhor.
Salmos 27:1	O Senhor é a minha luz e a minha salvação; a quem temerei? O Senhor é a força da minha vida; de quem me recearei?
Salmos 27:2	Quando os malvados, meus adversários e meus inimigos, se chegaram contra mim, para comerem as minhas carnes, tropeçaram e caíram.
Salmos 27:3	Ainda que um exército me cercasse, o meu coração não temeria; ainda que a guerra se levantasse contra mim, nisso confiarei.
Salmos 27:4	Uma coisa pedi ao Senhor, e a buscarei: que possa morar na casa do Senhor todos os dias da minha vida, para contemplar a formosura do Senhor, e inquirir no seu templo.
Salmos 27:5	Porque no dia da adversidade me esconderá no seu pavilhão; no recôndito do seu tabernáculo me esconderá; pôr-me-á sobre uma rocha.
Salmos 27:6	Também agora a minha cabeça será exaltada sobre os meus inimigos que estão em redor de mim; portanto, oferecerei sacrifício de júbilo no seu tabernáculo; cantarei, sim, cantarei louvores ao Senhor.
Salmos 27:7	Ouve, Senhor, a minha voz quando clamo; tem também piedade de mim, e responde-me.
Salmos 27:8	Quando tu disseste: Buscai o meu rosto; o meu coração disse a ti: O teu rosto, Senhor, buscarei.
Salmos 27:9	Não escondas de mim a tua face, não rejeites o teu servo com ira; tu foste a minha ajuda, não me deixes nem me desampares, ó Deus da minha salvação.
Salmos 27:10	Porque, quando meu pai e minha mãe me desampararem, o Senhor me recolherá.
Salmos 27:11	Ensina-me, Senhor, o teu caminho, e guia-me pela vereda reta, por causa dos meus inimigos.
Salmos 27:12	Não me entregues à vontade dos meus adversários; pois se levantaram contra mim falsas testemunhas, e os que respiram crueldade.
Salmos 27:13	Pereceria eu, sem dúvida, se não cresse que veria a bondade do Senhor na terra dos viventes.
Salmos 27:14	Espera no Senhor, sê corajoso, e ele fortalecerá o teu coração; espera, pois, no Senhor.
Salmos 28:1	A ti clamarei, ó Senhor, Rocha minha; não emudeças para comigo; não seja que, se te calares para comigo, fique eu semelhante aos que descem ao abismo.
Salmos 28:2	Ouve a voz das minhas súplicas, quando a ti clamar, quando levantar as minhas mãos para o teu santo oráculo.
Salmos 28:3	Não me arremesses com os ímpios e com os que praticam a iniquidade, que falam de paz ao seu próximo, mas têm o mal no seu coração.
Salmos 28:4	Dá-lhes segundo as suas obras e segundo a maldade dos seus atos; dá-lhes conforme a obra das suas mãos; retribui-lhes a sua recompensa.
Salmos 28:5	Porquanto não atentam para as obras do Senhor, nem para a obra das suas mãos, pelo que ele os derrubará e não os reedificará.
Salmos 28:6	Bendito seja o Senhor, porque ouviu a voz das minhas súplicas.
Salmos 28:7	O Senhor é a minha força e o meu escudo; nele confiou o meu coração, e fui socorrido, pelo que o meu coração salta de prazer, e com o meu canto o louvarei.
Salmos 28:8	O Senhor é a força do seu povo; também é a força salvadora do seu ungido.
Salmos 28:9	Salva o teu povo, e abençoa a tua herança; e apascenta-os, e exalta-os para sempre.
Salmos 29:1	Dai ao Senhor, ó filhos dos poderosos, dai ao Senhor glória e força.
Salmos 29:2	Dai ao Senhor a glória devida ao seu nome; adorai ao Senhor na beleza da santidade.
Salmos 29:3	A voz do Senhor se ouve sobre as suas águas; o Deus da glória troveja; o Senhor está sobre as muitas águas.
Salmos 29:4	A voz do Senhor é poderosa; a voz do Senhor é cheia de majestade.
Salmos 29:5	A voz do Senhor quebra os cedros; sim, o Senhor quebra os cedros do Líbano.
Salmos 29:6	Ele os faz saltar como um bezerro; o Líbano e o Siriom, como filhotes de touros selvagens.
Salmos 29:7	A voz do Senhor separa as labaredas do fogo.
Salmos 29:8	A voz do Senhor faz tremer o deserto; o Senhor faz tremer o deserto de Cades.
Salmos 29:9	A voz do Senhor faz parir as corças, e desnuda os bosques; e no seu templo tudo exclama: Glória!
Salmos 29:10	O Senhor se assentou sobre o dilúvio; o Senhor se assenta como Rei, perpetuamente.
Salmos 29:11	O Senhor dará força ao seu povo; o Senhor abençoará o seu povo com paz.
Salmos 30:1	Exaltar-te-ei, ó Senhor, porque tu me exaltaste, e não fizeste com que meus inimigos se alegrassem sobre mim.
Salmos 30:2	Senhor, meu Deus, clamei a ti, e tu me saraste.
Salmos 30:3	Senhor, fizeste subir a minha alma da sepultura; conservaste-me a vida para que não descesse ao abismo.
Salmos 30:4	Cantai ao Senhor, vós que sois seus santos, e celebrai a memória da sua santidade.
Salmos 30:5	Porque a sua ira dura só um momento; no seu favor está a vida; o choro pode durar uma noite, mas a alegria vem pela manhã.
Salmos 30:6	Eu dizia na minha prosperidade: Não vacilarei jamais.
Salmos 30:7	Tu, Senhor, pelo teu favor fizeste forte a minha montanha; tu encobriste o teu rosto, e fiquei perturbado.
Salmos 30:8	A ti, Senhor, clamei, e ao Senhor supliquei.
Salmos 30:9	Que proveito há no meu sangue, quando desço à cova? Porventura te louvará o pó? Anunciará ele a tua verdade?
Salmos 30:10	Ouve, Senhor, e tem piedade de mim; Senhor, sê o meu auxílio.
Salmos 30:11	Tornaste o meu pranto em dança; tiraste o meu pano de saco, e me cingiste de alegria,
Salmos 30:12	Para que a minha glória a ti cante louvores, e não se cale; Senhor, Deus meu, eu te louvarei para sempre.
Salmos 31:1	Em ti, Senhor, confio; nunca me deixes envergonhado; livra-me pela tua justiça.
Salmos 31:2	Inclina para mim os teus ouvidos; livra-me depressa; sê a minha firme rocha, uma casa fortíssima que me salve.
Salmos 31:3	Porque tu és a minha rocha e a minha fortaleza; pelo que, por causa do teu nome, guia-me e encaminha-me.
Salmos 31:4	Tira-me da rede que para mim esconderam, pois tu és a minha força.
Salmos 31:5	Nas tuas mãos encomendo o meu espírito; tu me redimiste, Senhor Deus da verdade.
Salmos 31:6	Odeio aqueles que se entregam a vaidades enganosas; eu, porém, confio no Senhor.
Salmos 31:7	Eu me alegrarei e regozijarei na tua benignidade, pois consideraste a minha aflição; conheceste a minha alma nas angústias.
Salmos 31:8	E não me entregaste nas mãos do inimigo; puseste os meus pés num lugar espaçoso.
Salmos 31:9	Tem misericórdia de mim, ó Senhor, porque estou angustiado; consumidos estão de tristeza os meus olhos, a minha alma, e o meu ventre.
Salmos 31:10	Porque a minha vida está gasta de tristeza, e os meus anos, de suspiros; a minha força descai por causa da minha iniquidade, e os meus ossos se consomem.
Salmos 31:11	Fui opróbrio entre todos os meus inimigos, até entre os meus vizinhos, e horror para os meus conhecidos; os que me viam na rua fugiam de mim.
Salmos 31:12	Estou esquecido no coração deles, como um morto; sou como um vaso quebrado.
Salmos 31:13	Pois ouvi a murmuração de muitos, temor havia ao redor; enquanto conspiravam contra mim, intentaram tirar-me a vida.
Salmos 31:14	Mas eu confiei em ti, Senhor, e disse: Tu és o meu Deus.
Salmos 31:15	Os meus tempos estão nas tuas mãos; livra-me das mãos dos meus inimigos e dos que me perseguem.
Salmos 31:16	Faze resplandecer o teu rosto sobre o teu servo; salva-me por tuas misericórdias.
Salmos 31:17	Não me deixes envergonhado, Senhor, porque te invoquei; deixa envergonhados os ímpios, e emudeçam na sepultura.
Salmos 31:18	Emudeçam os lábios mentirosos que falam coisas más com soberba e desprezo contra o justo.
Salmos 31:19	Oh, quão grande é a tua bondade, que guardaste para os que te temem, a qual reservaste para aqueles que em ti confiam na presença dos filhos dos homens!
Salmos 31:20	Tu os esconderás, no recôndito da tua presença, dos desaforos dos homens; encobri-los-ás da contenda das línguas em um pavilhão.
Salmos 31:21	Bendito seja o Senhor, pois fez maravilhosa a sua misericórdia para comigo em cidade segura.
Salmos 31:22	Pois eu dizia na minha pressa: Estou cortado de diante dos teus olhos; não obstante, tu ouviste a voz das minhas súplicas, quando eu a ti clamei.
Salmos 31:23	Amai ao Senhor, vós todos que sois seus santos, porque o Senhor guarda os fiéis e retribui abundantemente ao que usa de soberba.
Salmos 31:24	Sede corajosos, e ele fortalecerá o vosso coração, vós todos que esperais no Senhor.
Salmos 32:1	Bem-aventurado aquele cuja transgressão é perdoada, e cujo pecado é coberto.
Salmos 32:2	Bem-aventurado o homem a quem o Senhor não imputa maldade, e em cujo espírito não há engano.
Salmos 32:3	Quando eu guardei silêncio, envelheceram os meus ossos pelo meu bramido em todo o dia.
Salmos 32:4	Porque de dia e de noite a tua mão pesava sobre mim; o meu humor se tornou em sequidão de estio. (Selá.)
Salmos 32:5	Confessei-te o meu pecado, e a minha maldade não encobri. Dizia eu: Confessarei ao Senhor as minhas transgressões; e tu perdoaste a maldade do meu pecado. (Selá.)
Salmos 32:6	Portanto, todo aquele que é santo orará a ti, em tempo de te poder achar; até no transbordar de muitas águas, estas não chegarão até ele.
Salmos 32:7	Tu és o lugar em que me escondo; tu me preservas da angústia; tu me cinges de alegres cantos de livramento. (Selá.)
Salmos 32:8	Instruir-te-ei, e ensinar-te-ei o caminho que deves seguir; guiar-te-ei com os meus olhos.
Salmos 32:9	Não sejais como o cavalo, nem como a mula, que não têm entendimento, cuja boca precisa de cabresto e freio, para que não se cheguem a ti.
Salmos 32:10	O ímpio tem muitas dores, mas aquele que confia no Senhor, a misericórdia o cercará.
Salmos 32:11	Alegrai-vos no Senhor, e regozijai-vos, vós os justos; e cantai alegremente, todos vós que sois retos de coração.
Salmos 33:1	Regozijai-vos no Senhor, vós, justos, pois aos retos convém o louvor.
Salmos 33:2	Louvai ao Senhor com harpa, cantai a ele com saltério de dez cordas.
Salmos 33:3	Cantai-lhe um cântico novo; tocai bem, e com júbilo.
Salmos 33:4	Porque a palavra do Senhor é reta, e todas as suas obras são fiéis.
Salmos 33:5	Ele ama a justiça e o juízo; a terra está cheia da bondade do Senhor.
Salmos 33:6	Pela palavra do Senhor foram feitos os céus, e todo o exército deles, pelo sopro da sua boca.
Salmos 33:7	Ele ajunta as águas do mar como num montão; põe os abismos em reservatórios.
Salmos 33:8	Toda a terra tema ao Senhor; temam-no todos os moradores do mundo.
Salmos 33:9	Porque falou, e foi feito; mandou, e logo apareceu.
Salmos 33:10	O Senhor desfaz o conselho das nações, quebranta os intentos dos povos.
Salmos 33:11	O conselho do Senhor permanece para sempre; os intentos do seu coração, de geração em geração.
